code,grouping,title,description,lithology
Keg,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Echo granite (Cretaceous),"Coarse-grained, pinkish-orange granite and monzogranite; medium-grained, xenomorphic, inequigranular, and showing protoclastic granulation in thin section (Miller, 1946). Named by Miller (1934). (Mount Wilson and Pasadena 7.5’ quadrangles; Smith, 1986)",
Kgr,Central and western Santa Monica Mountains (below Malibu Bowl Detachment Fault),Granitic rocks (late Cretaceous),"Variety of plutonic igneous rocks; includes quartz monzonite, granodiorite, tonalite, quartz diorite, and diorite; chiefly quartz diorite in eastern Santa Monica Mountains (Durrell, 1954)",
Kgrgl,Castaic Valley-Soledad Canyon and San Gabriel Mountains,"Granitic rocks, leucocratic granodiorite (late Cretaceous)","Light gray to pale tan, fine- to medium- grained granodiorite (Pasadena 7.5’ quadrangle; Smith, 1982)",
Kgrm,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Mixed anorthosite and granite (Cretaceous and Precambrian),"Granitic dikes and irregular masses penetrate margins of anorthosite, cutting sharply across structure of host; also tabular bodies parallel to the platy flow structure of anorthosite. Admixed granitic compositions include granodiorite, quartz monzonite, granite pegmatite, aplite and lamprophyre (Oakeshott, 1958; Agua Dulce 7.5’ quadrangle)",
Kp,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Pelona Schist (Cretaceous?),"Greenish-gray chlorite-albite, actinolite-albite, quartzalbite, and albite-talc schist. Locally interbedded with metachert and brown to black quartzite; forms thick, isoclinally (?) folded sequence. Protolith of Pelona Schist presumably deposited during the mid-Mesozoic, recrystallized during burial to depths of 20-30 km, and later thrust beneath western North America on the Vincent thrust (Ehlig, 1981). Named by Hershey (1902) for outcrops on Sierra Pelona Ridge. (Ehlig, 1981; Jacobson, 1990; northern Mint Canyon 7.5’ quadrangle, map after Jahns and Muehlberger, 1954)",
Kt,Central and western Santa Monica Mountains (below Malibu Bowl Detachment Fault),"Tuna Canyon Formation, undivided (late Cretaceous)","Marine sandstone, siltstone and conglomerate. Sandstone, thick-bedded to very thick-bedded, laminated and graded arkosic wacke (turbidite); locally contains abundant fragments of black slate (?); convolute lamination in some beds, load casts, low-angle crosslamination, or concentrations of carbonized plant fragments or mica. Fossiliferous sandstone and siltstone are present locally as interbeds or thick lenses; in Las Flores Canyon, contains several beds of olive-gray siltstone that locally contain foraminifera. Tuna Canyon Formation is nowhere completely exposed in Santa Monica Mountains; maximum exposed thickness, in Pena Canyon-Tuna Canyon area, is nearly 800 m. East of Santa Ynez Canyon rests on nonmarine red conglomerate (Trabuco Formation, late Cretaceous) and Santa Monica Slate (late Jurassic). Formation is overlain disconformably (?) by Simi Conglomerate in Solstice Canyon, and elsewhere by basal conglomerate of Coal Canyon Formation (Paleocene). In places contains Campanian ammonite Metaplacenticeras sp.; foraminifera faunas are referred to zones D-2, E, and F-1 (Maestrictian or Campanian - late Cretaceous) of Goudkoff (1945). Named by Yerkes and Campbell (1979) to replace name “Chico”, which was imported from central California and used on earlier maps in Santa Monica Mountains.  24 (central and eastern Santa Monica Mountains; Campbell and others, 1996; Yerkes and Campbell, 1980; Alderson, 1988; Hoots, 1931). East of Santa Ynez Canyon the formation was subdivided by Alderson (1988) into four informal members:",
Ktb,Central and western Santa Monica Mountains (below Malibu Bowl Detachment Fault),"Tuna Canyon Formation, informal member b (late Cretaceous)","sandstone with minor conglomerate and black shale, carrying Turonian and Coniacian ammonites",
Ktc,Central and western Santa Monica Mountains (below Malibu Bowl Detachment Fault),"Tuna Canyon Formation, informal member c (late Cretaceous)",Pebble-cobble conglomerate and minor sandstone,
Ktd,Central and western Santa Monica Mountains (below Malibu Bowl Detachment Fault),"Tuna Canyon Formation, informal member d (late Cretaceous)","Fine-grained, thick-bedded, fossiliferous sandstone",
Kte,Central and western Santa Monica Mountains (below Malibu Bowl Detachment Fault),"Tuna Canyon Formation, informal member e (late Cretaceous)",Greenish-gray shale with interbedded coarse-grained sandstone in the upper part,
Kto,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Tonalite (late Cretaceous),"Mapped by Jahns and Muehlberger (1954) as “granite and other quartz-bearing plutonic rocks”; these rocks are compositionally  29 tonalite (D. M. Morton, oral communication, 2003) in IUGA classification (Streckheisen, 1973). (northern Agua Dulce 7.5’ quadrangle)",
Ktoqd,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Tonalite and quartz diorite (late Cretaceous),"Mapped by Morton (1973a) as predominantly quartz diorite, grading to granodiorite, quartz monzonite and diorite; compositionally mostly tonalite (D. M. Morton, oral communication, 2003) in IUGA classification (Streckheisen, 1973). (Mount Wilson 7.5’ quadrangle)",
Ktoqm,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Tonalite and monzogranite (late Cretaceous),"Designated quartz monzonite in source maps; identified as mostly tonalite (D. M. Morton, oral communication, 2003) in IUGA classification (Streckheisen, 1973). (west central Mount Wilson 7.5’ quadrangle)",
Ktowd,Castaic Valley-Soledad Canyon and San Gabriel Mountains,"Tonalite, (Wilson Diorite of Miller, 1934) (late Cretaceous)","Designated granodiorite and quartz diorite on source maps; identified as mostly tonalite (D. M. Morton, oral communication, 2003) in IUGA classification (Streckheisen, 1973). (northern Mount Wilson 7.5’ quadrangle)",
Ktr,Central and western Santa Monica Mountains (below Malibu Bowl Detachment Fault),Trabuco Formation (late Cretaceous),"Conglomerate having well-rounded, polished pebbles, cobbles and boulders of varicolored quartzite, porphyry, granite, basalt, and angular chips of black slate in matrix of soft, clayey, coarse-grained to pebbly grit. Thickness estimated at 225 m; unconformably overlies Santa Monica Slate. Name applied by Durrell (1954) for rocks of similar composition and stratigraphic position in type area in Santa Ana Mountains, where it was named by Packard (1916); correlation reiterated by Colburn (1973). (Topanga and Canoga Park 7.5’ quadrangles; Yerkes and Campbell, 1980; Hoots, 1931)",
Mza,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Alaskite (Mesozoic?),"Salmon-pinkish-gray, medium-grained, mildly gneissic syenogranite (5 percent plagioclase, 55 percent potassium feldspar, 35 percent quartz, 2 percent hornblende, and 3 percent biotite). Forms long thin klippe over  30 a much larger mass of granitic rock (northern Pasadena 7.5’ quadrangle; Smith, 1986)",
Mzbhd,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Biotite-hornblende diorite (Mesozoic?),"Medium- to dark-gray, medium-grained biotite-hornblende monzodiorite (40-50 percent plagioclase, 1-10 percent potassium feldspar, 25 percent biotite, 20 percent hornblende, and 5 percent quartz; Smith, 1986); includes scattered small bodies of older brownish-gray coarse-grained weakly gneissic biotite quartz monzonite (40 percent plagioclase, 25 percent potassium feldspar, 10 percent quartz, and 10 percent biotite; Smith, 1986); intruded by leucocratic granodiorite (San Rafael Hills, Pasadena 7.5’ quadrangle; Smith, 1986)",
Mzbqd,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Biotite-quartz diorite (Mesozoic?),"Medium-grained quartz diorite (50 percent plagioclase, 25 percent biotite, 15 percent quartz, and 10 percent hornblende (Smith, 1986); slightly gneissic. Locally contains inclusions of coarse-grained quartz diorite a few m across, and small elongate bodies of marble, quartzite, and schist of Paleozoic (?) age (Verdugo Mountains, Burbank 7.5’ quadrangle; Smith, 1986)",
Mzdg,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Diorite gneiss (early to middle Mesozoic),"Dark gneiss including metadiorite, massive hornblende diorite, and amphibolite and biotite schist; intrudes the Placerita Formation and intruded by Cretaceous granitic rocks. (Condor Peak, Sunland, San Fernando and Burbank 7.5’ quadrangles; Oakeshott, 1958)",
Mzgc,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Granitic complex (Mesozoic?),"Map unit includes four granitic rock types (none of which is dominant) including: biotite-hornblende diorite, quartz diorite, hornblende diorite, and coarse-grained biotite-quartz monzonite (latter is listed as containing 60 percent plagioclase, 2 percent quartz, 25 percent hornblende, and 13 percent biotite; which would fall in diorite field of IUGA classification of Streckheisen, 1973). (Pasadena 7.5’ quadrangle; Smith, 1986)",
Mzgd,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Granodiorite (Mesozoic),"Average composition is quartz diorite using IUGA classification (Streckheisen, 1973), quartz 16 percent, plagioclase 62 percent, orthoclase 3 percent, biotite 11 percent, hornblende 6 percent; includes some rocks mapped as Lowe Granodiorite and Wilson Diorite of Miller (1934); mostly massive, but commonly gneissoid near contacts with older rocks; locally carries large inclusions and pendants of gneiss and Placerita metasediments. (San Fernando and Sunland 7.5’ quadrangles; Oakeshott, 1958)",
MzPzsp,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Serpentinite (Mesozoic or Paleozoic),"Light to dark green, foliated, sheared and slickensided serpentinite, altered peridotite (chiefly augite and olivine); slickensided fragments up to boulder size; boundaries intensely sheared and relations to adjacent rocks obscure. (San Fernando 7.5’ quadrangle; Barrows and others, 1975)",
Qa,,"Alluvium, undifferentiated (late Holocene)","Unconsolidated gravel, sand and silt in active or recently active streambeds; chiefly stream deposited, but includes some debris-flow deposits; episodes of bank-full stream flow are frequent enough to inhibit growth of vegetation",
Qacf,,Graded area (late Holocene),"Undifferentiated cuts and fills; commonly covered by houses, landscaping, and streets, but also includes some debris basins",
Qaf,,Artificial fill (late Holocene),"Deposits of sand silt and gravel resulting from human construction, mining or quarrying activities; includes compacted engineered and noncompacted nonengineered fill. Only large deposits are shown",
Qb,,Beach deposits (late Holocene),Loose fine- and medium-grained sand of active beaches chiefly between elevations of lower-low water and storm strands,
Qc,,Colluvium (Holocene and late Pleistocene?),"Chiefly active and recently active colluvium on hillsides, but includes inactive accumulations of colluvium that might be as old as late Pleistocene. Clay, silt and sand, locally containing abundant angular rock fragments, derived from disaggregation of underlying bedrock; forms by hill creep and related processes on slopes where thickness is up to 3 m, and thicker along bases of some hillslopes. Older deposits (Qyc and Qoc) mapped separately only in the Mint Canyon 7.5’ quadrangle (Saul, 1985; Saul and Wooton, 1983)",colluvium
Qdt,,Debris trains and talus (Holocene and late Pleistocene?),"Unconsolidated, unsorted gravel, sand and silt, commonly including large angular rock fragments; debris trains are chiefly debris-flow deposits that form medial ridges in some narrow canyon bottoms; talus cones and aprons result from active and recent rockfall and rock topple activity. Some deposits may be late Pleistocene",
Qe,,Eolian deposits (late Holocene),"Loose, fine- to medium- grained sand, silty sand and silt; forms transitory dunes against beach-facing cliff",
Qf,,Alluvial-fan deposits (Holocene),"Unconsolidated bouldery, cobbley, gravelly, sandy, or silty alluvial deposits on active and recently active alluvial fans and in some connected headward channel segments",
Qfb,,"Alluvial-fan deposits, boulders (Holocene)","Unconsolidated bouldery, cobbley, gravelly, sandy, or silty alluvial deposits on active and recently active alluvial fans and in some connected headward channel segments",
Qfp,,Floodplain deposits (Holocene),"Unconsolidated, stream-deposited silt, sand and gravel; includes overbank deposits of flooding streams; commonly supports trees and other perennial vegetation as compared to barren active channel deposits. In some areas, used to approximate levels of “100-year flood”",
Ql,,Lake deposits (late Holocene),"Unconsolidated clay, silt, fine-grained sand and plant matter accumulated on floors of ponds and reservoirs",
Qls,,Landslide deposits (Holocene and late Pleistocene?),"Rock detritus from bedrock and surficial materials, broken in varying degrees from relatively coherent large blocks to disaggregated small fragments, deposited by landslide processes including slides, slumps, falls, topples and flows; generally unconsolidated; some dissected landslides may be as old as late Pleistocene. A few large landslides toe below present sea level or stream level",
Qoa,,"Old alluvium, undivided (late to middle Pleistocene)","Unconsolidated to moderately indurated gravel, sand and silt; surfaces can show moderate to welldeveloped pedogenic soil, including a distinctive reddish “B” soil horizon; surfaces moderately to well dissected",
Qoaa,,"Old alluvium, arenaceous (late to middle Pleistocene)","Unconsolidated to moderately indurated gravel, sand and silt; surfaces can show moderate to welldeveloped pedogenic soil, including a distinctive reddish “B” soil horizon; surfaces moderately to well dissected",
Qoag,,"Old alluvium, gravel (late to middle Pleistocene)","Unconsolidated to moderately indurated gravel, sand and silt; surfaces can show moderate to welldeveloped pedogenic soil, including a distinctive reddish “B” soil horizon; surfaces moderately to well dissected",
Qoa1a,,"Old alluvium, Unit 1 (middle Pleistocene)",Oldest of as many as three subunits of Qoa that can be distinguished in some areas. In part distinguished on basis of relative terrace levels,
Qoa2,,"Old alluvium, Unit 2 (late Pleistocene)",Intermediate of as many as three subunits of Qoa that can be distinguished in some areas. In part distinguished on basis of relative terrace levels,
Qoa2a,,"Old alluvium, Unit 2 (late Pleistocene)",Intermediate of as many as three subunits of Qoa that can be distinguished in some areas. In part distinguished on basis of relative terrace levels,
Qoa2g,,"Old alluvium, Unit 2 (late Pleistocene)",Intermediate of as many as three subunits of Qoa that can be distinguished in some areas. In part distinguished on basis of relative terrace levels,
Qoa3,,"Old alluvium, Unit 3 (late Pleistocene)",Youngest of as many as three subunits of Qoa that can be distinguished in some areas. In part distinguished on basis of relative terrace levels,
Qoa3a,,"Old alluvium, Unit 3 (late Pleistocene)",Youngest of as many as three subunits of Qoa that can be distinguished in some areas. In part distinguished on basis of relative terrace levels,
Qoa3b,,"Old alluvium, Unit 3 (late Pleistocene)",Youngest of as many as three subunits of Qoa that can be distinguished in some areas. In part distinguished on basis of relative terrace levels,
Qoa3bx,,"Old alluvium, Unit 3, breccia (late Pleistocene)",Youngest of as many as three subunits of Qoa that can be distinguished in some areas. In part distinguished on basis of relative terrace levels,
Qoa3g,,"Old alluvium, Unit 3 (late Pleistocene)",Youngest of as many as three subunits of Qoa that can be distinguished in some areas. In part distinguished on basis of relative terrace levels,
Qoc,,Old colluvium (late to middle Pleistocene),"Slightly to moderately consolidated silt, clay and sand, locally containing abundant angular rock fragments; surfaces dissected to varying degrees; can show slight to moderately developed pedogenic soil locally. Mapped only in the Mint Canyon 7.5’ quadrangle (Saul, 1985)",colluvium
Qof,,"Old alluvial-fan deposits, undivided (late to middle Pleistocene)","Slightly to moderately consolidated silt, sand and gravel deposits on alluvial fans; surfaces dissected in varying degrees; surfaces can show moderately to well-developed pedogenic soils",
Qofg,,"Old alluvial-fan deposits, gravel (late to middle Pleistocene)","Slightly to moderately consolidated silt, sand and gravel deposits on alluvial fans; surfaces dissected in varying degrees; surfaces can show moderately to well-developed pedogenic soils",
Qof1,,"Old alluvial-fan deposits, Unit 1 (middle Pleistocene)",Oldest of at least three subunits of Qof that can be distinguished in some areas. In part distinguished on the basis of relative terrace levels,
Qof1g,,"Old alluvial-fan deposits, Unit 1, gravel (middle Pleistocene)",Oldest of at least three subunits of Qof that can be distinguished in some areas. In part distinguished on the basis of relative terrace levels,
Qof2,,"Old alluvial-fan deposits, Unit 2 (late Pleistocene)",Intermediate of at least three subunits of Qof that can be distinguished in some areas. In part distinguished on basis of relative terrace levels,
Qof2a,,"Old alluvial-fan deposits, Unit 2 (late Pleistocene)",Intermediate of at least three subunits of Qof that can be distinguished in some areas. In part distinguished on basis of relative terrace levels,
Qof2g,,"Old alluvial-fan deposits, Unit 2 (late Pleistocene)",Intermediate of at least three subunits of Qof that can be distinguished in some areas. In part distinguished on basis of relative terrace levels,
Qof3,,"Old alluvial-fan deposits, Unit 3 (late Pleistocene)",Youngest of as many as three subunits of Qof that can be distinguished in some areas. In part distinguished on basis of relative terrace levels,
Qpa,,Pacoima Formation (middle to early Pleistocene),"Indurated, yellow-brown, locally intensely folded and faulted fanglomerate; unconformable on the early Pleistocene (?) Saugus Formation; overlain unconformably by relatively undeformed terrace deposits. Named and described by Oakeshott (1952). (Sunland 7.5’ quadrangle)",
Qpv,,Palos Verdes Sand (late? Pleistocene),"Massive, gray-green, very coarse-grained to gravelly unconsolidated marine sand; thickness about 15 m; rests on 30 m of loose beach sand; overlain by reddish nonmarine cover. First mentioned by Tieje (1926). (Southernmost Beverly Hills 7.5’ quadrangle)",
Qsp,,San Pedro Formation (early Pleistocene),"Unconsolidated sandy unit; poorly defined but generally recognized as equivalent to Dall's (1898) San Pedro Sand: ""extensive beds of unconsolidated Pleistocene sand replete with molluscan shells in very perfect condition, best exhibited at Harbor Hill"". (Moorpark and Beverly Hills 7.5’ quadrangles)",
Qsw,,Slope wash deposits (Holocene and late Pleistocene),"Unconsolidated silt, sand and gravel, including angular rock fragments, as mapped on slopes in the Mint Canyon, Newhall and Oat Mountain 7.5’ quadrangles: some deposits may be as old as late Pleistocene. Much is essentially same as Qc and Qyc, but unit names used by source authors retained here",
QTi,Los Angeles Basin,Inglewood Formation (early Pleistocene to late Pliocene),"Shallow marine, consolidated clay-siltstone and interbedded very fine-grained sandstone, commonly having calcareous, limonitic concretions; relatively dense and moderately expansive where weathered. This unit is recognized as one from which most landslides in Baldwin Hills are derived (Hsu and others, 1982). (southernmost Beverly Hills 7.5’ quadrangle)",
QTrx,Los Angeles Basin,Sedimentary rocks of the Pacific Palisades area (early Pleistocene to late Pliocene),"A few small exposures of marine siltstone and very fine-grained silty sandstone; very soft and slightly indurated, locally very fossiliferous, fossils referred to late Pliocene or early Pleistocene; maximum thickness about 120 m. (Topanga 7.5’ quadrangle, Hoots, 1931)",
QTs,"Oak Ridge, Santa Susana Mountains, Simi Hills, Santa Monica Mountains","Saugus Formation, undivided (early Pleistocene to late Pliocene)","Slightly consolidated, poorly sorted, coarse-grained, cross-bedded sandstone and pebble conglomerate; chiefly nonmarine, but includes a few interbeds of marine and brackish water depositional environment; unconformable on strata of the Pico Formation, and overlain unconformably by beds of Pacoima Formation. Maximum thickness about 1950 m in type area (southeast quarter, Newhall 7.5’ quadrangle). Defined and described by Kew (1923); earlier called Fernando Formation by Hershey (1902). Widespread in eastern Ventura County; several authors have mapped members in different areas.",sandstone
QTsb,Topatopa Mountains and eastern Santa Ynez Range,Santa Barbara Formation (early Pleistocene to late Pliocene),"Bluish-gray marine mudstone and siltstone, clay shale, and very fine-grained silty sandstone; includes numerous lenses of pebbly sandstone and conglomerate; laminated to massive, slightly to moderately indurated. Maximum thickness about 1,220 m. Name locality at Packard’s Hill, Santa Barbara (Arnold, 1903), extended east into Ventura Basin by Grant and Gale (1931)",
QTsg,Castaic Valley-Soledad Canyon and San Gabriel Mountains,"Saugus Formation, conglomerate (early Pleistocene)","Conglomerate at base of Saugus Formation in southeastern part of Mint Canyon 7.5’ quadrangle. Clasts predominantly igneous and metamorphic rocks presently exposed in northwestern San Gabriel Mountains (Saul and Wooton, 1983)",
QTsm,"Oak Ridge, Santa Susana Mountains, Simi Hills, Santa Monica Mountains","Saugus Formation, middle member (early Pleistocene)","Coarse-grained sandstone and conglomerate. (Oat Mountain, Simi Valley East and Simi Valley West 7.5’ quadrangles)",
QTsp,Castaic Valley-Soledad Canyon and San Gabriel Mountains,"Saugus Formation, pebbly sandstone p (early Pleistocene)","Pebbly sandstone containing clasts derived from Pelona Schist, a Cretaceous source rock found northeast of San Gabriel Fault (Newhall quad)",
QTss,Castaic Valley-Soledad Canyon and San Gabriel Mountains,"Saugus Formation, pebbly sandstone s (early Pleistocene)","Pebbly sandstone containing clasts derived from San Francisquito Formation, a Paleogene source rock found to northeast of San Andreas Fault (Newhall and Val Verde 7.5’ quadrangles; Dibblee, 1967, p. 41)",
