code,grouping,title,description,lithology
Tlc,,Lockwood Clay (Pliocene?),"Brown to reddish-brown, massive claystone, in most places composed of montmorillonite clay, locally gypsiferous along fractures; very weakly indurated. Small wedge of unit just west of Cuyama River pinches out along Ozena fault. Maximum thickness about 50 m. Refer to Domain 4 for full description and discussion of age uncertainty",claystone
Tc,,"Caliente Formation, undivided (Pliocene? and upper Miocene)","Rocks of map unit tentatively correlated with the Caliente Formation in the southern New Cuyama quadrangle (Vedder and Repenning, 1975) include pale pinkish-gray and white, fine- to coarse-grained, locally clayey, locally tuffaceous, thin- to thick-bedded nonmarine sandstone, and mudstone. Sandstone locally pebbly. Map unit may include beds as young as Pliocene at top (Vedder and Repenning, 1975). Parts of unit correlated with Mint Canyon Formation to the east of quadrangle (T.W. Dibblee, Jr., unpub. data, 2002).",
Tcg,,"Caliente Formation, Granitic-clast fanglomerate member (Pliocene? and upper Miocene)","Coarse, light-brownish-gray, granitic-clast fanglomerate of late Miocene age. Equivalent to unit Tcg in Domain 4. Unconformable contact with underlying sandstone and conglomerate member (Tnsc) of nonmarine rocks of Santa Barbara Canyon",
Tsm,,"Santa Margarita Sandstone, undivided (upper Miocene)","Marine sandstone and mudstone. Sandstone is white to yellowish gray, fine to coarse grained, thin to thick bedded, silty to pebbly, lenticular, locally calcareous; mudstone is greenish gray and reddish brown, thin bedded; includes a few thin beds of fresh-water limestone. Magnetostratigraphic studies suggest formation may be as old as middle Miocene (Wilson and Prothero, 1997). However, local unconformity above Branch Canyon Sandstone, which contains upper Miocene fossils, indicates Santa Margarita Sandstone in Domain 2 must be upper Miocene. Combined thickness variable; as much as 300 m in Fox Mountain quadrangle (Vedder, 1968)",sedimentary rock
Tsmu,,"Santa Margarita Sandstone, Upper sandstone member (upper Miocene)","White and pale-yellowish-gray and greenish-gray, very fine to coarse-grained, thick-bedded to massive sandstone containing a few thin beds of greenish-gray mudstone and clayey siltstone; calcareous in places; locally conglomeratic. Contains upper Miocene mollusks and echinoids (Vedder and Repenning, 1975)",sandstone
Tsmc,,"Santa Margarita Sandstone, Claystone member (upper Miocene)","Interbedded claystone and pale-yellowish-gray to light-greenish-gray, and pale-yellowish-brown, siliceous, laminated to thin-bedded claystone and clayey siltstone; diatomaceous. Contains phosphorite-pellet zones and thin beds of silty, very fine grained sandstone and mudstone",claystone
Tsml,,"Santa Margarita Sandstone, Lower sandstone, conglomerate, and
claystone member (upper Miocene)","Claystone and poorly sorted yellowish-gray to pale-yellowish-brown, thick-bedded to massive, lenticular sandstone and conglomerate",sedimentary rock
Tbu,,"Branch Canyon Sandstone, Upper member (upper and middle Miocene)","Marine. Combined thickness as much as about 760 m in Fox Mountain quadrangle (Vedder, 1968). Fine- to very coarse grained, pale-yellowish-gray to white, thick-bedded and mostly cross-stratified, poorly indurated, feldspathic marine sandstone. Contains upper Miocene echinoids and mollusks",
Tbm,,"Branch Canyon Sandstone, Middle claystone member (upper and middle Miocene)",Muddy marine sandstone and silty claystone; locally pebbly. Poorly exposed; forms swale between upper and lower members,
Tbl,,"Branch Canyon Sandstone, Lower sandstone member (upper and middle Miocene)","Pale-yellowish-gray and pale-yellowish-brown, locally pebbly, thick-bedded to massive, lenticular sandstone. Interfingers westward with Monterey Formation (Tm) north of Ozena fault. Includes sandstone beds east of Santa Barbara Canyon mapped by Vedder (1968) as Saltos Shale (Tmsh)",
Tm,,"Monterey Formation, undivided (middle and lower Miocene)","Pale-brown to light-yellowish-gray, platy to hackly, thinly laminated, generally hard, silicic, marine clay- stone and shale; weathers white and platy. Maximum thickness greater than about 500 m in western Fox Mountain quadrangle (Vedder, 1968)",
Tmss,,"Monterey Formation, Basal sandstone member (middle and lower? Miocene)","Pale yellowish-gray and pale-yellowish-brown, fine-grained to very coarse grained, locally pebbly, thick-bedded to massive, locally cross-stratified, lenticular, cliff-forming sandstone, similar to Branch Canyon Sandstone. Lowermost part may be early Miocene age (Vedder, 1968)",
Tmsh,,"Monterey Formation, Saltos Shale Member (middle and lower Miocene)","Light-gray and pale-olive-gray, poorly indurated, very fine grained sandstone, siltstone, and claystone; indistinctly bedded and contains sparse calcareous concretions. Mapped by Vedder (1968) as interfingering with lower part of Branch Canyon Sandstone east of Santa Barbara Canyon, but former Saltos in this area now included with Branch Canyon",
Tv,,Vaqueros Formation (lower Miocene),"White to pale-olive and yellowish-brown, fine-grained to very fine grained, locally pebbly, thick-bedded, cross-stratified marine sandstone; includes calcareous beds containing shell fragments and lenses of pebble-cobble conglomerate. Base locally marked by white waterlain tuff. Mapped as Vaqueros Formation by Hill and others (1958) and Vedder (1968). Units Tvr and Tvs of Vedder (1968), variegated mudstone, claystone, and siltstone beds, are also included with Vaqueros Formation, which includes light-brown marine sandstone mapped between Monterey Formation and Eocene marine beds near western border of map area. From map relationships (Vedder, 1968), inferred to unconformably overlie nonmarine rocks of Santa Barbara Canyon. Maximum exposed thickness about 200 m",
Tn,,Nonmarine rocks of Santa Barbara Canyon (“Pato red beds”) (lower Miocene and upper Oligocene?),"In the Santa Barbara Canyon area (Fox Mountain quadrangle; Vedder, 1968), the following units were originally placed in the Pato Red Member (now abandoned) of the Vaqueros Formation (Tv) by English (1916), but due to their nonmarine depositional environment were subsequently placed in the Caliente Formation (Tc) by Hill and others (1958). However, the early Miocene and late Oligocene(?) age of these rocks is older than Caliente rocks mapped in the Caliente Range that are at least as young as late Miocene (Vedder and Repenning, 1975), as well as rocks in the southern part of the New Cuyama quadrangle, where tentative Caliente beds overlie upper Miocene rocks of the Santa Margarita Sandstone (Tsm) (Vedder and Repenning, 1975). In addition, in the Lockwood Valley and Dry Creek regions, rocks mapped as Caliente Formation (Tc) are as young as uppermost Miocene (Carman, 1964; James, 1963; Kellogg, 1999; Kellogg and Miggins, 2002), also younger than the nonmarine rocks of Santa Barbara Canyon. The nonmarine rocks of Santa Barbara Canyon also underlie rocks mapped as lower Miocene Vaqueros Formation (unit Tv of this map), which, if they are Caliente Formation, is stratigraphically inconsistent with relationships to the north and east, where Vaqueros beds underlie or interfinger with rocks mapped as Caliente Formation (Vedder and Repenning, 1975; Minor, 2004). The nonmarine rocks of Santa Barbara Canyon, at least in part, may correlate more properly with similar rocks of the nonmarine Sespe Formation (Tsp) to the south in Domain 1. Until these stratigraphic problems are resolved, rocks mapped by Vedder (1968) as “Caliente Formation of Hill, Carlson, and Dibblee (1958)” are here called the nonmarine rocks of Santa Barbara Canyon (informally referred to as “Pato red beds”). Combined thickness about 300 m",
Tnp,,"Nonmarine rocks of Santa Barbara Canyon (“Pato red beds”), Red pebble-boulder conglomerate and
conglomeratic sandstone member (lower Miocene and upper Oligocene?)","Red to pale-red and reddish-brown, thin-bedded to very thick bedded conglomeratic sandstone and pebble-boulder conglomerate. Locally cross-stratified. Interbedded with thin red claystone and mudstone beds. Increasingly coarse grained towards Ozena fault zone, where larger clasts (some greater than 1 m long) were derived mostly from Eocene sandstone. Unit Tc of Vedder (1968)",
Tnv,,"Nonmarine rocks of Santa Barbara Canyon (“Pato red beds”), Variegated member (lower Miocene and upper Oligocene?)","Reddish, greenish, and purplish, relatively thin-bedded sandstone, mudstone, and claystone. Unit Tcv of Vedder (1968)",
Tnsc,,"Nonmarine rocks of Santa Barbara Canyon (“Pato red beds”), Sandstone and conglomerate member (lower Miocene and upper Oligocene?)","Reddish-orange to light-olive-gray, locally clayey, thick-bedded and lenticular conglomeratic sandstone and conglomerate; locally gypsiferous. Intertongues with variegated beds (Tnv). Units Tco and Tcr of Vedder (1968)",
Tng,,"Nonmarine rocks of Santa Barbara Canyon (“Pato red beds”), Gypsiferous mudstone member (lower Miocene and upper Oligocene?)","Pale-olive to yellowish-brown and greenish-gray to bluish-gray, indistinctly bedded, poorly indurated, gypsiferous, tuffaceous(?) claystone and mudstone. Unit Tcg of Vedder (1968)",
Tncb,,"Nonmarine rocks of Santa Barbara Canyon (“Pato red beds”), Conglomerate and breccia member (lower Miocene and upper Oligocene?)",Light-brown and brownish-gray to pale-reddish-brown breccia and conglomerate; locally red or greenish gray. Massive to poorly stratified. Contains large (as long as 3 m) Eocene sandstone boulders. Interfingers northward with red pebble-boulder conglomerate and conglomeratic sandstone member (Tnp). Equivalent to unit Tcb of Vedder (1968),
Trd,,Rhyolite dikes (late Oligocene),"White to light-gray, porphyritic, 5- to 10-m-thick; phenocrysts are sanidine, plagioclase, quartz, and biotite. Most dikes are partially altered with iron-oxide-coated fractures. Intrudes unnamed Eocene shale and sandstone (units Tum and Tush) near junction of Ozena fault and eastern Big Pine fault. Correlated with rhyolite dikes of Domain 4, which have a 40Ar/39Ar age of about 25.0 Ma (Stanley and others, 2000; Wilson and others, 2005)",
Tcd,,Cozy Dell Shale (upper Eocene),"Gray to grayish-tan, argillaceous to silty, micaceous marine shale and minor, thin-bedded, fine-grained marine sandstone. Weathers grayish-brown with abundant brown silty chips. Similar to shale member of Cozy Dell Shale (Tcd) as mapped in Domains 1 and 4. Contains foraminifera assigned to Narizian Stage and Penutian or lower part of Ulatisian Stages (Vedder and others, 1973). Lies in core of Madulce syncline. Top of unit eroded in Domain 2; at least 500 m thick",
Tma,,"Matilija Sandstone, Sandstone member (upper and middle Eocene)","Predominantly thick-bedded sandstone. Contains mollusks assigned to Tejon and Domengine molluscan stages (Squires, 1987). Combined thickness about 1,050 m. Pale yellowish-gray to almost white, medium- to coarse-grained, thick-bedded to massive, locally crossbedded, locally pebbly sandstone; contains thin beds and laminae of gray siltstone and claystone. Resistant and forms prominent yellowish cliffs",
Tmas,,"Matilija Sandstone, Mixed sandstone and shale member (upper and middle Eocene)","Pale-yellowish-gray to greenish-gray, mostly fine-grained, thin- to thick-bedded, evenly bedded sandstone. Increasing amounts of gray siltstone and claystone in upper part. Sandstone commonly contains fossiliferous yellowish-brown calcareous concretions and lenses. Corresponds generally to unit Tmaf of Vedder and others (1973)",
Tum,,"Unnamed marine units, Mixed sandstone and shale (Eocene)","Units include very thick sequence of marine sandstone, siltstone, and mudstone beds mapped as Juncal Formation (Tj) by Vedder and others (1973) and Minor (2004), but uncertainty as to age and correlations, especially in the Fox Mountain (Vedder, 1968) and Big Pine Mountain (Vedder and others, 1995) quadrangles leads us to leave these rocks unnamed. Total thickness greater than about 5,000 m. Roughly sub- equal amounts of marine sandstone, siltstone, and shale, similar to units described in other unnamed Eocene beds. Mapped as a member of the Juncal Formation (Tj) by Minor (2004)",
Tus,,"Unnamed marine units, Sandstone and minor mudstone (Eocene)","Olive-gray, yellowish-tan-weathering, feldspathic, fine-grained to very coarse grained, locally conglomeratic, thin- to thick-bedded, micaceous, poorly sorted, lenticular marine sandstone; mudstone occurs in partings and thin, locally lenticular beds. Clasts are as large as cobbles, well rounded, and mostly quartzite and porphyritic, siliceous metavolcanics (Vedder and others, 1995). Abundant carbonaceous material on some bedding planes. Commonly forms ledges or cliffs. Conformable above unit TKm in western part of map area. Unit includes sandstone member of Juncal Formation (Tj) of Vedder and others (1973)",
Tush,,"Unnamed marine units, Claystone, mudstone, and shale (Eocene)","Dark-gray and brownish-gray to greenish-gray and olive-black, thin-bedded to indistinctly bedded, concretionary marine claystone, mudstone, and shale, with a few thin, fine-grained sandstone beds. Includes claystone, mudstone, and shale member of Juncal Formation (Tj) of Vedder and others (1973) and siltstone and shale member of Juncal Formation (Tj) of Minor (2004)",
Tuc,,"Unnamed marine units, Conglomerate (Eocene)","Dark-brownish-gray, lenticular-bedded conglomerate; cobbles mostly well rounded and composed chiefly of granitic rock, andesite porphyry, and quartzite in hard sandstone matrix. Includes conglomerate beds of Juncal Formation (Tj) of Vedder and others (1973)",
TKm,,"Mudstone, claystone, and minor sandstone (lower Eocene to Upper Cretaceous)","Olive-gray to brownish-gray, micaceous, thin-bedded to indistinctly bedded, locally concretionary marine siltstone, claystone, and mudstone; includes thin, fine-grained beds of feldspathic sandstone. Mollusks, foraminifera, and palynomorphs indicate age is early Eocene to Late Cretaceous, although Cretaceous rocks may locally be absent. Similar to mudstone and minor sandstone unit (TKs) in Domain 1. Thickness highly variable; as thick as 400 m",
