code,grouping,title,description,lithology
Jbw,,Monzogranite of Bonanza King Well (Jurassic),"Light-gray to yellowish-brown, coarse-grained, equigranular monzogranite in northeastern part of map area; intrudes Paleoproterozoic gneiss (unit Xm). Highly fractured; commonly weathered to grus. Composed of subequal amounts of potassium feldspar (red, poikilitic), plagioclase (white, variably sericitized), and quartz, with only 1–2 percent dark minerals, most of which are iron oxides. Average grain size ~5 mm; potassium feldspar crystals are as much as ~1 cm long. Two representative samples contain ~74 percent SiO2 and ~9 percent K2O + Na2O. In places, granite is cut by unmapped quartz-rich veins or dikes. Sample 13- PR-4854 yielded a late Middle to early Late Jurassic U-Pb zircon age of 162.8±2.5 Ma",
Jt,,Monzogranite of Tough Nut Spring (Jurassic),"Equigranular to porphyritic, medium- to coarse-grained monzogranite in north-central part of map area; intrudes Paleoproterozoic gneiss (unit Xm). Unweathered outcrops, present mainly in wash bottoms, are light to medium gray; outcrops on hills and slopes typically are subdued and weathered reddish brown. Composed of subequal amounts of potassium feldspar (pink, red, and reddish gray), plagioclase (white, partly to almost completely sericitized), and quartz, 5–10 percent biotite (partly replaced by chlorite), and <5 percent iron oxides; potassium feldspar commonly forms phenocrysts <1 to 2 cm long. Average grain size, excluding phenocrysts, is ~3 mm. Two representative samples from fresh outcrops contain ~70 percent SiO2 and ~8 percent K2O + Na2O; weathered samples are of more varied chemical composition. Sample 14-PR5021 just north of quadrangle boundary yielded a late Middle to early Late Jurassic U-Pb zircon age of 165.6±3.0 Ma",
Jg,,"Quartz monzonite of Goldstone, Undivided rocks (Jurassic)","Primarily quartz monzonite and monzonite characterized by extensive sodium metasomatism (albitization) (Fox and Miller, 1990). Rocks are mostly medium grained (average grain size 2–3 mm), equigranular to weakly porphyritic, and range from weakly altered to completely albitized. Unweathered, weakly altered rocks typically are pinkish gray and consist of 25–35 percent each of pink to reddish-gray potassium feldspar and white to light-greenish-gray plagioclase, 5–15 percent quartz, 15–30 percent mafic minerals (hornblende > biotite > pyroxene), and 1–5 percent iron oxides. Plagioclase is weakly to strongly sericitized and commonly forms euhedral to subhedral phenocrysts 4–6 mm long; mafic minerals are partially replaced by chlorite in most samples but generally retain a dark color. Outcrops range from bold and resistant to highly weathered and recessive; weathered outcrops typically are dark brown with small white spots formed by plagioclase phenocrysts. Strongly to completely albitized rocks, by contrast, are white to light gray due to depletion of potassium feldspar and intense bleaching and alteration of the mafic minerals. In many samples, stained slabs and thin sections show that all the feldspar in these altered rocks is plagioclase, much of which is presumably albite formed by alteration of potassium feldspar. Chlorite and epidote are common, presumably as replacements of mafic minerals. The albitized rocks form resistant outcrops that range from large, irregular masses with indistinct boundaries to small dikes that cut sharply across less altered rocks. Chemically, 17 samples of weakly to completely altered rocks from this unit contain ~57–67 percent SiO2 and ~5–10 percent K2O + Na2O; all but two of these have ~6–9 percent K2O + Na2O. On this basis, most of the rocks are classified as quartz monzonite and monzonite; a few are diorite, granodiorite, and syenite. Granite probably also is present in small amounts, although none was chemically analyzed. Chemical analysis also shows that the albitized rocks are enriched in sodium (>4.7 percent Na2O) and depleted in potassium (<1.5 percent K2O) as a result of metasomatism",
Jgg,,"Quartz monzonite of Goldstone, Gabbro and diorite (Jurassic)","Dark-gray, fine- to coarse-grained, equigranular plutonic rocks composed of subequal plagioclase and mafic minerals that include biotite, hornblende, and pyroxene(?). One representative sample of mediumgrained gabbro contains ~48.5 percent SiO2 and ~3.5 percent total alkalis. Forms relatively small outcrop areas adjacent to less mafic rocks of units Jg and Jgm; relative age relations with these units are unclear from field observations. Commonly cut by light-colored dikes or dike-like bodies that probably are zones of albitic alteration",
Jgs,,"Quartz monzonite of Goldstone, Fine-grained syenite to syenogranite (Jurassic)","Light-gray, light-purplish-gray, and light-red, fine-grained rocks west of Vulcan Mine. Equigranular to porphyritic; groundmass is microcrystalline to fine-grained felsite composed of potassium feldspar, plagioclase, and minor quartz; phenocrysts of potassium feldspar and plagioclase mostly 1–7 mm long form as much as 30 percent of the rock volume. Stained slabs and thin sections show that potassium feldspar is significantly more abundant than plagioclase, both in the groundmass and as phenocrysts. Scattered biotite crystals ≤2 mm long typically form 1–2 percent of the rock volume. Two representative samples contain ~65–71 percent SiO2 and ~11 percent K2O + Na2O. Undated; Jurassic age inferred although relative age relation to adjacent quartz monzonite (unit Jgqm) is unclear from field observations. Faulted against monzogranite (unit Jgm) and gabbro/diorite (unit Jgg) ",
Jgqm,,"Quartz monzonite of Goldstone, Quartz monzonite (Jurassic)","Reddish-gray, medium-grained, equigranular to weakly porphyritic quartz monzonite west of Vulcan Mine. Typically composed of 35–40 percent red potassium feldspar, 30–40 percent white plagioclase, 5–20 percent quartz, and 5–20 percent mafic minerals including iron oxides; a few samples have as much as 40 percent mafic minerals. Average grain size 2–3 mm. Plagioclase, which is strongly sericitized, commonly forms anhedral to euhedral phenocrysts as much as 6 mm long; mafic minerals are biotite and subordinate hornblende. No albitic alteration noted. Unit is characterized by its distinctive rock color, which is largely due to the abundance of unaltered red potassium feldspar. Four typical samples have ~63–64 percent SiO2 and ~8.5–9 percent K2O + Na2O; one unusually mafic sample has ~52 percent SiO2 and ~5.8 percent K2O + Na2O",
Jgm,,"Quartz monzonite of Goldstone, Monzogranite (Jurassic)","Light-gray to light-reddish-gray, medium-grained, equigranular to porphyritic monzogranite west and south of Vulcan Mine. Most rocks are unaltered to weakly altered, but some are strongly to completely albitized. Unaltered to weakly altered rocks are composed of 30–45 percent potassium feldspar (commonly pink to reddish gray), 20–45 percent plagioclase (white to light greenish gray, some highly sericitized), 20–30 percent quartz, and <5–10 percent biotite that is commonly replaced by chlorite; many samples contain subequal amounts of potassium feldspar, plagioclase, and quartz. Average grain size in equigranular rocks is 2–4 mm. Porphyritic rocks typically contain as much as 30 percent red potassium feldspar phenocrysts 5–20 mm long; some samples contain plagioclase phenocrysts generally ≤5 mm long. By contrast, strongly to completely albitized rocks typically are composed of 60– 70 percent plagioclase, 20–30 percent quartz, and 5–10 percent altered biotite or chlorite. Eight representative samples of unit have ~68–76 percent SiO2 and ~7.5–9 percent K2O + Na2O; of these, one strongly albitized sample is enriched in sodium (7.4 percent Na2O) and depleted in potassium (0.8 percent K2O) as a result of metasomatism. Contact with undivided rocks of unit Jg south of Vulcan Mine is approximately located and possibly gradational",
Jgmr,,"Quartz monzonite of Goldstone, Red monzogranite (Jurassic)","Reddish-brown, medium-grained, weakly porphyritic monzogranite forming four small outcrop areas ~1 km east of Foshay Pass. Composed of 35 percent each of red potassium feldspar and greenish-gray plagioclase, 20 percent quartz, and 10 percent mafic minerals and iron oxide. Plagioclase (weakly sericitized) forms small, subhedral phenocrysts ≤5 mm long in a slightly finer grained groundmass (average grain size ~3 mm) of potassium feldspar, quartz, and mafic minerals. Potassium feldspar is poikilitic and contains graphic intergrowths of quartz; mafic minerals are thoroughly altered to chlorite and epidote. One representative sample has ~69 percent SiO2 and ~9 percent K2O + Na2O. Contact with undivided rocks of unit Jg is sharp, but the relative age relations are unclear from field observations",
Jgr,,"Quartz monzonite of Goldstone, Altered reddish-brown granitic rocks— (Jurassic)","Distinctive zones of altered, deeply weathered, reddish-brown granitic rocks south of Vulcan Mine and west of Goldstone Spring. Rocks are highly fractured, medium-grained (2–4 mm), quartz-rich granitoids characterized by abundant veinlets and irregular masses of altered biotite and chlorite; some rocks contain no potassium feldspar, presumably because of albitization. Four representative samples contain ~68 to 73 percent SiO2 and ~5–9 percent K2O + Na2O; one of these, which lacks potassium feldspar, is enriched in sodium (~6 percent Na2O) and depleted in potassium (0.4 percent K2O) as a result of metasomatism. In many places the altered granitic rocks are cut by small, dark-colored dikes that have not been separately mapped; the alteration of the granitic rocks may be related to intrusion of these dikes. Together, the altered granitic rocks and associated dikes form two narrow, north-trending, recessive outcrop bands surrounded by the more resistant granitoid outcrops of unit Jg; both outcrop bands are offset by east- to northeast-striking, left-lateral strike-slip faults. Smaller, unmapped zones of similarly altered rocks also are present in unit Jg ",
Jfr,,Fountain Peak Rhyolite (Jurassic),"Massive, microcrystalline rhyolite that forms resistant outcrops along crest and slopes of Providence Mountains in vicinity of Fountain Peak and Edgar Peak. Dominant rock type is aphanitic to porphyritic rhyolite that varies in color from dark reddish brown and dark reddish purple to light gray, light yellowish gray, and light brownish gray. The rhyolite commonly contains 5– 10 percent feldspar phenocrysts (mainly plagioclase) <1 mm to 3 mm long; such phenocrysts rarely form as much as 30 percent of the rock volume. This rhyolite varies from featureless to strongly flow banded, with flow banding ranging from planar to contorted. Less abundant is massive rhyolite that contains scattered to abundant volcanic lithoclasts mostly 1–2 cm but locally as much as 30 cm in maximum dimension; some highly flattened lithoclasts are probably altered pumice fragments. These rocks, which are interpreted to have originated as tuff and welded tuff, are most common in eastern part of outcrop area. Chemically, 15 samples from various parts of unit are all rhyolite having ~70–78 percent SiO2 and ~9–11 percent total alkalis; only one of these has less than ~74 percent SiO2. Unit is interpreted to contain both intrusive and extrusive components as originally recognized by Hazzard (1954). Rhyolite in western part of outcrop area, including the narrow northern end, cuts across and intrudes adjacent sedimentary units (Pb, ms, ml, Jfs) and is interpreted to represent the feeder system of an extrusive dome represented by rhyolite to the east that is in close spatial association with tuffaceous and sedimentary rocks. Extrusive rocks presumably were once present west of feeder system as well, but later removed by erosion",
Jfs,,"Fountain Peak Rhyolite, Sandstone, conglomerate, and tuff (Jurassic)","Lenticular sequences of well-bedded clastic rocks below and within rhyolite of unit Jfr. Sequences below unit Jfr overlie Moenkopi Formation or limestone-clast conglomerate (unit JTRc) and are overlain or intruded by unit Jfr; sequences within Jfr are in apparent depositional contact with rhyolite above and below, although the mapped contacts are approximately located. Some outcrops are fault bounded. Dominant rock type is maroon to brown, fine- to coarse-grained, arkosic to volcanic-lithic sandstone composed primarily of detrital feldspar, felsic volcanic grains, and quartz; feldspar grains are commonly subhedral to nearly euhedral, implying little reworking prior to deposition; very fine grained quartz sand and silt are common in the matrix of some coarse-grained sandstones. Many beds display size-sorted, planar lamination. Associated conglomeratic rocks contain granules to small pebbles of volcanic rocks (primarily felsic but also some dark clasts), sandstone, and limestone. South of Crystal Spring on east side of the Providence Mountains, unit is composed primarily of felsic tuff and tuffaceous sandstone, including distinctive green, well-bedded rocks in which diverse, poorly sorted, angular to subangular clasts ranging from fine sand size to 3 mm in diameter are enclosed in a finegrained felsitic matrix or groundmass; clasts include feldspar, quartz, and finegrained volcanic and sedimentary lithic fragments. Identical green tuffaceous rocks also form a Quaternary landslide mass downslope of these outcrops. North of Foshay Pass, basal part of unit locally consists of dark-brown, porphyritic andesite that directly overlies Moenkopi Formation; this andesite is overlain by light-gray felsic tuff that is overlain in turn by conglomeratic sandstone. Unit thickness variable, but locally >100 m",Sandstonr
Jfl,,"Fountain Peak Rhyolite, Limestonr (Jurassic)","Brownish-gray, massive limestone that forms a narrow, faultbounded outcrop spatially associated with units Jfs and Jfr in southeastern part of map area. Origin unknown, possibly an alteration product",
JTRc,,Limestone-clast conglomerate (Jurassic or Triassic),"Massive to weakly bedded limestone-clast conglomerate, ~10–20 m thick, directly overlying Moenkopi Formation near crest of Providence Mountains northwest of Edgar Peak. Limestone clasts are mostly light-gray, angular to subrounded, and range in size from pebbles to boulders; some contain lenticular chert. Reddish-brown, fine-grained sandstone pebbles and cobbles are subordinate. Clasts are segregated into weakly developed size-sorted layers; elongate clasts generally parallel bedding. Limestone and sandstone clasts probably were derived from the Bird Spring and Moenkopi Formations, respectively",
TRml,,"Moenkopi Formation, Limestone member (Triassic)","Light- to medium-gray, thin- to medium-bedded limestone and minor interbedded, brown to reddish-brown, fine-grained sandstone, siltstone, and shale. Limestone is characterized by a distinctive nodular texture that produces irregular, wavy bedding surfaces. Fragmented shell material present locally. Present only northwest of Edgar Peak. Thickness ~150 m",
TRms,,"Moenkopi Formation, Sandstone member (Triassic)","Predominantly light-brown, thin-bedded, fine-grained calcareous sandstone to siltstone; minor reddish-brown shale and light- to medium-gray, nodular limestone. Sandstone is composed of subequal amounts of detrital quartz and calcite, along with subordinate detrital feldspar, in calcite cement. Lower contact sharp and presumably unconformable. Thickness ~110 m",
PIPb,,Bird Spring Formation (Permian and Pennsylvanian),"Predominantly limestone, cherty limestone, dolomitic limestone, and dolomite; minor silty limestone and calcareous siltstone. Carbonate rocks are metamorphosed to marble near plutonic rocks (unit Jg) in southern part of map area. Formation is broadly divisible into upper, middle, and lower parts of approximately equal thickness. Upper part is composed primarily of light-gray, thin- to medium-bedded dolomite and dolomitic limestone that contain irregular, popcorn-shaped, light-gray chert nodules; light- to medium-gray limestone and grayish-orange silty limestone to calcareous siltstone are subordinate. Middle part is composed primarily of light- to medium-gray, thin- to thick-bedded and massive limestone and subordinate grayish-orange silty limestone to calcareous siltstone; marine fossils including fusulinids, solitary corals, and colonial corals are locally abundant (Thompson and Hazzard, 1946; Wilson, 1994; Stevens and Stone, 2007). Lower part is composed of medium- to darkgray, thick-bedded to massive limestone that commonly contains abundant lenses and nodules of dark-brown chert, including rare spherical to subspherical nodules (“golf ball chert”). Conodonts from middle and lower parts of formation were described by Law (1969). Basal 20 m of formation locally consists of dark-gray, thin-bedded limestone that contains brown, irregularly shaped, phosphatic nodules like those observed at the same stratigraphic position in the Ship Mountains 55 km to the southeast (Stone and others, 2013). Contact with underlying Monte Cristo Limestone is commonly difficult to locate precisely, especially where the dark-gray Yellowpine Member is present; mapped contact was mainly interpreted from aerial photographs based on the geomorphic distinction between the cliff-forming Monte Cristo Limestone and the ledge-and-slope-forming Bird Spring Formation. Total thickness of formation is ~975 m. In addition to bedrock outcrops, unit forms two Quaternary or Pliocene landslide masses, one on each side of the Providence Mountains",
Mm,,Monte Cristo Limestone (Mississippian),"Limestone, cherty limestone, and minor dolomite. From top to bottom, consists of Yellowpine, Bullion, Anchor, and Dawn Members (Hazzard, 1954). Yellowpine Member (maximum thickness about 25 m) consists of medium- to dark-gray limestone locally containing abundant brachiopods, solitary corals, and colonial corals. This unit is absent or unrecognizable at many localities and may be lenticular. Bullion Member, about 100 m thick, consists of light-gray, massive, cliff-forming limestone and minor dolomite containing lenses and nodules of cream-colored chert. Anchor Member, about 70 m thick, consists of light- to dark-gray limestone and minor dolomite containing abundant layers and lenses of brown chert 5–10 cm thick; chert makes up as much as ~40 percent of this unit. Limestone typically becomes lighter in color from bottom to top within the Anchor Member; upper and lower contacts are gradational. Dawn Member, about 70 m thick, consists primarily of medium- to dark-gray limestone that locally contains solitary corals, coarse crinoid debris, and other marine fossil material. Base of member and formation is herein placed at base of a 7-m-thick layer of brownish-gray, sandy dolomite that sharply overlies orthoquartzite mapped as the uppermost part of the Sultan Limestone (unit Dl); this sandy dolomite is overlain by 25 m of light-gray, thick-bedded, fine-grained limestone, which in turn is overlain by medium-gray dolomite that grades upward into typical medium- to darkgray limestone of the Dawn Member. Average total thickness of formation is ~250 m",
Dl,,"Limestone, dolomite, and quartzite (Devonian)","Informal unit that commonly forms prominent cliffs. Upper half of unit, equivalent to Crystal Pass Member of the Sultan Limestone (Hazzard, 1954), consists primarily of light-gray, light-yellowish-gray, and light-bluish-gray, medium- to thick-bedded, laminated, very fine grained limestone. Late Devonian (Famennian) conodonts were reported in these rocks by Miller (1983). As mapped herein, upper 5 m locally consists of light-gray, medium-grained orthoquartzite that may correlate with the Late Devonian Quartz Spring Member of the Lost Burro Formation of Langenheim and Tischler (1960); in contrast, Hazzard (1954) mapped this orthoquartzite as the basal part of the overlying Monte Cristo Limestone. Lower half of unit, equivalent to upper part of the Valentine Member of the Sultan Formation (Hazzard, 1954), consists primarily of lightto dark-gray, thick-bedded to massive limestone and dolomite, along with minor silty to sandy dolomite and light-gray orthoquartzite. Limestone generally is more abundant than dolomite, although dolomite predominates in some areas. Stromatoporoids are abundant in several limestone and dolomite beds; corals, brachiopods, and gastropods are also present. Late Devonian (Frasnian) conodonts and brachiopods were reported by Miller (1983). Lower 20 m of unit typically consists of massive, light-gray limestone or dolomite overlain by a prominent bed of dark-gray limestone or dolomite 1–2 m thick containing abundant stromatoporoids; these rocks sharply overlie the slopeforming, thinner bedded rocks in the upper part of unit Dd. This prominent lower contact is the most consistent and readily mapped break in the stratigraphic sequence between the Dunderberg Shale and Monte Cristo Limestone. Unit thickness generally ~230 m, but locally as little as ~135 m (see cross section B-B′) owing to abrupt lateral thinning of the lower part; map relations suggest that this thinning could have taken place across faults active at the time of deposition",
DCd,,"Dolomite, sandy dolomite, and quartzite (Devonian to Cambrian)","Informal unit consisting of an upper and a lower part. Upper 30 to 40 percent of unit consists of thin- to thick-bedded to massive, light- to medium-gray, brown, and grayish-orange dolomite and sandy dolomite, minor light-gray, finegrained quartzite, and one or two resistant beds of black dolomite 5 to 15 m thick near the middle. The black dolomite beds locally contain poorly preserved stromatoporoids. Lower 60 to 70 percent of unit consists of thickbedded to massive, light- to dark-gray dolomite that typically weathers to resistant crags and ledges. The dolomite typically forms alternating thick intervals of relatively lighter and darker color; thicknesses of five such intervals that compose one exceptionally well exposed section are, from top to bottom, 30 m (medium gray), 30 m (light gray), 40 m (medium to dark gray), 35 m (light gray), and 70 m (medium gray). Plane-laminated, medium- to coarse-grained dolomite is common in the basal 10 m of unit. Total thickness ~350–390 m.Lower contact is generally sharp but locally gradational with dolomite in upper part of Dunderberg Shale (Cd). Unmapped internal contact between upper and lower parts of unit is indistinct and probably gradational. Black dolomite beds in upper part of unit are equivalent to Ironside Member of the Sultan Limestone and have yielded conodonts of late Middle to early Late Devonian age (Miller, 1983); these beds are discontinuous and could not be used as a basis for mapping the base of the Sultan Limestone. Rocks above the black dolomite are equivalent to lower part of the Valentine Member of the Devonian Sultan Limestone (Hazzard, 1954; Miller, 1983), and rocks below the black dolomite are interpreted as equivalent to the Devonian and Ordovician Mountain Springs Formation of Miller and Zilinsky (1981). Lower part of unit is equivalent to the Cambrian Cornfield Springs Formation of Palmer and Hazzard, 1956) excluding the basal Dunderberg Shale Member, which here is mapped as a separate formation",
