code,grouping,title,description
QPvd4,,Dry Lake volcanic flows of Birkeland (1961) and Wise and Sylvester (2004) (Pliocene and/or Pleistocene),"Aphyric and porphyritic flows of potassium-rich andesite and dacite from domes south and southeast of Dry Lake in the Martis Peak quadrangle. QPvd1 – QPv4 (oldest to youngest). A whole- rock age of 1.34 Ma is reported from a flow west of Klondike Meadow in the Martis Peak quadrangle (written communication, A.G. Sylvester, 2004). Birkeland (1961) originally mapped five latite and basalt flows; Latham (1985) mapped six hornblende and pyroxene andesite flows."
QPvbc,,Big Chief basalt of Birkeland (1961) (Pliocene and/or Pleistocene),Dark-gray hypocrystalline basalt with sparse olivine phenocrysts; probably erupted from fissures along northwest-trending faults. Deer Creek trachybasaltic andesite flow of Wise and Sylvester (2004).
QPvpm,,Page Meadow basalt of Wise and Sylvester (2004) (Pliocene and/or Pleistocene),Olivine basalt flows and dikes along south side of Truckee River and under Page Meadows. Also occurs as dikes in the Sunnyside area.
QPs,,"Unnamed gravels, sand and alluvium (Pliocene and/or Pleistocene)",Undivided gravels and alluvial deposits. Includes Cabin Creek alluvium of Birkeland (1961) in the Truckee quadrangle - weathered andesitic cobble gravel and interstitial andesitic sand overlain by the Bald Mountain flow. Also includes the Fir Crags gravel of Birkeland (1961) in the Tahoe City quadrangle - andesitic cobble gravel that underlies the Page Meadow basalt. Locally may include lacustrine deposits.
QPvbu,,Burton Creek basalt of Wise and Sylvester (2004) (Pliocene and/or Pleistocene),Olivine basalt flows south of Burton Creek.
QPvlf,,Lake Forest basalt of Wise and Sylvester (2004) (Pliocene and/or Pleistocene),Olivine basalt flows northwest of Lake Forest.
QPvb,,Unnamed volcanic rocks (Pliocene and/or Pleistocene),"Basalt flows, flow breccia and basaltic ash. Includes maar at Lake Forest near Dollar Point."
QPi,,Unnamed intrusive rocks (Pliocene and/or Pleistocene),"Irregular-shaped intrusions and dikes of andesite, latite and basalt. May include local flows. QPia – intrusive andesite and latite; QPib – intrusive basalt."
Pvta,,Tahoe City trachyandesite of Wise and Sylvester (2004) (Pliocene),Thick trachyandesite flows northwest of Tahoe City. Pvtcc - cinder cone deposits.
Pvtb,,Tahoe City basalt of Wise and Sylvester (2004) (Pliocene),"Dark-gray olivine basalt and palagonitic basalt flows with local pillow structures at the base; underlies Tahoe City and forms a bench along Truckee River. Tahoe City olivine latite of Birkeland (1961). K-Ar whole-rock age of 2.0±0.1 Ma (recalculated from Dalrymple, 1964)."
Pvp,,Polaris olivine latite of Birkeland (1961) (Pliocene),"Small olivine latite flow overlying latite tuff and tuff breccia. Pvpt – latite tuff and tuff breccia. K-Ar whole- rock age of 1.68±0.05 Ma (recalculated from Doell and others, 1966)."
Pvpt,,Polaris olivine latite of Birkeland (1961) (Pliocene),Latite tuff and tuff breccia
Pvah,,Alder Hill basalt of Birkeland (1961) (Pliocene),"Three olivine basalt flows probably erupted from vent on Alder Hill. Pvahcc - cinder cone deposits. Includes Alder Creek and Beacon flows of Latham (1985). K-Ar whole-rock age of 2.4±0.1 Ma (recalculated from Dalrymple, 1964)."
Pvahcc,,Alder Hill basalt of Birkeland (1961) (Pliocene),Cinder cone deposits
Pva,,Andesite and basaltic andesite flows (Pliocene),"Light- to dark-gray, fine-grained porphyritic, massive to locally flow-banded andesite and basaltic andesite flows. Occurs as continuous flows and isolated remnants of larger flows deposited in channels eroded in older Tertiary volcanic deposits. Includes lava domes in the Agate Bay area (Wise and Sylvester, 2004). Harwood and Fisher (2002) report K-Ar whole-rock ages that range from 3.3±0.09 to 4.7±0.1 Ma on andesite flows in the Homewood, Tahoe City, and adjacent quadrangles to the west. Basaltic andesite flows along the northwest corner of the Martis Peak quadrangle have been dated north of the map area in the Boca quadrangle. Samples at Boca Hill and from a flow to the north give Ar/Ar whole-rock ages of 4.09±0.40 Ma and 3.95±0.15 Ma respectively (written communication, C.D. Henry, 2004). K-Ar whole-rock ages of 2.3±0.1 Ma (recalculated from Dalrymple, 1964) on an upper andesite flow and 2.53±0.07 Ma (recalculated from Doell and others, 1966) on a lower andesite flow along the highway south of Watson Creek in the Kings Beach quadrangle."
Pval,,Andesite lahars (Pliocene),"Deposits of blocky, light- to dark-gray tuff breccia derived from and interbedded with hornblende- and hypersthene- bearing flows."
Pvb,,Basalt flows (Pliocene),"Dark-gray to black, fine-grained, sparsely porphyritic to glomeroporphyritic olivine basalt flows occurring as small, widely separated, columnar-jointed masses deposited on older Tertiary volcanic rocks and granitic rocks. K-Ar whole-rock ages on basalt flows, west of the map area, range from 7.6± 0.2 to 4.0±0.1 Ma (Harwood and Fisher, 2002). Includes the Boca Ridge flows of Latham (1985) - porphyritic olivine basaltic andesite, shoshonite, latite and mugearite flows. North of the map area, in the Boca quadrangle, Latham (1985) reports a K-Ar whole-rock age of 2.8 Ma on a flow north of Rocky Canyon on Boca Ridge. Henry and Perkins (2001) report an Ar/Ar whole-rock age of 2.61±0.03 Ma on the same basaltic andesite flow."
Pi,,Dikes and intrusives (Pliocene),"Pia - Flow-banded to massive, fine- to coarse- grained hornblende andesite dikes and altered intrusive andesite and andesite breccia in vent areas; Pib - Black, fine-grained olivine basalt dikes and intrusives. Harwood and Fisher (2002) report a K-Ar whole-rock age of 3.0±0.08 Ma on an andesite plug in the Ellis Peak area and 4.0±0.1 and 4.1±0.1 Ma ages on andesite dikes in the Ward Peak area. Andesite dikes, to the west of the map area, have K-Ar whole-rock ages that range from 3.6±0.05 to 4.3±0.1m.y (Harwood and Fisher, 2002). Basalt dikes, in the same area, have K-Ar whole-rock ages that range from 3.9±0.1 to 4.4±0.1 Ma (Harwood and Fisher, 2002)."
Pia,,Dikes and intrusives (Pliocene),"Flow-banded to massive, fine- to coarse-grained hornblende andesite dikes and altered intrusive andesite and andesite breccia in vent areas"
Pib,,Dikes and intrusives (Pliocene),"Black, fine-grained olivine basalt dikes and intrusives."
Mva,,"Undivided andesitic and dacitic lahars, flows, breccia and volcaniclastic sediments (Miocene)","Undivided andesite, trachyandesite, basaltic andesite and dacite lahars, flows, breccia and volcaniclastic sediments; local basalt flows. In part, may include rocks of Pliocene age. Locally includes rhyolite tuff. Includes Mehrten, Relief Peak and Kate Peak formations. An andesite block from a block and ash flow tuff west of Kirkwood Valley in the Caples Lake quadrangle gives a preliminary Ar/Ar plagioclase age of 6.0±0.2 Ma (DeOreo, 2004). An andesite block from a block and ash flow tuff east of Kirkwood Valley in the Caples Lake quadrangle gives an Ar/Ar biotite age of 14.70±0.06 Ma and a preliminary plagioclase age of 14.0±0.5Ma (DeOreo, 2004). An andesite peperite dike that intrudes debris flow deposits east of Kirkwood Valley in the Caples Lake quadrangle gives an Ar/Ar whole rock age of 10.6±0.2 Ma and a preliminary plagioclase age of 10.4±0.2 Ma (DeOreo, 2004)."
Mvaf,,Andesite and dacite flows (Miocene),"Massive to platy andesite, includes hornblende- and pyroxene-andesite flows and dacite flows. Locally includes andesite and dacite domes; in part may be Pliocene. May locally include trachybasalt and basalt flows. An andesite flow west of the map area in the Norden quadrangle gives an Ar/Ar hornblende age of 6.33± 0.25 Ma (written communication, C.D. Henry, 2004)."
Mvbf,,Basalt flows (Miocene),"Grey to black, aphyric to coarsely crystalline basalt flows. A basalt flow at Red Lake Peak in the Carson Pass quadrangle gives an Ar/Ar whole rock age of 6.75±0.15 Ma (DeOreo, 2004). May locally include andesite and trachyandesite flows."
Mvs,,Fluvial deposits (Miocene),"Well-stratified, clast-supported deposits composed of mafic to intermediate volcanic clasts in the Caples Lake and Carson Pass quadrangles. Includes interstratified coarse-grained fluvial and volcanic debris flow deposits at Castle Point in the Caples Lake quadrangle and volcanic lithic sandstones and cobble conglomerate-breccia at Elephants Back in the Carson Pass quadrangle."
Mi,,Intrusive rocks (Miocene),"Local dikes and intrusions of andesite, latite, basaltic andesite, basalt and rhyolite; in part may be Pliocene. Mia – andesite, basaltic andesite and latite; Mib – basalt and basaltic andesite; Mir – rhyolite. An Ar/Ar age of 6.32 Ma on hornblende is reported from a hornblende andesite intrusion in the Martis Peak quadrangle at Martis Peak (written communication, W.S. Wise, 2004). A basaltic andesite intrusion on the west side of Little Valley in the Marlette Lake quadrangle and a basalt dike west of Donner Lake in the Norden quadrangle, west of the map area, give Ar/Ar whole-rock ages of 13.9±0.9 Ma and 8.4±0.4 Ma respectively (written communication, C.D. Henry, 2004). Armin and others (1984) report a K-Ar age of 5.2±0.8 Ma on a hornblende andesite neck at Stevens Peak and a K-Ar age of 13.4±1.5 Ma on an andesite dome at Elephants Back in the Carson Pass quadrangle."
Mia,,Intrusive rocks (Miocene),"andesite, basaltic andesite and latite"
Mib,,Intrusive rocks (Miocene),basalt and basaltic andesite
Mir,,Intrusive rocks (Miocene),rhyolite
Mvg,,Glenbrook volcanic center (Miocene),"Porphyritic hornblende-sanidine latite in irregular-shaped intrusive masses and dikes, local vitric-crystal tuff and associated hornblende trachyte flows and vent fill in the Glenbrook quadrangle (Grose, 1985). Mvgi – latite intrusions; Mvgt – vitric-crystal tuff; Mvgf – trachyte flows and vent fill. Morton and others (1977) report a K-Ar age of 8.7±0.3 Ma."
Mvgi,,Glenbrook volcanic center (Miocene),latite intrusions
Mvgt,,Glenbrook volcanic center (Miocene),vitric-crystal tuff
Mvgf,,Glenbrook volcanic center (Miocene),trachyte flows and vent fill
Mvul,Upper lahar sequence of Harwood and Fisher (2002),Andesitic lahars (Miocene),Light- to dark-gray lahars composed primarily of hornblende andesite blocks mixed with basalt and dacite fragments.
Mvula,Upper lahar sequence of Harwood and Fisher (2002),Andesite flows (Miocene),"Light-gray weathering, dark-gray, fine-grained, porphyritic hornblende andesite flows."
Mvulp,Upper lahar sequence of Harwood and Fisher (2002),Pumiceous tuff (Miocene),"White to yellow-tan, hornblende-rich pumice lapilli air- fall tuff; pumice lapillae up to 2 cm in diameter mixed with generally minor amounts of dark-gray to brick-red scoria; massive to thick-bedded, locally graded layers."
Mvulr,Upper lahar sequence of Harwood and Fisher (2002),Rockslide-avalanche deposits (Miocene),"Mottled gray, tan, brick-red and yellow, nonstratified, heterolithologic chaotic mixture of huge volcanic blocks and matrix; blocks consist of intensely fractured and altered, aphanitic dacite(?), scattered blocks of andesite and andesitic lahar in a matrix of volcanic mudstone and ash. Forms a widespread debris blanket south and southwest of Squaw Valley."
Mvll,Lower lahar sequence of Harwood and Fisher (2002),Andesitic lahars (Miocene),"Gray to brick-red, blocky, massive locally flow- banded lahars composed of chaotic mixtures of andesitic fragmental debris in a volcaniclastic muddy matrix; minor interbedded volcanic conglomerate and sandstone; sparse andesite flows."
Mvlla,Lower lahar sequence of Harwood and Fisher (2002),Andesite flows (Miocene),"Light-gray weathering, dark-gray, fine-grained, porphyritic hornblende andesite flows. Harwood and Fisher (2002) report a K-Ar whole-rock age of 5.4±0.07 Ma on an andesite flow west of the map area in the Granite Chief quadrangle."
OMvr,,Rhyolite tuff (Oligocene and Miocene?),"Crystal-rich to crystal-poor, welded and non-welded rhyolite tuff from sources in central and western(?) Nevada. Includes the Valley Springs Formation, Lenihan Canyon Tuff and the Mickey Pass Tuff. Ar/Ar ages for the Lenihan Canyon Tuff (26.60±0.06 Ma) and the Mickey Pass Tuff (26.94±0.07 Ma) were obtained from samples collected at McClellan Peak in the Virgina City quadrangle, Nevada (written communication, C.D. Henry, 2004). Other isotopic ages determined for rhyolite tuffs exposed to the east and west of the map area range from 21.6 to 33.9 Ma (Harwood and Fisher, 2002; Stewart, 1999)."
Oc,,Conglomerate and breccia (Oligocene and/or older Tertiary),Conglomerate consisting of angular to rounded boulders of Tertiary volcanic rocks and pre-Tertiary metavolcanic and mafic plutonic rocks.
ap,,Aplite and pegmatite dikes (Cretaceous),Medium- to fine-grained; in places altered and iron-stained.
Kelg,Sierra Nevada Batholith,Echo Lake granodiorite (Cretaceous),"Very light-gray, medium- to coarse- grained, weakly porphyritic hornblende-biotite granodiorite; locally includes quartz monzonite. Commonly weathers to pale-orangish-gray grus. Characterized by small microcline phenocrysts 0.5 to 1.5 cm long and abundant flattened mafic inclusions. Mafic inclusions are common and are locally abundant near contacts. Similar to and probably correlative with the Freel Peak granodiorite. Armin and John (1983) report a K-Ar age of 91.7±0.8 Ma (hornblende) and 72.8±1.0 Ma (biotite) from a sample collected on the north side of Waterhouse Peak in the Freel Peak quadrangle. Intrudes the Keiths Dome quartz monzonite and is intruded by the Bryan Meadow granodiorite."
Kppg,Sierra Nevada Batholith,Phipps Pass granodiorite (Cretaceous),"Medium- to coarse-grained, equigranular hornblende-biotite granodiorite. Texturally similar to the more potassic granodiorite phases of the Bryan Meadow granodiorite."
Kbmg,Sierra Nevada Batholith,Bryan Meadow granodiorite (Cretaceous),"Light-gray, medium-grained locally porphyritic hornblende-biotite granodiorite typically containing about 5 percent subhedral and euhedral hornblende crystals as large as 1 cm, and similar amounts of biotite in a groundmass of feldspar and quartz. Intrudes the Echo Lake granodiorite, Burnside Lake adamellite, granodiorite of Freel Peak, Lovers Leap granodiorite, quartz diorite of Jobs Canyon, Keiths Dome quartz monzonite, and the Desolation Valley granodiorite. Armin and John (1983) report K-Ar ages of 89.3±2 and 89.6±2 Ma (biotite) for a sample collected in Horsethief Canyon in the Freel Peak quadrangle."
Kllg,Sierra Nevada Batholith,Lovers Leap granodiorite (Cretaceous),"Light-gray, fine- to medium-grained porphyritic hornblende-biotite granodiorite with abundant 10- to 15-mm-long poikilitic potassium feldspar phenocrysts and fairly abundant clots of fine-grained biotite and hornblende 3 to 10 mm in diameter. Intruded by the Wrights Lake granodiorite and Bryan Meadow granodiorite."
Kgag,Sierra Nevada Batholith,Glen Alpine granodiorite (Cretaceous),Hornblende-biotite granodiorite; foliated throughout; mafic inclusions commonly less than 16 mm. Hornblende crystals define a vertical lineation near the contacts.
Ktlg,Sierra Nevada Batholith,Tyler Lake granodiorite of Sabine (1992) (Cretaceous),"Medium-grained, equigranular granodiorite. Plagioclase forms equant or tabular euhedral to subhedral crystals 1 to 3 mm across. Biotite is the principal mafic mineral occurring as discrete grains or in small clusters. Intrudes the Pyramid Peak granite and the Desolation Valley granodiorite."
Kwlg,Sierra Nevada Batholith,Wrights Lake granodiorite (Cretaceous),"Medium- to coarse-grained hornblende- biotite granodiorite with poikilitic potassium feldspar; distinguished by euhedral hornblende 8 to 15 mm long. Randomly distributed mafic inclusions are common. A general planar orientation of hornblende and plagioclase defines a subtle foliation. Intrudes the Pyramid Peak granite, Camper Flat granodiorite, and the Lovers Leap granodiorite."
Kdlg,Sierra Nevada Batholith,Dicks Lake granodiorite (Cretaceous),Medium- to coarse-grained hornblende- biotite granodiorite; foliated and lineated subvertically near the contact. Intrudes the Camper Flat granodiorite and the quartz diorite of Azure Lake.
Krpa,Sierra Nevada Batholith,Alaskite at Rubicon Point (Cretaceous),"Medium- to coarse-grained alaskite. Consists of quartz, plagioclase, microcline, and biotite. Foliate structure indicates it is younger than the Phipps Pass granodiorite."
Krvg,Sierra Nevada Batholith,Rockbound Valley granodiorite (Cretaceous),Hornblende-biotite granodiorite; distinguished by the consistent and relatively fine grain size of the mafic minerals. Intrudes the Camper Flat granodiorite.
Kwpg,Sierra Nevada Batholith,Granodiorite of Waterhouse Peak (Cretaceous),"Dark-gray, fine-grained, equigranular hornblende-biotite granodiorite to quartz monzodiorite exposed on the northeast flank of Waterhouse Peak. Flattened diorite inclusions are locally abundant. Intrudes the Echo Lake granodiorite and the Bryan Meadow granodiorite."
Kgqd,Sierra Nevada Batholith,Quartz diorite of Grass Lake (Cretaceous),"Medium- to dark-gray, medium- grained, strongly foliated hornblende-biotite quartz diorite. Local protoclastic gneissic bands parallel the dominant foliation defined by preferred orientation of biotite. Intrudes the Bryan Meadow granodiorite."
Kkgg,Sierra Nevada Batholith,Granodiorite of Kingsbury Grade (Cretaceous),"Medium-grained hornblende- biotite granodiorite characteristically containing 5 to 10 percent of large (7-10 mm) anhedral biotite flakes. Contains plagioclase laths, microcline patches as much as 15 mm in diameter, quartz, and 2- to 5-mm-long hornblende laths. Strongly foliated along northern and western contacts where a fine-grained chilled margin indicates that this rock intruded both the granodiorite of Daggett Pass and the granodiorite of East Peak."
Kwpt,Sierra Nevada Batholith,Tonalite West of Waterhouse Peak (Cretaceous),"Dark-gray, medium-grained, locally strongly foliated hornblende-biotite tonalite that crops out on the west side of Waterhouse Peak. Characterized by clots of anhedral fine-grained biotite and hornblende as long as 1 cm. Intrudes the Freel Peak granodiorite."
Keg,Sierra Nevada Batholith,Granodiorite of East Peak (Cretaceous),"Fine- to medium-grained, well-foliated, equigranular to weakly porphyritic hornblende-biotite granodiorite to quartz monzodiorite. Contains potassium feldspar that locally forms subhedral phenocrysts to 1.5 cm long, and hornblende which occasionally form needles as long as 15 mm. Foliation is defined by sub-parallel alignment of biotite, hornblende, and locally feldspars. Intruded by the Bryan Meadow granodiorite and the granodiorite of Kingsbury Grade, and it intrudes the granodiorite of Daggett Pass. Equivalent to quartz monzodiorite and granodiorite of Zephyr Cove of Grose (1985)."
Ksgr,Sierra Nevada Batholith,Monzogranite of Spooner Summit of Grose (1985) (Cretaceous),"White to light- gray, medium-grained idiomorphic, slightly porphyritic with hornblende laths locally to 10 mm long. Massive to weakly foliated with rare dioritic inclusions 1 to 20 cm long."
Ktcg,Sierra Nevada Batholith,Granodiorite of Thornburg Canyon (Cretaceous),"Light-gray, medium-grained, porphyritic biotite granodiorite; contains blocky potassium feldspar phenocrysts to 3 cm in a salt-and-pepper textured groundmass."
Kcvg,Sierra Nevada Batholith,Granodiorite of Charity Valley (Cretaceous),"Light-gray, medium- to fine- grained, porphyritic biotite granodiorite; contains tabular potassium feldspar phenocrysts up to 2 cm. Mafic minerals are euhedral and subhedral biotite books and less common euhedral hornblende. Sphene is an abundant accessory mineral."
Kcld,Sierra Nevada Batholith,Diorite of Caples Lake (Cretaceous),"Dark-gray, medium-grained, strongly foliated, weakly porphyritic hornblende-biotite diorite. Characterized by a strong biotite-hornblende foliation, abundant flattened mafic inclusions and sparse plagioclase phenocrysts 5 to 8 mm long. Intrudes the granodiorite of Caples Lake."
Kclg,Sierra Nevada Batholith,Granodiorite of Caples Lake (Cretaceous),"Pinkish-gray, medium-grained, sparsely porphyritic, moderately well foliated hornblende-biotite granodiorite. Characterized by subhedral to anhedral subparallel biotite and hornblende crystals and sparse blocky potassium feldspar phenocrysts 5 to 10 mm long. McKee and Howe (1981) reported a K-Ar age of about 94 Ma (biotite)."
Kfpg,Sierra Nevada Batholith,Freel Peak granodiorite (Cretaceous),"Light orangish-gray-weathering, medium- grained, weakly porphyritic biotite granodiorite characterized by abundant ovoid quartz aggregates, small potassium feldspar phenocrysts 0.5 to 1.5 cm long, and ragged biotite crystals. Flattened mafic inclusions are abundant. Lithologically similar to Ebbetts Pass granodiorite of Wilshire (1957). Intrudes the quartz diorite of Jobs Canyon and is intruded by the tonalite west of Waterhouse Peak, the Burnside Lake adamellite, and the Bryan Meadow granodiorite. Armin and others (1984) report a K-Ar age of 93.2±3.0 Ma (hornblende) and 82.9±1.5 Ma (biotite) from a sample collected at Armstrong Pass in the Freel Peak quadrangle."
Kbla,Sierra Nevada Batholith,Burnside Lake adamellite of Parker (1961) (Cretaceous),"Light pinkish-gray, pale-pinkish-orange-weathering, porphyritic biotite granite containing microcline phenocrysts 1 to 3 cm long in a medium-grained groundmass. Intrudes both the Echo Lake granodiorite and the Freel Peak granodiorite and is intruded by the Bryan Meadow granodiorite. Armin and John (1983) report a K-Ar age of 86.5±0.5 Ma (biotite) for a sample collected at Scotts Lake in the Freel Peak quadrangle."
Kdpg,Sierra Nevada Batholith,Granodiorite of Daggett Pass (Cretaceous),"Medium- to coarse-grained, well- foliated hornblende-biotite granodiorite that grades into a mafic quartz monzodiorite about 1 km east of Daggett Pass. Hornblende crystals define a strong protoclastic foliation in the monzodiorite. Intruded by the granodiorite of Kingsbury Grade and the Bryan Meadow granodiorite. Armin and John (1983) report a K-Ar age of 92.1±2 Ma (hornblende) and 88.3±2 Ma (biotite) for a sample collected at Daggett Pass and a K-Ar age of 85.6±2 Ma (biotite) for a sample collected near the bottom of Daggett Creek, near the junction of the old Kingsbury Grade Road and Foothill Road east of the map area in the Minden quadrangle."
