code,grouping,title,description
Tq,,"Quatal Formation, terrestrial claystone and sandstone (Pliocene)","In the eastern Caliente Range, red beds of the Caliente Formation are overlain conformably by as much as 700 feet of lacustrine gray claystone. This claystone is believed to correlate, on the basis of similar lithology and stratigraphic position, with the Quatal Formation named by Hill, Carlson, and Dibblee (1958, p. 2996-2997) for Quatal Canyon near the type locality, in the Cuyama badlands southeast of the Caliente Range and beyond the southeast border of figure 2. This name is herein adopted for this claystone in both exposures.

The Quatal Formation, which conformably underlies the terrestrial Morales Formation, is exposed at only a few places other than in the Caliente Range. In the Cuyama badlands it is composed of about 400 feet of reddish-brown claystone and gypsum that overlies the Caliente Formation. South of Cuyama Valley it is composed of 200-400 feet of white sandstone and red clay that disconformably overlies the Santa Margarita Formation and Branch Canyon Sandstone. In San Juan Creek, northwest of Carrizo Plain, about 200 feet of gray clay assigned to the Quatal Formation disconformably overlies the Santa Margarita Formation.

The Quatal Formation was presumed by Hill, Carlson, and Dibblee (1958, p. 2996) to be of late Miocene age because of its stratigraphic position. In the Caliente Range the uppermost beds of the Caliente Formation that underlie the Quatal contain mammalian remains diagnostic of Hemphillian age, Pliocene (Savage, 1957, p. 1845), and beds about 1,600 feet above the base of the overlying Morales Formation contain a few mammalian remains of Blancan age (James, 1963, p. 11; Repenning and Vedder, 1961). The relationship of the Quatal Formation to the Pliocene(?) marine sediments of the Shandon area to the northwest is concealed, but the Quatal is presumably younger. Because of its stratigraphic position, the Quatal Formation is herein inferred to be of Hemphillian age and is assigned to the Pliocene.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tu,,"Unnamed marine sediments, sandstone and siltstone (Pliocene)","Several test holes drilled for petroleum in the Shandon area of the Salinas Valley southwest of the San Andreas fault passed through as much as 2,000 feet of marine sandstone and siltstone of probable Pliocene age below the Paso Robles Formation and above the Santa Margarita Formation. Because of its comparable age and stratigraphic position, this unit may be equivalent to the Pancho Rico Formation, as redefined by Durham and Addicott (1964, p. E4; 1965, p. A2-A5) in Salinas Valley northwest of figure 2.

In the narrow strip on the northeast side of the San Andreas fault east of Soda Lake is exposed about 2,000 feet of marine sandstone that overlies conglomerate of the Santa Margarita Formation and grades laterally northward and upward into the terrestrial Morales Formation. The relationship of this sandstone to the Bitterwater Creek Shale is discussed under that formation. This marine sandstone unit contains early Pliocene mollusks (Arnold and Johnson, 1910, p. 89; W. 0. Addicott, oral commun., 1967). It may be correlative with the marine unit in the Shandon area described previously and also with part of the lithologically similar Etchegoin Formation of San Joaquin Valley and the Diablo Range.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Teb,,"Etchegoin Formation, blue sandstone (Pliocene)","The Etchegoin Formation, as redefined by Nomland (1917), Barbat and Galloway (1934), and Adegoke (1969, p. 26-28), is a series of semifriable sandstone and interbedded siltstone, claystone, and minor pebble conglomerate, all deposited under shallow-water marine conditions and presumably of Pliocene age. In a few places it contains thin strata of tuff. In the Reef Ridge it is about 5,200 feet thick, overlies the Reef Ridge Shale or the Monterey Shale, and is overlain by the San Joaquin Formation.

The type locality of the Etchegoin Formation has not been clearly designated. The formation was named by F. M. Anderson (1905) for ""its characteristic development in the vicinity of Etchegoin ranch"" (in T. 19 S., R. 15 E.) north of Coalinga. He did not designate a type section, but Arnold and Anderson (1910, p. 113) stated: ""The nearest locality to the Etchegoin ranch for which a description or section was given is 9 miles north of Coalinga, and this may therefore be taken as the type section."" But on their map (Arnold and Anderson, 1910, pi. 1) this ""locality"" plots several miles west of what they mapped as the Etchegoin Formation. From this confusion it may be said that the type section is within T. 19 S., R. 15 E., north of Coalinga, but its exact designation will not be made until that; area, which is far north of the area of figure 2, is more carefully mapped.

The most complete and best exposed section, which is herein designated as the reference section, is that north of Reef Ridge between Big Tar and Garza Creeks, Garza Peak quadrangle, or from 3 to 5 miles southwest of Avenal (figs. 1, 2). The section there is about 5,200 feet thick and is conformable between the Reef Ridge Shale below and San Joaquin Formation above. In this section the Etchegoin Formation is composed of two parts, as recognized by Adegoke (1969, p. 28). The lower part (Basal Brown Sandstone Member of Adegoke, 1969, p. 28), about 3,500 feet thick, is mainly bedded commonly nodular brownish-gray sandstone and interbedded siltstone in about equal amounts and contains few fossils. This unit corresponds roughly to the unit formerly called Jacalitos Formation by earlier workers (fig. 13). The upper part (Upper Blue Sandstone Member of Adegoke, 1969, p. 28), about 1,700 feet thick, is similar to the lower part; however, sandstones predominate and are somewhat coarser and commonly pebbly and (or) fossiliferous, and many of them are blue. This unit corresponds roughly to the formerly restricted Etchegoin Formation of Stewart (1946, p. 105, pi. 9). It is similar to and nearly equivalent to the ""blue bed fades"" mapped farther northwest by Rose and Colburn (1963, p. 33). Other places where this unit is exposed are in McLure Valley and Kettleman Hills.

On the geologic map (Dibblee, 1973b) only parts of the Upper Blue Sandstone Member of Adegoke (1969, p. 28) that are composed predominantly of blue sandstone are mapped separately from the rest of the Etchegoin Formation (fig. 14). In the Reef Ridge area there are several blue sandstone units, some as thick as 500 feet. Southeastward along strike all thin out or lose their distinctive blue color east of the Pyramid Hills. In McLure Valley the whole upper part of the Etchegoin Formation is composed of unfossiliferous massive blue sandstone, about 1,500 feet thick. In the Kettleman Hills (North and Middle Domes) several thin blue sandstone strata are present.

The blue sandstones are medium grained and commonly contain pebbles of black and variegated chert and andesite. The blue color of the sandstone is the effect of a thin blue coating on the grains.

The Etchegoin Formation of the Reef Ridge and Kettleman Hills areas contains abundant marine mollusks and echinoids of Pliocene age (Woodring and others, 1940, p. 102-103). In the Kettleman Hills (North Dome) and at a locality 10-12 miles north of Coalinga, a few mammalian remains from the upper part of the Etchegoin Formation are assigned to the late Hemphillian age, Pliocene (D. E. Savage, written commun. to C. A. Repenning, 1968). In the Reef Ridge area, the few molluscan fossils from the lower part of the Etchegoin Formation are considered to be early Pliocene, and those from the upper part are considered to be late Pliocene (W. O. Addicott, oral commun., 1969).

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Te,,"Etchegoin Formation, gray sandstone and siltstone (Pliocene)","The Etchegoin Formation, as redefined by Nomland (1917), Barbat and Galloway (1934), and Adegoke (1969, p. 26-28), is a series of semifriable sandstone and interbedded siltstone, claystone, and minor pebble conglomerate, all deposited under shallow-water marine conditions and presumably of Pliocene age. In a few places it contains thin strata of tuff. In the Reef Ridge it is about 5,200 feet thick, overlies the Reef Ridge Shale or the Monterey Shale, and is overlain by the San Joaquin Formation.

The type locality of the Etchegoin Formation has not been clearly designated. The formation was named by F. M. Anderson (1905) for ""its characteristic development in the vicinity of Etchegoin ranch"" (in T. 19 S., R. 15 E.) north of Coalinga. He did not designate a type section, but Arnold and Anderson (1910, p. 113) stated: ""The nearest locality to the Etchegoin ranch for which a description or section was given is 9 miles north of Coalinga, and this may therefore be taken as the type section."" But on their map (Arnold and Anderson, 1910, pi. 1) this ""locality"" plots several miles west of what they mapped as the Etchegoin Formation. From this confusion it may be said that the type section is within T. 19 S., R. 15 E., north of Coalinga, but its exact designation will not be made until that; area, which is far north of the area of figure 2, is more carefully mapped.

The most complete and best exposed section, which is herein designated as the reference section, is that north of Reef Ridge between Big Tar and Garza Creeks, Garza Peak quadrangle, or from 3 to 5 miles southwest of Avenal (figs. 1, 2). The section there is about 5,200 feet thick and is conformable between the Reef Ridge Shale below and San Joaquin Formation above. In this section the Etchegoin Formation is composed of two parts, as recognized by Adegoke (1969, p. 28). The lower part (Basal Brown Sandstone Member of Adegoke, 1969, p. 28), about 3,500 feet thick, is mainly bedded commonly nodular brownish-gray sandstone and interbedded siltstone in about equal amounts and contains few fossils. This unit corresponds roughly to the unit formerly called Jacalitos Formation by earlier workers (fig. 13). The upper part (Upper Blue Sandstone Member of Adegoke, 1969, p. 28), about 1,700 feet thick, is similar to the lower part; however, sandstones predominate and are somewhat coarser and commonly pebbly and (or) fossiliferous, and many of them are blue. This unit corresponds roughly to the formerly restricted Etchegoin Formation of Stewart (1946, p. 105, pi. 9). It is similar to and nearly equivalent to the ""blue bed fades"" mapped farther northwest by Rose and Colburn (1963, p. 33). Other places where this unit is exposed are in McLure Valley and Kettleman Hills.

On the geologic map (Dibblee, 1973b) only parts of the Upper Blue Sandstone Member of Adegoke (1969, p. 28) that are composed predominantly of blue sandstone are mapped separately from the rest of the Etchegoin Formation (fig. 14). In the Reef Ridge area there are several blue sandstone units, some as thick as 500 feet. Southeastward along strike all thin out or lose their distinctive blue color east of the Pyramid Hills. In McLure Valley the whole upper part of the Etchegoin Formation is composed of unfossiliferous massive blue sandstone, about 1,500 feet thick. In the Kettleman Hills (North and Middle Domes) several thin blue sandstone strata are present.

The blue sandstones are medium grained and commonly contain pebbles of black and variegated chert and andesite. The blue color of the sandstone is the effect of a thin blue coating on the grains.

The Etchegoin Formation of the Reef Ridge and Kettleman Hills areas contains abundant marine mollusks and echinoids of Pliocene age (Woodring and others, 1940, p. 102-103). In the Kettleman Hills (North Dome) and at a locality 10-12 miles north of Coalinga, a few mammalian remains from the upper part of the Etchegoin Formation are assigned to the late Hemphillian age, Pliocene (D. E. Savage, written commun. to C. A. Repenning, 1968). In the Reef Ridge area, the few molluscan fossils from the lower part of the Etchegoin Formation are considered to be early Pliocene, and those from the upper part are considered to be late Pliocene (W. O. Addicott, oral commun., 1969).

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Trr,,Reef Ridge Shale (Miocene),"In the Reef Ridge and McLure Valley areas, about 500 feet of soft-weathering claystone is exposed that is transitional between the underlying Monterey Shale and overlying Etchegoin Formation.

It was described and named the Reef Ridge Shale by Barbat and Johnson, 1933, p. 239; 1934, p. 1-17) and by Gester and Galloway (1933, p. 1174-1176). This usage was adopted by Woodring, Stewart, and Richards (1940, p. 119-122) and Stewart (1946, p. 104, pi. 9) and is retained herein. This unit is arbitrarily placed at the top of the middle Tertiary sedimentary sequence. No type locality was designated, but Barbat and Johnson (1933, p. 4-5) stated that this shale unit is ""typically exposed"" from Little Tar Creek (9 miles south-southeast of Avenal) northwest for 22 miles to Jasper Creek (15 miles west of Avenal). They assigned this shale unit to the uppermost Miocene. The type locality is herein designated as the exposure in Big Tar Creek (about 5 miles south-southwest of Avenal) in sees. 7, 8, and 17, T. 23 S., R. 17 E., where the Reef Ridge Shale is about 550 feet thick.

According to Kleinpell (1938, p. 165), the Reef Ridge Shale contains foraminifers assigned to his Delmontian Stage, of latest Miocene age. His Delmontian Stage is, however, now considered to be part of, and inseparable from, his Mohnian Stage (R. L. Pierce, oral commun., 1970). Therefore, the Reef Ridge Shale of the type area is considered by Pierce to be of late Miocene age (Mohnian Stage). This age assignment, however, has not yet been doubtlessly ascertained, as it may range into early Pliocene.

Clay shale correlative with the Reef Ridge Shale does not crop out in the Temblor Range. Under the alluviated area to the east, however, wells penetrate between the Etchegoin Formation and Monterey Shale a shale unit from 150 to 900 feet thick that is referred to the Reef Ridge Shale by petroleum geologists. This shale unit was considered to be late Miocene and possibly early Pliocene in age and correlated with both the Reef Ridge Shale of Reef Ridge and the Belridge Diatomite Member of the Monterey Shale in the Temblor Range (Foss and Blaisdell, 1960, p. 36). Correlation with the Reef Ridge Shale is probably valid because of its similar stratigraphic position and because in some wells, such as in the Elk Hills oil field, this unit is gray clay shale (J. C. Maher, oral commun., 1970) similar to the Reef Ridge Shale of Reef Ridge. Correlation with the Belridge Diatomite Member is considered not valid, as the Reef Ridge Shale is thought to be younger than that unit because of reasons as indicated in the discussion of the Belridge Diatomite Member. Accordingly, then, the Reef Ridge Shale is probably correlative with the Bitterwater Creek Shale in the south end of the Temblor Range and is considered to be late Miocene and possibly early Pliocene in age.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tbw,,Bitterwater Creek Shale (Mohnian Shale; Miocene),"Marine siliceous shale or mudstone that disconformably(?) overlies conglomerate of the Santa Margarita Formation in the Elkhorn Hills area southwest of Maricopa on the northeast side of the San Andreas fault was named the Bitterwater Creek Shale (Dibblee, 1962, p. 8-11, pi. 1). It was named for Bitterwater Creek, 6 miles southwest of Maricopa, the type locality, where as much as 2,000 feet of this shale is exposed and is unconformably overlain by the Paso Robles Formation. This usage is adopted herein.

The Bitterwater Creek Shale was thought to be of Pliocene(?) age (Dibblee, 1962) because of its stratigraphic position as indicated; however, it contains foraminifers, fish scales, and diatoms diagnostic of the Mohnian Stage, late Miocene (R. L. Pierce, oral commun., 1967; Vedder, 1970). This age is the same as that of the Belridge Diatomite Member of the Monterey Shale, but the Bitterwater Creek Shale is stratigraphically higher (fig. 8).

The relationship of the Bitterwater Creek Shale to the unnamed Pliocene marine clastic sediments to the northwest, which were formerly included in the Bitterwater Creek Shale (Dibblee, 1962, pi. 1), is not clear because of insufficient exposures and structural complications. North of the Elkhorn Hills the Bitterwater Creek Shale intertongues northwestward into unfossiliferous sandstone with siliceous shale pebbles. This sandstone is similar to that of the unit mapped as unnamed marine sediment, of early Pliocene age. If the sandstones are the same, the Bitterwater Creek Shale is equivalent to at least the lower part of that unit. It is possible, however, that the Bitterwater Creek Shale and the unfossiliferous sandstone are overlapped by that unit and if so, are thus older. From the foregoing evidence the Bitterwater Creek Shale is considered to be late Miocene (Mohnian) and possibly early Pliocene in age.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tmb,,"Beldridge Diatomite Member, Monterey Shale (Mohnian Stage; Miocene)","The Belridge Diatomite Member, designated here in as the uppermost member of the Monterey Shale, was named informally by Siegfus (1939, p. 29) and Young (1943, p. 523-524) for the South Belridge oil field (fig. 9). The type section is herein designated as the section exposed near the mouth of Chico Martinez Creek (SEi/4 sec. 2, T 29 S., R 20 E., fig. 10). This member corresponds to Monterey Shale units 10 and 11 (total exposed thickness 830 ft) of Woodring, Stewart, and Richards (1940, p. 125). It is composed of white-weathering soft fissile to punky diatomite that grades downward into the McLure Shale Member and is overlain unconformably by the Tulare Formation. At Bacon Hills, 2 miles north of the type section, and near Gould Hill, 2 miles southeast, this diatomite unit is overlain disconformably by the Etchegoin Formation.

In the foothills of the Temblor Range from McKittrick to Maricopa, the Belridge Diatomite Member is discontinuously exposed and is similar to the Belridge at Chico Martinez Creek. Just west of Taft, as much as 2,200 feet of this unit is exposed unconformably below the Tulare Formation.

The Beldridge Diatomite Member has been correlated with the Reef Ridge Shale and assigned a
Miocene and Pliocene age by Foss and Blaisdell (1968, p. 36-37). It is, however, lithologically unlike the Reef Ridge Shale near Reef Ridge. In the exposed sections, the Belridge Diatomite Member contains foraminifers and fish scales diagnostic only of the late Mohnian State, late Miocene (R. L. Pierce, oral commun., 1967).)

From field relations the Belridge Diatomite Member is considered to be older than the type Reef Ridge Shale because in the extreme southeastern Temblor Range the Santa Margarita Formation, which intertongues into the Belridge Diatomite Member, is overlain by the Bitterwater Creek Shale, which in turn is probably correlative with the type Reef Ridge Shale. If this is so, then the Belridge Diatomite Member may be correlative with the upper part of the McLure Shale Member of the McLure Valley-Reef Ridge area.

The relationship of the Belridge Diatomite Member exposed in the Temblor Range to the unexposed Reef Ridge Shale in the oil fields to the east is uncertain because the exposed Belridge Diatomite Member has not definitely been recognized in the oil field subsurface area. These units have been correlated on the basis of supposed similar stratigraphic position (Foss and Blaisdell, 1968, p. 36), even though they are different lithologically. Subsurface structural data suggest that the Belridge Diatomite Member correlates wtih the upper part (the Antelope Shale of drillers) of the McLure Shale Member in the subsurface and dips under the subsurface argillaceous(?) unit referred to the Reef Ridge Shale (H. C. Wagner, oral commun., 1970). If this is correct, the exposed Belridge Diatomite Member is older than the Reef Ridge Shale of the subsurface.

Because of the foregoing evidence, the Belridge Diatomite Member exposed in the Temblor Range is assigned to the late Mohnian Stage, late Miocene, and is considered to be older than the Reef Ridge Shale.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tm,,"McClure Shale Member, Monterey Shale (mostly Mohnian Stage; Miocene)","The McLure Shale Member is composed of white-weathering dark-brown thin-bedded chalky to hard porcelaneous siliceous shale. The type locality, desig- nated by Henny (1930, p. 404, table 1), is in sec. 8 (not sec. 6), T. 24 S., R. 17 E., on the west side of McLure Valley, for which it was named. At that locality, this shale is 800 feet thick and is unconformable on the Panoche Formation. In the McLure Valley and Reef Ridge areas, this member ranges from 550 to 1,000 feet in thickness, thinning northward, and is unconformable on the Temblor and older formations. In the Reef Ridge area the McLure Shale Member locally contains a basal conglomerate and sandstone with serpentine clasts (Stewart, 1946, p. 98, 103-104; Adegoke, 1969, p. 20). On the southwest flank of the Diablo Range and in the northwestern part of the Temblor Range, the McCLure Shale Member thickens southeastward to about 5,000 feet and is conformable on the Devilwater Shale Member or unconformable on the Point of Rocks Sandstone or Panoche Formation where the Devilwater Shale Member and Temblor Formation are absent. In these areas the McLure Shale Member contains one or more lenses of sandstone (Polonio Sandstone Tongue in McLure Shale of Marsh, 1960, p. 32-33).

The reference section of the McLure Shale Member of the Monterey Shale is here designated at Chico Martinez Creek in sees. 10 and 11, T. 29 S., R. 20 E. (fig. 10), where it is completely exposed. There it conformably overlies the Devilwater Shale Member and grades upward into the Belridge Diatomite Member. In this section the McLure Shale Member is 4,930 feet thick and corresponds to Monterey Shale units 4-9 of Woodring, Stewart, and Richards (1940, p. 125). This siliceous shale member includes units informally called McDonald Shale, Antelope Shale, and Chico Martinez Chert Members (San Joaquin Geological Society, 1959, p. 13; Foss and Blaisdell, 1968, p. 37; Elliot and others (1968, p. 110-112). These terms are not adopted because all these units are composed of siliceous shale, and outside the Chico Martinez Creek area it is not possible to differentiate them on a lithologic basis with certainty on the surface. The lowest unit, the McDonald of local usage, is recognizable in the Elk Hills and other oil fields on the basis of electric log patterns and early Mohnian foraminifers (J. C. Maher, oral commun., 1970).

In the southeastern part of the Temblor Range, the McLure Shale Member is from 3,000 to 5,000 feet thick and grades upward into the Belridge Diatomite Member. It overlies similar siliceous shale of the Gould Shale Member from which it is differentiated mainly by a color change; the McLure Shale Member weathers white, whereas the Gould Shale Member weathers cream to buff and is some what less siliceous and more fissile. Near Taft and Maricopa, the McLure Shale Member contains several lenses of sandstone.

The McLure Shale Member contains much diatom debris, arenaceous foraminifers, and fish scales. It also contains sparse calcareous foraminifers diagnostic of the Mohnian Stage, late Miocene (R. L. Pierce, oral commun., 1968). Only in the extreme southeastern part of the Temblor Range do the lowest beds contain foraminifers of the middle Miocene Luisian Stage (Vedder, 1970).

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tms,,"Sandstone lenses, Monterey Shale (Miocene)",
Tmd,,"Devilwater Shale Member, Monterey Shale (Luisian Stage; Miocene)","The argillaceous shale that forms the upper part of the lower division of the Monterey Shale in the northwestern Temblor Range is locally known as the ""Devilwater Silt"" (Bailey, 1939, p. 317; Heikkila and MacLeod, 1951, p. 11-12, pi. 1; Foss and Blaisdell, 1968, p. 38). It is presumably named for Devilwater Creek (fig. 9). This name is adopted herein because of its long established usage but is modified to Devilwater Shale Member because it is not ""silt"" (an unconsolidated sediment) but is clayey shale with lesser amounts of siltstone and fine-grained sandstone. The type section is here designated as the section exposed at Chico Martinez Creek, where it is composed of 1,190 feet of soft clayey shale, locally containing abundant foraminifers, and silty mudstone (Monterey Shale units 3 and 4 of Woodring and others, 1940, p. 125) separating the Gould Shale Member below from the McLure Shale Member above (fig. 10).

The Devilwater Shale Member is about 1,000 feet thick in most exposures. It persists northwest of Packwood Creek into the southwest foothills of the Diablo Range east of Cholame Valley, where it was mapped as the upper Temblor Sandstone by Marsh (1960, pi. 1) and as the oiltstone member of the Vaqueros-Temblor Formation by Dickinson (1966a, p. 711-713, pi. 2). The Devilwater Shale Member is also present in the Devils Den area, where it is about 700 feet thick. There it was called Alferitz Formation and assigned to the Luisian Stage, middle Miocene, by Van Couvering and Allen (1943, p. 496-500), but the name Alferitz is not adopted.

In the Temblor Range the Devilwater Shale Member contains foraminifers diagnostic of the middle Miocene Luisian Stage (Foss and Blaisdell, 1968, p. 38). It is presumably of the same age in the Diablo Range. In the subsurface of the Kettleman Hills, it and the correlative of the Gould Shale Member are represented mostly by sandstone which there was assigned to the Temblor Formation by Woodring, Stewart, and Richards (1940, fig. 8).

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tmg,,"Gould Shale Member, Monterey Shale (mostly Relizian and Luisian Stages; Miocene)","The siliceous shale that forms the lowest unit of the Monterey Shale exposed at Chico Martinez Creek was named the Gould Shale Member of the Temblor Formation by Cunningham and Barbat (1932, p. 418) for nearby Gould Hill (fig. 10). They designated the type locality as the area between the exposure along that creek and 2 miles southeastward (fig. 10). This name was adopted as a member of the Monterey Shale by Woodring, Bramlette, and Kleinpell (1936, p. 127-146), Woodring, Stewart, and Richards (1940, p. 125), Heikkila and MacLeod (1951, p. 11-12), and Foss and Blaisdell (1968, p. 38).

The Gould Shale Member is composed of tan-weathering thin-bedded brittle siliceous shale alternating with softer fissile shale. It conformably overlies the Buttonbed Sandstone Member of the Temblor Formation and is overlain by the Devilwater Shale Member of the Monterey Shale. At the type locality, the Gould Shale Member is 285 feet thick (Woodring and others, 1940, p. 125), but to the northwest it is as thick as 600 feet. From the type locality, it is traceable northwestward for about 20 miles and then disappears, never to reappear.

In all these exposures, the Gould Shale Member contains foraminifers diagnostic of the Relizian Stage, middle Miocene (Kleinpell, 1938, fig. 14; Foss and Blaisdell, 1968, p. 38).

In the southeastern part of the Temblor Range and southwest flank of the central part, all the lower division, or middle Miocene part, of the Monterey Shale is composed of siliceous shale lithologically similar to the Gould Shale Member of the Chico Martinez Creek area. All this siliceous shale is therefore assigned to the Gould Shale Member on the basis of lithologic similarity, even though the upper part is presumably correlative in age with the Devilwater Shale Member of the Chico Martinez Creek area (fig. 10). In the southeastern Temblor Range, this siliceous shale unit was informally called Devilwater-Gould member of the Monterey
(Simonson and Krueger, 1942, p. 1611, 1616, 1626- 1627; Dibblee, 1962, 1968). This unit, now designated as the Gould Shale Member, is from 2,000 to 3,000 feet thick; it conformably overlies clay shale of the Temblor Formation and is overlain by the McLure Shale Member of the Monterey Shale. In these exposures, the Gould Shale Member contains foraminifers diagnostic of the Relizian Stage in the lower part and Luisian Stage, middle Miocene, in the upper part. In one place in the extreme southeastern Temblor Range, however, the lowest strata of this siliceous shale unit contain foraminifers diagnostic of the late Saucesian Stage, early Miocene (R. L. Pierce, oral commun., 1967).

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tmi,,"Shale and sandstone unit, Monterey Shale (Relizian and Luisian Stages; Miocene)","On the southwest slope of the southeastern part of the Temblor Range and southwest of the Recruit Pass fault, the conglomerate of the Santa Margarita Formation is unconformably underlain by Monterey Shale of which as much as 1,500 feet is exposed although the base is buried. The shale is semisiliceous and contains about 50 percent interbedded light-gray sandstone. The shale contains foraminifers diagnostic of the Relizian and Luisian Stages, middle Miocene (Vedder, 1970), and is therefore correlative with the Gould Shale Member east of the Recruit Pass fault.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tmw,,"Whiterock Bluff Shale Member, Monterey Shale (Relizian and Luisian Stages; Miocene)","In the Caliente Range, La Panza Range, and Sierra Madre Mountains, the siliceous shale unit was named the Whiterock Bluff Shale Member of the Santa Margarita Formation by English (1916, p. 191-215, pi. XIX). This shale unit was named for Whiterock Bluff, the type locality (sec. 25, T. 11 N., R. 28 W.), about 8 miles west-northwest of New Cuyama (fig. 1), where this shale is approximately 1,200 feet thick. This name was adopted and applied to this shale unit by Hill, Carlson, and Dibblee (1958, p. 2990-2991), but the unit was reassigned to the Monterey Shale. The Whiterock Bluff Shale Member was reported by them to contain foraminifers diagnostic of late Relizian and Luisian Stages, middle Miocene. This name as used by Hill, Carlson, and Dibblee (1958) is adopted herein for this shale unit in the area between the San Andreas and Rinconada faults.

The Whiterock Bluff Shale Member consists of hard, brittle thin-bedded siliceous shale and interbedded fissile to punky shale. It is as much as 1,500 feet thick, but averages 1,200 feet. It is gradational downward into the Saltos Shale Member and upward into sandstone of the Santa Margarita Formation. For about 6 miles on each side of Indian Creek (about 12 miles south of Shandon, fig. 2), a zone about 70 feet thick near the top of the Whiterock Bluff Shale Member contains thin layers of phosphatic pellets and bentonite (H. D. Gower, oral commun., 1970). This zone is overlain by about 80 feet of siliceous and diatomaceous shale, which is overlain by the Santa Margarita Formation. In western Cuyama Valley and on the southwest flank of the La Panza Range, the Whiterock Bluff Shale Member is absent or may be represented by sandstone. Elsewhere this shale unit is widely distributed, and in Salinas Valley this member and the underlying Saltos Shale Member are recognizable in well logs as far northeast as San Juan Creek. It is noteworthy, however, that within 7-10 miles of the San Andreas fault, as in the Caliente Range, this siliceous shale unit grades laterally northeastward through siltstone of the Saltos Shale Member lithology into the Branch Canyon Sandstone (figs. 7, 12).

In many places the Whiterock Bluff Shale Member contains abundant calcareous foraminifers. These are diagnostic of the Luisian Stage, middle Miocene. The exposure of the Whiterock Bluff Shale Member in sec. 21, T. 28 S., R. 14 E., 12 miles east of Atascadero (fig. 2) is the type locality of the Luisian Stage, as defined by Kleinpell (1938, p. 121- 123). In the Indian Creek area, the phosphatic pellet zone near the top of the member and 30 feet of the overlying shale also contain foraminifers of the Luisian Stage (H. D. Gower, oral commun., 1970). At the type locality of the Whiterock Bluff Shale Member in Cuyama Valley, this member is mainly in the Luisian Stage, but the lowest part is in the upper Relizian Stage (Hill and others, 1958, p. 2991), middle Miocene.


(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
