code,title,grouping,description
Qyf,Younger (inner) alluvial fan deposits (Holocene),,"Unconsolidated fine- to coarse-grained sand, silt, and gravel, coarser grained at heads of fans and in narrow canyons"
Qyfo,Younger (outer) alluvial fan deposits (Holocene),,"Unconsolidated fine sand, silt, and clayey silt"
Qcl,Colluvium (Holocene),,"Loose to firm, friable, unsorted sand, silt, clay, gravel, rock debris, and organic material in varying proportions"
Qs,Sand dune and beach deposits (Holocene),,"Predominantly loose, medium- to coarse-grained, well-sorted sand but also includes pebbles, cobbles, and silt.  Thickness less than 6 m in most places, but in other places may exceed 30 m"
Qal,Alluvium (Holocene),,"Unconsolidated gravel, sand, silt, and  clay along streams.  Less than a few meters thick in most places"
Qpaf,Alluvial fan and fluvial deposits (Pleistocene),,"Brown dense gravely and clayey sand or clayey gravel that fines upward to sandy clay.  These deposits display variable sorting and are located along most stream channels  in the county.  All Qpaf deposits can be related to modern stream courses.  They are distinguished from younger alluvial fans and fluvial deposits by higher topographic position, greater degree of dissection, and stronger soil profile development.  They are less permeable than Holocene deposits, and locally contain fresh water mollusks and extinct late Pleistocene vertebrate fossils.  They are overlain by Holocene deposits on lower parts of the alluvial plain, and incised by channels that are partly filled with Holocene alluvium on higher parts of the alluvial plain.  Maximum thickness is unknown but at least 50 m."
Qpaf1,Alluvial terrace deposits (Pleistocene),,"Deposits consist of crudely-bedded, clast-supported, gravels, cobbles, and boulders with a sandy matrix.  Clasts are as much as 35 cm in intermediate diameter.  Coarse sand lenses may be locally present.  Pleistocene terrace deposits are cut into Pleistocene alluvial fan deposits (Qpaf) a few meters and lie up to several meters above Holocene deposits"
Qpoaf,Older alluvial fan deposits (Pleistocene),,"Brown dense gravely and clayey sand or clayey gravel that fines upward to sandy clay.  These deposits display various sorting qualities.  All Qpoaf deposits can be related to modern stream courses.  They are distinguished from younger alluvial fans and fluvial deposits by higher topographic position, greater degree of dissection, and stronger profile development.  They are less permeable than younger deposits, and locally contain fresh- water mollusks and extinct Pleistocene vertebrate fossils."
Qof,Coarse-grained older alluvial fan and stream terrace deposits (Pleistocene),,"Poorly consolidated gravel, sand, and silt, coarser grained at heads of old fans and in narrow canyons"
Qmt,Marine terrace deposits (Pleistocene),,Poorly consolidated and poorly indurated well- to poorly-sorted sand and gravel.  Thickness variable but probably less than 30 m
Qc,Colma Formation (Pleistocene),,"Yellowish-gray and gray to yellowish-orange and red-brown, friable to loose, fine- to medium-grained arkosic sand with subordinate amounts of gravel, silt, and clay.  Total thickness unknown, but may be as great as 60 m"
QTsc,Santa Clara Formation (lower Pleistocene and upper Pliocene),,"Gray to red-brown poorly indurated conglomerate, sandstone, and mudstone in irregular and lenticular beds.  Conglomerate consists mainly of subangular to subrounded cobbles in a sandy matrix but locally includes pebbles and boulders.  Cobbles and pebbles are mainly chert, greenstone, and graywacke with some schist, serpentinite, and limestone.  On Coal Mine Ridge, south of Portola Valley, conglomerate contains boulders of an older conglomerate as long as one meter.  Gray to buff claystone and siltstone beds on Coal Mine Ridge contain carbonized wood fragments as large as 60 cm in diameter.  Included in Santa Clara Formation are similar coarse-grained clastic deposits near Burlingame.  Sarna-Wojcicki (1976) found a tuff bed in Santa Clara Formation near Woodside, and correlated it with a similar tuff in Merced Formation.  Later work indicated that the tuff correlates with the 435 ka Rockland ash (Sarna-Wojcicki, oral comm., 1997).  Thickness of Santa Clara Formation is variable but reaches a maximum of about 500 m along Coal Mine Ridge"
QTm,Merced Formation (lower Pleistocene and upper Pliocene),,"Medium-gray to yellowish gray and yellowish orange, medium- to very fine-grained, poorly indurated to friable sandstone, siltstone, and claystone, with some conglomerate lenses and a few friable beds of white volcanic ash.  In many places sandstone is silty, clayey, or conglomeratic.  Some of the conglomerate, especially where fossiliferous, is well cemented.  Volcanic ash is in beds as much as 2 m thick and consists largely of glass shards.  In type section of Merced Formation, the ash was originally reported by Sarna-Wojcicki (1976) to be 1.5+0.8 m.y. old, but more recent work by Sarna-Wojcicki and others (1991) indicates that the formation contains both the 738+3 ka Bishop ash and the 435 ka Rockland ash (Sarna-Wojcicki, oral comm., 1997).  Merced Formation is about 1525 m thick in the sea cliffs north of Mussel Rock"
Tp,Purisima Formation (Pliocene and upper Miocene),,"Predominantly gray and greenish-gray to buff fine-grained sandstone, siltstone, and mudstone, but also includes some porcelaneous shale and mudstone, chert, silty mudstone, and volcanic ash.  West of Portola Valley, this unit consists of fine- to medium-grained silty sandstone."
Tptu,"Purisima Formation, Tunitas Sandstone Member (Pliocene)",,"Greenish-gray to light-gray, pale-orange, or greenish- brown, very fine- to medium-grained sandstone with clay matrix.  Concretions generally less than 30 cm across are present locally.  Tunitas ranges in thickness from 76 m at type section to 122 m elsewhere"
Tpl,"Purisima Formation, Lobitos Mudstone Member (Pliocene)",,"Dark-gray to light-gray and shades of brown, unbedded, silty mudstone.  Lobitos has a maximum thickness of 140 m."
Tpsg,"Purisima Formation, San Gregorio Sandstone Member (Pliocene)",,Greenish-gray to light-brown fine- to coarse-grained sandstone containing calcareous concretions less than 30 cm across.  San Gregorio Member ranges in thickness from 45 m at type section to about 140 m elsewhere
Tpp,"Purisima Formation, Pomponio Mudstone Member (Pliocene)",,"Gray to white porcelaneous shale and mudstone, in places rhythmically bedded with alternating layers of nonsiliceous mudstone.  This unit resembles Monterey Shale, Santa Cruz Mudstone, and Lambert Shale.  At its type section in Pomponio Creek the member is 700 m thick"
Tpt,"Purisima Formation, Tahana Member (Pliocene and upper Miocene)",,"Greenish-gray to white or buff, medium- to very fine-grained lithic sandstone and siltstone, with some silty mudstone.  Locally, such as at San Gregorio State Beach, sandstone is tuffaceous and weathers white.  Near Memorial Park, this member includes dark-gray porcelaneous mudstone.  Pebble conglomerate occurs near base from Memorial Park eastward.  Maximum thickness 655 m.  A tuff bed in this member west of the San Gregorio fault has been tentatively correlated with the 2.6 Ma Ishi Tuff (Sarna-Wojcicki and others, 1991)"
Tsc,Santa Cruz Mudstone (upper Miocene),,"Brown and gray to light-gray, buff, and light-yellow siliceous mudstone with nonsiliceous mudstone and siltstone and minor amounts of sandstone. Santa Cruz Mudstone is more than 1000 m thick"
Tsm,Santa Margarita Sandstone (upper Miocene),,"Light-gray to grayish-orange to white, friable, very fine- to very coarse-grained arkosic sandstone.  Fine-grained sandstone commonly contains glauconite.  A quartz and feldspar pebble conglomerate crops out locally at the base of section. Santa Margarita Sandstone is as thick as 60 m"
Tl,Ladera Sandstone (upper(?) and middle Miocene),,"Medium- to light-gray to yellowish-gray and buff, fine-grained, poorly cemented sandstone and siltstone, with minor amounts of coarse- grained sandstone, yellow-brown dolomitic claystone, and white to light-gray porcelaneous shale and porcelanite.  Fine-grained sandstone and siltstone comprise more than 90 percent of formation. Coarse-grained sandstone crops out in beds less than a few meters thick in lower half of section; dolomitic claystone and porcelaneous shale beds are less than a meter thick and are scattered through the upper half of the section; porcelanite crops out in thin-bedded lenses less than a few meters thick in the lower part of the section.  At and near base of Ladera Sandstone are medium to thick lenticular beds of well-cemented fossiliferous, chert-granule sandstone which interfingers with fine-grained sandstone.  About 450 m thick"
Tm,Monterey Formation (middle Miocene),,"Grayish-brown and brownish-black to very pale orange and white, porcelaneous shale with chert, porcelaneous mudstone, impure diatomite, calcareous claystone, and with small amounts of siltstone and sandstone near base.  Monterey is thinner bedded than the Santa Cruz Mudstone but closely resembles parts of Purisima Formation, especially Pomponio Mudstone Member.  Thickness ranges from 120 to 450 m at the surface and up to 600 m in the subsurface west of the San Gregorio fault"
Tlo,Lompico Sandstone (middle Miocene),,"Very pale orange, fine to coarse-grained, mostly well-cemented and hard arkosic sandstone.  Maximum thickness about 300 m"
Tpm,Page Mill Basalt (middle Miocene),,"Interlayered, columnar-jointed basaltic flows and agglomerate.  Flows are dark greenish gray  to light gray, dense to vesicular, and finely crystalline; agglomerate is light gray to reddish brown.  Volcanic rocks are pyritiferous in part.  Ranges in thickness from 0 to 15 m.  The Page Mill Basalt has yielded a K/Ar age of 14.8+2.4 Ma (Turner, 1970, recalculated by Fox and others, 1985))."
Tuv,Unnamed Sedimentary and Volcanic Rocks (Miocene and Oligocene),,"Mainly dark-gray, hard mudstone in A–o Nuevo area and massive, coarse-grained and pebbly, crossbedded, hard arkosic sandstone in Pescadero Point area.  Mapped as Vaqueros(?) Formation by Hall and others (1959), but rocks do not resemble those of Vaqueros Sandstone in Santa Cruz Mountains.  Includes andesite breccia.  Intrusive rocks associated with the andesite have yielded a K/Ar age of 22.0 + 0.7 Ma (Taylor, 1990).  Contains foraminifers and mollusks of Zemorrian (Oligocene) and Saucesian (Miocene) age according to Clark and Brabb (1978).  About 135 m thick near Pescadero Point and at least 85 m thick near Año Nuevo"
Tls,"Lambert Shale and San Lorenzo Formation, Undivided (lower Miocene, Oligocene, and",,"Brown and dark-gray to gray, brown, and red mudstone, siltstone, and shale.  Includes some beds of fine- to coarse-grained sandstone.  Lambert Shale is generally more siliceous than San Lorenzo Formation, but the two units cannot be distinguished where out of stratigraphic sequence and without fossils"
Tla,Lambert Shale (Oligocene and lower Miocene),,"Dark-gray to pinkish-brown, moderately well-cemented mudstone, siltstone, and claystone.  Chert crops out in a few places in upper part of section, and sandstone bodies up to 30 m thick, glauconitic sandstone beds, and microcrystalline dolomite are present in places.  Lambert Shale is generally more siliceous than San Lorenzo Formation and less siliceous than the Monterey Shale.  It resembles Santa Cruz Mudstone and parts of Purisima Formation.  Lambert Shale is about 1460 m thick"
Tmb,Mindego Basalt and related volcanic rocks (Miocene and/or Oligocene),,"Basaltic volcanic rocks, both extrusive and intrusive.  Extrusive rock is primarily dark-gray to orange- brown to greenish-gray flow breccia, but includes lesser amounts of tuffs, pillow lavas, and flows. Extrusive rocks have a maximum thickness of 120 m.  Intrusive rock is dark greenish gray to orange brown and medium to coarsely crystalline.  It commonly weathers spheroidally, and crops out as roughly tabular bodies up to 180 m thick intruding older sedimentary rocks.  Minor amounts of sandstone and mudstone are locally included.  The Mindego Basalt has yielded a K/Ar minimum age of 20.2+1.2 Ma (Turner, 1970, recalculated by Fox and others, 1985))"
Tvq,Vaqueros Sandstone (lower Miocene and Oligocene),,"Light-gray to buff, fine- to medium- grained, locally coarse-grained, arkosic sandstone interbedded with olive- and dark-gray to brown mudstone and shale.  Sandstone beds are commonly 0.3 to 3 m thick and mudstone and shale beds are as much as 3 m thick.  Vaqueros varies from a few meters to as much as 700 m in thickness"
Tsl,San Lorenzo Formation (Oligocene and upper and middle Eocene),,"Dark-gray to brown shale, mudstone, and siltstone with local interbeds of sandstone.  About 550 m thick."
Tsr,"San Lorenzo Formation, Rices Mudstone Member (Oligocene and upper Eocene)",,"Olive-gray to brown unbedded mudstone and siltstone with some laminated shale.  Spheroidal weathering is common, as are elongate carbonate concretions.  About 300 m thick"
Tst,"San Lorenzo Formation, Twobar Shale Member (middle and upper Eocene)",,Olive-gray to brown laminated shale with some mudstone.  Includes a few thin interbeds of very fine-grained sandstone which thicken to as much as 30 m near Big Basin.  About 240 m thick
Tb,Butano Sandstone (middle and lower Eocene),,"Light-gray to buff, very fine- to very coarse-grained arkosic sandstone in thin to very thick beds interbedded with dark-gray to brown mudstone and shale.  Conglomerate, containing boulders of granitic and metamorphic rocks and well-rounded cobbles and pebbles of quartzite and porphyry, is present locally in lower part of section.  Amount of mudstone and shale varies from 10 to 40 percent of volume of formation.  About 3000 m thick"
Tbs,Shale in Butano Sandstone (lower Eocene),,"Greenish-gray, light-gray, red and reddish-brown clay shale, mudstone, siltstone, and a few thin interbeds of light-gray sandstone.  Exposed near the head of Corte Madera Creek.  Total thickness is unknown, but at least 200 m of this material is exposed."
Tw,Whiskey Hill Formation (middle and lower Eocene),,"Light-gray to buff coarse-grained arkosic sandstone, with light-gray to buff silty claystone, glauconitic sandstone, and tuffaceous siltstone.  Sandstone beds constitute about 30 percent of map unit.  Tuffaceous and silty claystone beds are expansive.  Locally, sandstone beds are well cemented with calcite.  At apparent base of section on north side of Jasper Ridge, just east of Searsville Lake, a thin greenstone-pebble conglomerate is present.  In places within this map unit, sandstone and claystone beds are chaotically disturbed.  This formation is as much as 900 m thick"
Tws,Shale in Whiskey Hill Formation (lower Eocene),,"Brown and reddish brown claystone, mudstone, siltstone and shale.  Locally contains lenses of sandstone up to 50 meters thick. Exposed along Highway 84, and along Highway 92, east of Half Moon Bay, where a small patch of red mudstone can be seen in a drainage ditch.   Total thickness is unknown, but at least 200 m of this material is exposed along Highway 84."
Tss,"Unnamed sandstone, shale, and conglomerate (Paleocene)",,"Rhythmically alternating beds of sandstone and shale, with a discontinuous boulder and cobble conglomerate near middle of section and some pebble conglomerate beds near base of section on Montara Mountain.  Sandstone is gray to buff, fine- to coarse-grained, and arkosic; the shale is dark gray to brown; conglomerate contains angular boulders of granitic rock as long as 2 m and smaller boulders, cobbles, and rounded pebbles of hornblende gneiss, muscovite gneiss and schist, Franciscan chert, quartzite, limestone, sandstone, and shale.  This unit has an estimated total thickness of 1160 m; boulder conglomerate has a maximum thickness of 40 m"
Kpp,Pigeon Point Formation (Upper Cretaceous),,"Sandstone and conglomerate, interbedded with siltstone and mudstone and pebbly mudstone.  Sandstone is fine- to coarse-grained, arkosic, and gray to greenish gray; mudstone and siltstone are gray or black to buff.  Conglomerate contains well-rounded pebbles, cobbles, and boulders of red and gray fine-grained and porphyritic felsic volcanic rocks, granitic rocks, chert, quartzite, dark-colored metamorphic rock, limestone, and clastic sedimentary rocks.  The uppermost beds locally contain Cretaceous mollusks and foraminifers.  Pigeon Point Formation is estimated to be more than 2600 m thick"
Ksh,Unnamed shale (Upper Cretaceous),,"Dark-gray, thin-bedded, nodular shale and silty shale.  Unit is exposed only in the bed of San Francisquito Creek, in Menlo Park, where about 15 m of section is visible"
Ka,Anchor Bay Conglomerate (Cretaceous),,"Massive sandstone and conglomerate with pebbles and cobbles of diabase, gabbro, and minor granitic rocks; contains abundant shell fragments of a rudistid bivalve similar to Coraliochama orcutti of Late Cretaceous (Campanian) age."
Ks,Unnamed sandstone and shale (Cretaceous?),,"Thin-bedded, indurated micaceous sandstone and greenish-gray argillite; age uncertain, but probably Cretaceous based on lithologic similarity to other Cretaceous strata in the Santa Cruz Mountains."
Kgr,Granitic rocks of Montara Mountain,,"Very light gray to light brown, medium- to coarsely- crystalline foliated granitic rock, largely quartz diorite with some granite.  These rocks are highly fractured and deeply weathered.  Foliation is marked by an alignment of dark minerals and dark dioritic inclusions.  Tabular bodies of aplite and pegmatite generally parallel foliation.  Rocks from this unit have yielded K/Ar ages of 91.6 Ma (Curtis, Everndon, and Lipson, 1958), and 86.2+3.4 Ma (Calif. Div. Mines and Geol., 1965), fission track ages of 84.1+7.8 Ma and 81.7+6.3 Ma (Naeser and Ross, 1976), and most recently Rb/Sr and Ar/Ar ages of 93 + 2.5 Ma (Kistler and Champion, 1997)."
KJv,Unnamed volcanic rocks (Cretaceous or older),,"Dark-gray, dense, finely-crystalline felsic volcanic rock, with quartz and albite phenocrysts.  Exposed only west of Pescadero.  Thickness unknown"
KJs,Unnamed sandstone (Cretaceous or Jurassic),,"Dark-gray to yellowish-brown graywacke interbedded with shale in approximately equal amounts.  Unit resembles some Franciscan graywacke (fs) but the bedding is better developed herein.  This unit is exposed in San Bruno Mountain, where it is about 1000 m thick"
KJf,"Franciscan Complex, undivided (Cretaceous and Jurassic)",Franciscan Complex,"Mostly graywacke and shale (fs).  May be variably sheared.  Partly coeval with Pigeon Point Formation (Kpp), granitic rocks of Montara Mountain (Kgr), unnamed shale (Ksh), unnamed volcanic rocks (KJv), and unnamed sandstone (KJs)."
fs,"Franciscan Complex (Cretaceous and Jurassic), Sandstone",Franciscan Complex,"Greenish-gray to buff, fine- to coarse-grained sandstone (graywacke), with interbedded siltstone and shale.  Siltstone and shale interbeds constitute less than 20 percent of unit, but in places form sequences as much as several tens of meters thick.  In many places, shearing has obscured bedding relations; rock in which shale has been sheared to gouge constitutes about 10 percent of unit.  Gouge is concentrated in zones that are commonly less than 30 m wide but in places may be as much as 150 m wide.  Total thickness of unit is unknown but is probably at least many hundreds of meters"
fg,"Franciscan Complex (Cretaceous and Jurassic), Greenstone",Franciscan Complex,"Dark-green to red altered basaltic rocks, including flows, pillow lavas, breccias, tuff breccias, tuffs, and minor related intrusive rocks, in unknown proportions.  Unit includes some Franciscan chert and limestone bodies that are too small to show on map.  Greenstone crops out in lenticular bodies varying in thickness from a few meters to many hundreds of meters"
fc,"Franciscan Complex (Cretaceous and Jurassic), Chert",Franciscan Complex,"White, green, red, and orange chert, in places interbedded with reddish-brown shale.  Chert and shale commonly are rhythmically banded in thin layers, but chert also crops out in very thick layers.  In San Carlos, chert has been altered along faults to tan- to buff-colored clay.  Chert and shale crop out in lenticular bodies as much as 75 m thick; chert bodies are commonly associated with Franciscan greenstone."
fl,"Franciscan Complex (Cretaceous and Jurassic), Limestone",Franciscan Complex,"Light-gray, finely- to coarsely-crystalline limestone.  In places limestone is unbedded, in other places it is distinctly bedded between beds of black chert.  Limestone crops out in lenticular bodies up to 120 m thick, in most places surrounded by Franciscan greenstone"
fm,"Franciscan Complex (Cretaceous and Jurassic), Metamorphic rocks",Franciscan Complex,"Dusky-blue to brownish-gray blocks of metamorphic rock, commonly glaucophane schist, but some quartz-mica granulite.  These rocks are finely to coarsely crystalline and commonly foliated.  They almost everywhere crop out as tectonic inclusions in sheared Franciscan rocks (fsr) and serpentinite (sp), and they reach maximum dimensions of several tens of meters though many are too small to show on map"
fcg,"Franciscan Complex (Cretaceous and Jurassic), Conglomerate",Franciscan Complex,"Greenish-gray to buff colored conglomerate, composed of well-rounded pebbles and cobbles in a graywacke matrix, cropping out as layers and lenses in graywacke (fs).  Pebbles and cobbles are composed of quartz diorite, arkose, quartzite, chert, graywacke, and minor amounts of shale, serpentinite, and glaucophane schist.  Conglomerate bodies range from 0.3 to 200 m in thickness; thinner bodies are not shown on map"
fsr,"Franciscan Complex (Cretaceous and Jurassic), Sheared rock (melange)",Franciscan Complex,"Predominantly graywacke, siltstone, and shale, substantial portions of which have been sheared, but includes hard blocks of all other Franciscan rock types.  Total thickness of unit is unknown, but is probably at least several tens of meters"
sp,Serpentinite (Cretaceous and/or Jurassic),,"Greenish-gray to bluish-green sheared serpentinite, enclosing variably abundant blocks of unsheared rock.  Blocks are commonly less than 3 m in diameter, but range in size from several centimeters to several meters;  they consist of greenish- black serpentinite, schist, rodingite, ultramafic rock, and silica-carbonate rock, nearly all of which are too small to be shown on the map"
Jsv,Siliceous volcanic rocks and keratophyre (Jurassic?),,"Highly altered intermediate and silicic volcanic and hypabyssal rocks.  Feldspars are almost all replaced by albite. Recent biostratigraphic and isotopic analyses yielded a Jurassic age for similar rocks in Alameda and Contra Costa Counties (Jones and Curtis, 1991)"
Jgb,Gabbro (Jurassic?),,"Light green-gray, dark-gray weathering, mafic intrusive rock, mostly gabbro but also includes some diabase locally.  The age of this unit is unknown, but the unit is probably part of the Jurassic Coast Range Ophiolite"
m,Marble and hornfels (Paleozoic?),,"White to gray finely crystalline marble, graphitic marble, and quartz-mica hornfels, in places distinctly bedded, in places foliated.  Marble and hornfels crop out as rare isolated bodies as much as 75 m long in granitic rocks of Montara Mountain"
