code,title,grouping,description,
Tcs,"Chert and siliceous shale member, Claremont Formation (middle and/or late Miocene)",,"Distinctly bedded, massive, gray and black, laminated chert, and dark brown to gray, finely laminated siliceous shale.  Some of the shale contains poorly preserved fish scales and foraminifers. Bright orange weathering lenses of tan dolomite occur locally. This unit is distinguished from the overlying Tice Shale by the presence of chert beds and lack of non-siliceous mudstone.",
Tccs,"Sandstone and siltstone member, Claremont Formation (middle and/or late Miocene)",,"Light brown, gray, and white, fine-grained quartz sandstone and siltstone.",
Ts,Sobrante Sandstone (middle Miocene),,"White, fine- to medium-grained quartz sandstone.",
Tsh,"Unnamed shale, sandstone, chert and dolomite (early Miocene)",,"Massive, orange weathering, medium-grained quartz sandstone, interbedded laminated gray chert and dolomite, dark gray, concretionary siltstone and mudstone, and conglomerate.  Conglomerate contains pebbles of varicolored chert, andesite, and quartzite in a dolomite matrix.",
Ttls,"Limestone, Tolman Formation of Hall (1958) (Eocene?)",,"Gray, algal limestone, interbedded with white, calcium carbonate matrix pebble conglomerate, and clean, medium- to coarse-grained sandstone with calcite cement.  Sandstone grains include quartz, feldspar, and lithic fragments, and in places include a large percentage of algal debris.  Sandstone weathers orange.",
Tts,"Sandstone, Tolman Formation of Hall (1958) (Eocene?)",,"Dark gray to dark greenish-gray, indistinctly bedded, glauconite bearing, medium- to coarse-grained lithic sandstone.  Locally interbedded with minor amounts of fine-grained sandstone and siltstone. The Tolman Formation is bounded above by a fault.  It overlies Redwood Creek Formation sandstone and Pinehurst shale along an obscured contact.",
Tps,Unnamed siltstone and sandstone (Paleocene),,"Dark gray, indistinctly to distinctly bedded siltstone, claystone, and shale, in places containing abundant, poorly preserved foraminifers.  Grades downward into indistinctly bedded, dark brown to green, coarse-grained, glauconite bearing lithic sandstone.",
Kp,"Pinehurst Shale (Late Cretaceous, Campanian)",Great Valley Sequence,"Siliceous shale with interbedded sandstone and siltstone.  This unit also includes maroon, concretionary shale at base.  This formation was originally considered to be Paleocene, but it contains foraminifers and radiolarians of Campanian age in its type area and throughout its outcrop extent.",
Kr,"Redwood Canyon Formation (Late Cretaceous, Campanian)",Great Valley Sequence,"Distinctly bedded, cross-bedded to massive, thick beds of fine- to coarse grained, biotite and quartz- rich wacke and thin interbeds of mica rich siltstone.  This formation is conformably overlain by the Pinehurst Shale.",
Ksc,"Shephard Creek Formation (Late Cretaceous, Campanian)",Great Valley Sequence,"Distinctly bedded mudstone and shale, mica rich siltstone, and thin beds of fine-grained, mica-rich wacke.  This formation is conformably overlain by the Redwood Canyon Formation.",
Kcv,"Unnamed sandstone, conglomerate, and shale of the Castro Valley area (Late Cretaceous, Turonian and younger(?))",Great Valley Sequence,"The lower part of the unit is composed of distinctly bedded, mica bearing siltstone, fine-grained mica bearing wacke, shale, and, locally, one thin pebble conglomerate layer.  The middle part of the unit is composed of distinct, thick beds of medium- to coarse- grained, mica-rich wacke and pebble to cobble conglomerate.  The middle part grades upward into the upper part, which is composed of distinctly to indistinctly bedded, medium- to fine-grained, mica-rich wacke and siltstone.  This unit is bounded above and below by faults.",
Ko,"Oakland Sandstone (Late Cretaceous, Cenomanian and/or Turonian)",Great Valley Sequence,"Massive, medium- to coarse-grained, biotite and quartz-rich wacke and prominent interbedded lenses of pebble to cobble conglomerate.  Conglomerate clasts are distinguished by a large amount of silicic volcanic detritus, including quartz porphyry rhyolite. Conglomerate composes as much as fifty percent of the unit in the Oakland hills, but it becomes a progressively smaller portion of the unit to the south.",
Kjm,"Joaquin Miller Formation (Late Cretaceous, Cenomanian)",Great Valley Sequence,"Thinly bedded shale with minor sandstone.  The shale grades into thinly bedded, fine-grained sandstone near the top of the formation.  The contact with the overlying Oakland Sandstone is gradational.",
Ksh,Unnamed shale (Early Cretaceous),Great Valley Sequence,,
Ks,Unnamed sandstone and shale (Cretaceous),Great Valley Sequence,"Distinctly bedded, gray to white, hard, in places cross-bedded, mica bearing, coarse- to fine grained sandstone, siltstone, and shale.  Sandstone is granitic (quartz, feldspar, and biotite grains) or lithic, and forms discontinuous outcrops on ridges and uplands.  Siltstone and shale outcrop only in canyons.",
KJk,Knoxville Formation (Late Jurassic and Early Cretaceous),Great Valley Sequence,"Mainly dark, greenish-gray silt or clay shale with thin sandstone interbeds.",
KJkc,"Thick pebble to cobble conglomerate beds, Knoxville Formation (Late Jurassic and Early Cretaceous)",Great Valley Sequence,,
KJkv,"Angular, volcanoclastic breccia, Knoxville Formation (Late Jurassic and Early Cretaceous)",Great Valley Sequence,"Locally at the base the formation contains beds of angular, volcanoclastic breccia (KJkv) derived from underlying ophiolite and silicic volcanic rocks.  The depositional contact of Knoxville Formation on ophiolite and silicic volcanic rocks can be observed at several locations in Alameda County.",
Jsv,Keratophyre and quartz keratophyre (Late Jurassic),,"Highly altered intermediate and silicic volcanic and hypabyssal rocks.  Feldspars are almost all replaced by albite.  In some places, closely associated with (intruded into?) basalt.  This unit includes rocks previously mapped as Leona and Northbrae rhyolite, erroneously considered to be Tertiary (Dibblee, 1980, 1981, Radbruch and Case, 1967, Robinson, 1956).  Recent biostratigraphic and isotopic analyses have revealed the Jurassic age of these rocks (Jones and Curtis, 1991). These rocks are probably the altered remnants of a volcanic arc deposited on ophiolite during the Jurassic Period.",
Jpb,"Pillow basalt, basalt breccia, and minor diabase, Coast	Range ophiolite (Jurassic)",Coast Range Ophiolite,,
Jgb,"Gabbro, Coast Range ophiolite (Jurassic)",,,
gb,"Gabbro, Coast Range ophiolite (Jurassic)",,[I have duplicated the Jgb unit as gb because gb seems to be missing from the unit descriptions and I believe it may have been mislabeled in the map data --kueda 2016-10-21],
sp,"Serpentinite, Coast	Range ophiolite (Jurassic)","Mainly sheared serpentinite, but also includes massive serpentinized harzburgite.  In places, pervasively altered to silica carbonate rock.",,
QTl,Livermore Gravels (Pliocene and Pleistocene),,"Poorly to moderately consolidated, indistinctly bedded cobbles and pebbles, gray pebble and cobble bearing sand, and gray, coarse-grained sand.",
Tlp,Unnamed freshwater limestone (Pliocene(?)),,,
Tss,Unnamed sandstone (late Miocene and/or Pliocene),,"Distinctly to indistinctly bedded, poorly consolidated, white, fine-grained sandstone and siltstone, interbedded with diatomite, gray diatomaceous chert, and tan, freshwater limestone.",
Tbr,Briones Formation (late Miocene),,"Distinctly to indistinctly bedded, gray and white, fine- to coarse-grained, quartz-lithic sandstone and shell breccia.  Pebble and cobble conglomerate lenses are present in a few places.  Conglomerate clasts include black and red chert, quartzite, andesite, argillite, siltstone, basalt, felsic tuff, and quartz.  Shell breccia beds form erosion resistant ridges and peaks.",
Tt,Tice Shale (late Miocene),,"Thin, distinct beds of dark brown shale and claystone.  Weathers reddish brown.",
To,Oursan Sandstone (late Miocene),,"Indistinctly bedded, fine- to medium-grained, olive sandstone, siltstone and claystone.",
Ks,Unnamed sandstone and shale (Cretaceous),,,
Tbr,Briones Formation (late Miocene),,"Distinctly to indistinctly bedded, gray and white, fine- to coarse-grained, quartz-lithic sandstone and shell breccia.  Pebble and cobble conglomerate lenses are present in a few places.  Conglomerate clasts include black and red chert, quartzite, andesite, argillite, siltstone, basalt, felsic tuff, and quartz.  Shell breccia beds form erosion resistant ridges and peaks.",
Tt,Tice Shale (late Miocene),,"Thin, distinct beds of dark brown shale and claystone.  Weathers reddish brown.",
To,Oursan Sandstone (late Miocene),,"Indistinctly bedded, fine- to medium-grained, olive sandstone, siltstone and claystone. Pebble and shell fragment conglomerate is present near the base.",
Tcc,Claremont Formation (middle and/or late Miocene),,"Distinctly bedded, massive, gray and black, laminated chert, and dark brown, black, or gray, finely laminated siliceous shale.  Some of the shale contains poorly preserved fish scales and foraminifers.  The unit also contains locally interbedded, light colored, calcareous sandstone, and 0.3 to 2 meter thick beds of limestone.",
Ttem,Temblor Sandstone (middle Miocene),,"Thickly and indistinctly bedded, olive, fine- to coarse-grained sandstone and pebble conglomerate.  Vertebrate and invertebrate fossils are common in many parts of this unit.  The Temblor Sandstone unconformably lies on the Franciscan melange in this Assemblage.",
Tn,Neroly Sandstone (late Miocene),,"Medium-grained, blue, quartz, feldspar, and mica-bearing sandstone.  This unit also contains green, glauconite bearing, pebble conglomerate layers, mapped locally (Tnc).",
Tnc,"Green, glauconite bearing, pebble conglomerate layers of the Neroly Sandstone (late Miocene)",,,
Tbr,Briones Formation (late Miocene),,"Distinctly to indistinctly bedded, gray and white, fine- to coarse-grained, quartz-lithic sandstone and shell breccia.  Pebble and cobble conglomerate lenses are present in a few places.  Conglomerate clasts include black and red chert, quartzite, andesite, argillite, siltstone, basalt, felsic tuff, and quartz.  Shell breccia beds form erosion resistant ridges and peaks.  This unit unconformably overlies Franciscan greenstone (KJfg) and melange (KJfm) in the east part of this Assemblage.",
Tol,Oro Loma Formation of Briggs (1953) (Pliocene),,"Poorly consolidated reddish silt, sand, and gravel.",
Tn,Neroly Sandstone (late Miocene),,"Blue sandstone, minor siltstone, shale, tuff, and andesite rich pebble and boulder conglomerate.",
Tc,Cierbo Sandstone (late Miocene),,"Distinctly thick-bedded, fine- to coarse-grained, moderately consolidated, light gray to white quartz sandstone with minor lithic and biotite grains.  Locally the unit contains beds of highly fossiliferous, coarse-grained sandstone.  The fossils are predominantly of the genus Ostrea.  The unit also contains minor pebble conglomerate locally.",
Tte,Tesla Formation (Eocene),,"White and buff sandstone, siltstone, anauxitic claystone, and carbonaceous shale, with minor coal.",
Ksuh,Unnamed shale (Late Cretaceous),Great Valley Sequence,,
Ksus,Unnamed sandstone (Late Cretaceous),Great Valley Sequence,,
Ksu,Unnamed sandstone and shale (Late Cretaceous),Great Valley Sequence,,
Kkh,Horsetown Formation of Huey (1948) (Early Cretaceous),Great Valley Sequence,Dark shale and thin beds of sandstone.,
fs,Franciscan meta-graywacke (Late Jurassic and/or Early Cretaceous),Franciscan Complex,,
fc,Franciscan chert (Late Jurassic and/or Early Cretaceous),Franciscan Complex,,
fg,Franciscan greenstone (Late Jurassic and/or Early Cretaceous),Franciscan Complex,,
fl,Franciscan marble (Late Jurassic and/or Early Cretaceous),Franciscan Complex,,
H2O,Water,,,
