code,title,description,grouping
Tcgl,Conglomerate (late Miocene),"Conglomerate, sandstone, and siltstone. Contains moderately rounded to well- rounded pebbles and cobbles of laminated brown and gray chert and porcellanite probably derived from the Claremont chert which crops out south of the map area, as well as varicolored chert, andesite, greenstone, graywacke, blueschist, and pumice. Just south of the map area this unit includes a tuff bed correlated with the informally named Roblar tuff of Sarna-Wojcicki (1992), which has yielded radiometric ages around 6 Ma (Sarna-Wojckici, 1976). The lithology, clast composititon, and the presence of Roblar tuff suggest that this unit is, at least in part, correlative with the Petaluma Formation (Tps) in the Sears Point area. These two units have probably been offset about 35 km from their original contiguous depositional position in the past 6 m.y. by movement on the Hayward-Rodgers Creek-Healdsburg Fault Zone",
Tut,Tuffaceous sandstone (late Miocene),"Tuffaceous sandstone containing pumice fragments. Originally mapped as Pinole Tuff, this unit is now thought to underlie the Roblar tuff of Sarna-Wojcicki (1992), which is now known to be older than the Pinole Tuff (Tpt )",
Tdi,Diatomite (middle to early Miocene),Light-gray to white diatomite with minor brown shale,
Tsa,Sandstone (middle to early Miocene),"Massive, light-gray, fine- to medium-grained sandstone",
Tpt,Pinole Tuff (Pliocene),"White, fine ash to lapilli, rhyolite tuff and pumiceous to tuffaceous sandstone. Volcanic sandstone beds also include clasts of chert and schist derived from Franciscan Complex rocks. This tuff has yielded a K/Ar date of 5.2 + 0.11 Ma (Evernden and others, 1964; Sarna-Wojcicki, 1971 1976)",
Tn,Neroly Sandstone (late Miocene),"Brown to blue, volcanic-rich, lithic to arkosic, shallow marine sandstone. Also includes minor shale, siltstone, and tuffaceous sandstone",
Tc,Cierbo Sandstone (late Miocene),"Brown, gray, white, and minor blue marine quartz and quartz-lithic sandstone, with minor tuffaceous sandstone, shale, and conglomerate",
Tbu,Upper member of the Briones Sandstone (late and middle Miocene),Sandstone and siltstone,
Tbh,Hercules Shale Member of the Briones Sandstone (late and middle Miocene),"Gray shale, siliceous shale, sandy shale, and siltstone. Locally contains abundant muscovite",
Tbl,Lower member of the Briones Sandstone (late and middle Miocene),Sandstone and siltstone,
Tr,Rodeo Shale (middle Miocene),"Light-brown siltstone, silty shale, shale, siliceous shale, and chert. Foraminifers are locally abundant, as are yellow-orange dolomitic concretions",
Th,Hambre Sandstone (middle Miocene),"Light-brown to gray, massive, medium- to fine-grained sandstone and siltstone",
Tt,Tice Shale (middle Miocene),"Brown to light-gray siliceous shale, argillaceous chert, and yellow-orange dolomitic lenses and concretions",
Tbr,Briones Sandstone (late and middle Miocene),"Orange- to tan-weathering, white to gray quartz-lithic sandstone, shell breccia, conglomerate, siltstone, and shale",
Ts,Sobrante Sandstone (early Miocene),"Massive, white, medium-grained, calcareous quartz sandstone",
Tsr,San Ramon Sandstone (early Miocene and (or) Oligocene),"Bluish-gray to brown, medium-grained sandstone with conglomerate locally present in basal part. The accepted age for this unit was early Miocene, based on Addicott (1970) who noted that Weaver and others (1944) had reclassified the molluscan zone of the San Ramon Sandstone fauna (Echinophoria apta) from late Oligocene to early Miocene. However, Kleinpell (1938) reported early Zemorrian foraminifers from the San Ramon Sandstone. Weaver and others (1944) classified the Zemorrian as early Miocene (probably based on the relationships in this unit), but more recent work on foraminiferal zonation by McDougall (1983) has shown the Zemorrian zone to be entirely Oligocene. In addition, the San Ramon Sandstone south of the map area underlies tuffaceous sandstone and tuff correlated with the Kirker Tuff, which is considered to be Oligocene. The contradiction in accepted ages of the two units and the contradiction of foraminiferal and molluscan zonation has caused Graymer (2000) to use the less restricted age indicated",
Tes,Escobar Sandstone of Weaver (1953) (Eocene),"Massive, medium- to coarse-grained, brown sandstone and gritty sandstone with interstratified silty shale",
Teh,Basal shale member of the Escobar Sandstone of Weaver (1953) (Eocene),"Thinly laminated, light-brown to white shale",
Tmr,Muir Sandstone of Weaver (1953) (Eocene),"Massive, yellow-weathering, brownish-gray, fine- to medium-grained silty arkose and silty shale. Foraminifers are common in the shales, and fossil molluscs and corals are present in the sandstone.",
Tmru,Upper member of the Muir Sandstone of Weaver (1953) (Eocene),Massive arkose and silty sandstone with minor shale,
Tmrl,Lower member of the Muir Sandstone of Weaver (1953) (Eocene),Brown silty shale and claystone with thin sandstone beds in the basal part of the member,
Tlj,Las Juntas Shale of Weaver (1953) (Eocene and Paleocene),Gray clay shale and silty shale with minor interbeds of siltstone and sandstone. The Las Juntas Shale was considered Eocene by Weaver (1953) but is now known to contain both Eocene and Paleocene foraminifers.,
Tlju,Upper member of the Las Juntas Shale of Weaver (1953) (Eocene and Paleocene),Brownish-gray silty shale,
Tljl,Lower member of the Las Juntas Shale of Weaver (1953) (Eocene and Paleocene),Fine- to medium-grained silty sandstone and silty shale,
Tvh,Vine Hill Sandstone of Weaver (1953) (Paleocene),"Massive, medium- to coarse-grained, brown, glauconitic sandstone and silty shale",
Tvhu,Upper member of the Vine Hill Sandstone of Weaver (1953) (Paleocene),"Gray, brown, and white, massive sandstone, with minor pebbly sandstone in the upper part of the member and thin-bedded brown sandstone and silty shale in the lower part of the member",
Tvhl,Lower member of the Vine Hill Sandstone of Weaver (1953) (Paleocene),"Brown and gray, locally gritty, sandstone and silty to sandy shale. A five-foot-thick bed of pebble conglomerate may mark the base of the member in places",
Ku,"Undivided sandstone, siltstone, and shale (Late Cretaceous)","Brownish-gray, fine- to coarse-grained, thin bedded to massive sandstone and greenish-gray to black shale and silty shale. Also includes minor pebbly sandstone and conglomerate. This unit has yielded foraminifers of Cenomanian to Maastrichtian age.",Great Valley Complex
Kcs,Massive sandstone (Late Cretaceous),"Gray, massive quartz arenite",Great Valley Complex
Kus,"Sandstone, siltstone, and shale (Late Cretaceous)",Similar to Ku,Great Valley Complex
Kuh,Massive sandstone (Late Cretaceous),Also includes minor siltstone,Great Valley Complex
KJgv,Massive sandstone and shale (Early Cretaceous and Late Jurassic),"Gray and greenish-gray clay shale, siltstone, lithic wacke, and gritstone. Shale has dolomite and calcite concretions in many places. This unit has yielded Buchia of Tithonian to Valanginian age",Great Valley Complex
QThg,"Huichica and Glen Ellen Formations, undivided (early Pleistocene and Pliocene)","Siltstone, sandstone, and gravel equivalent to the Glen Ellen Formation found north of the map area (Fox, 1983) and (or) Huichica Formation of the Sonoma assemblage",
Tsv,Sonoma Volcanics (Pliocene and late Miocene),"The Sonoma Volcanic complex includes tuff, obsidian, flow rock, pyroclasitic breccia, and intrusives which range in composition from rhyolite to basalt and were probably derived from several eruptive centers, along with interbedded volcaniclastic sedimentary rocks. In part equivalent to Sonoma Volcanics in the Sonoma, Cordelia, and Vacaville assemblages; radiometric ages from the Sonoma Volcanics in the Sears Point assemblage range from about 4.2 to about 8.5 Ma (Fox, 1983; Fox and others, 1985a; Youngman, 1989). The Sonoma Volcanics are thought to have formed, along with the Clear Lake Volcanics, Donall Ranch volcanics of Youngman (1989), and andesite of Burdell Mountain of Blake and others (2000), as part of the northward younging series of volcanic centers related to initiation of the San Andreas Fault system (Fox and others, 1985b). For more about the Sonoma Volcanics, see Fox (1983) and Sarna-Wojcicki (1976).",
Tsva,Andesite to basalt flows of the Sonoma Volcanics (Pliocene and late Miocene),,
Tsvad,Andesite to dacite flows of the Sonoma Volcanics (Pliocene and late Miocene),,
Tsvr,Rhyolite flows of the Sonoma Volcanics (Pliocene and late Miocene),Rhyolite flows—Includes intercalated rhyolite tuff in places,
Tsvt,Ash-flow tuff of the Sonoma Volcanics (Pliocene and late Miocene),"Ash-flow tuff—Pumiceous tuff, aglomeratic tuff. Also contains minor flow rocks Volcanic sand and gravel",
Tsvs,Volcanic sand and gravel of the Sonoma Volcanics (Pliocene and late Miocene),"Tuffaceous mudstone, crossbedded, coarse-grained volcanic sandstone, and cobble conglomerate with well-rounded to angular andesite and basalt clasts",
Tps,"Mudrock, sandstone, and conglomerate of the Petaluma Formation (early Pliocene and late Miocene)",,
Tpc,Claystone of the Petaluma Formation (early Pliocene and late Miocene),Massive to laminated gray claystone,
Tdm,Mafic member of the Donall Ranch volcanics of Youngman (1989) (late Miocene),"Medium-gray to black basalt and olivine basalt and brown-gray to dark-gray basaltic andesite. The volcanics are phaneritic to porphyritic, locally vesicular. Phenocrysts include plagioclase and lesser olivine and pyroxene",
Tdr,Rhyolite member of the Donall Ranch volcanics of Youngman (1989) (late Miocene),Pink to gray rhyolite and dacite flow rock and breccia. The volcanics are mostly phaneritic and vesicular or amygduloidal. This unit also includes minor rhyolite tuff,
QTh,Huichica Formation (early Pleistocene and Pliocene),"Massive, yellow siltstone, well-sorted quartz- lithic sandstone, and poorly consolidated gravel. Detritus includes varicolored chert, quartz-lithic sandstone, biotite wacke, rhyolite, metachert, and tuff reflecting derivation from Franciscan Complex, Great Valley complex, and older Tertiary rocks. The Huichica Formation also includes a tuff bed near the base that has been correlated with the Lawlor Tuff (Tl ; Sarna-Wojcicki, 1976)",
Tsvi,Andesite to dacite plugs and dikes of the Sonoma Volcanics (Pliocene and late Miocene),,
Tsvp,Rhyolite and perlitic flows and plugs of the Sonoma Volcanics (Pliocene and late Miocene),,
Tsvw,Welded ash-flow tuff of the Sonoma Volcanics (Pliocene and late Miocene),"Similar to unit Tsvt, but partly welded",
Tsvl,Lithic tuff of the Sonoma Volcanics (Pliocene and late Miocene),"Also includes agglomerate, agglomeratic tuff",
Tsvd,Diatomite of the Sonoma Volcanics (Pliocene and late Miocene),"Includes interbedded sand, gravel, and tuff",
Tv,Intercalated basalt of the Cierbo Sandstone (late Miocene),"Black basalt. Crops out only in one hill north of Napa Junction, in the westernmost part of the Cordelia quadrangle",
Tcc,Claremont Shale (Miocene),"White-weathering, light-brown, laminated siliceous shale and mudstone. This unit crops out in only two small exposures in the Cuttings Wharf quadrangle",
Tmk,Markley Sandstone (Eocene),"Mainly buff-weathering, white to light-gray, quartz-mica sandstone. Characterized in many places by small to large plates of white mica (up to several mm across). In places, the sandstone also includes carbonized plant debris and other carbonaceous material. This unit also includes white- or brown-weathering, brown or dark-gray, foraminifer- and diatom-bearing, mudstone and sandy mudstone. In some outcrops the mudstone is laminated and siliceous and has a slabby parting. The mudstone has been previously mapped in places as Nortonville Shale (for example Sims and others, 1973), but it is distinguished by younger fossils and by being more siliceous.",
Tmkj,Jameson Shale Member of the Markley Sandstone (Eocene),"Laminated and siliceous, foraminifer-, diatom-, and radiolarian-bearing brown mudstone with slabby parting. This unit is similar to the Nortonville Shale but contains younger fossils and is more siliceous.",
Tnv,Nortonville Shale Member of Kreyenhagen Formation (Eocene),"Gray-weathering, brown shale. Also contains thin beds of fine-grained, dark-gray, quartz-lithic-glauconitic sandstone. In the Cordelia area, this unit pinches out in the northern part of the Cordelia quadrangle",
Td,Domengine Sandstone (Eocene),"Gray-weathering, white, clean, quartz, quartz-lithic, and quartz-biotite sandstone, locally crossbedded. In one outcrop in the northern part of the Cordelia quadrangle, the sandstone contains abundant invertebrate fossils (shells). Also in the area, this unit contains near the base a prominent ridge-forming boulder to pebble conglomerate containing clasts of serpentinite, gabbro, pyroxenite, crinoidal limestone, black argillite, and diorite",
Tm,Meganos Formation (Eocene and (or) Paleocene),"Brown-weathering gray shale and quartz-biotite lithic sandstone. This unit, which crops out only in a small area in the northeastern part of the Cuttings Wharf quadrangle, contains foraminifers of early Eocene and (or) late Paleocene age (probably planktic foraminiferal zone P6 or early early Eocene according to K. McDougall, written commun., 2002)",
Jsv,Keratophyre (Jurassic),"Orange-weathering, white, altered silicic (quartz keratophyre) and intermediate (keratophyre) volcanic rocks. Locally contains red jasper, rhyolite, and rhyolite tuff",Great Valley Complex
Jb,Massive and pillow basalt (Jurassic),"Black basalt and pillow basalt, locally amygduloidal",Great Valley Complex
Jgb,Gabbro (Jurassic),"Locally also contains plagioclase-porphyry diabase, pyroxenite, and serpentinite",Great Valley Complex
sp,Serpentinite (Jurassic),Locally also contains pyroxenite and silica-carbonate rock,Great Valley Complex
sc,Silica-carbonate rock,"Red and yellow masses of quartz, opal, and carbonate formed by hydrothermal alteration of serpentinite. This unit also locally includes minor remnants of serpentinite, and, in rare localities, concentrations of cinnabar",Great Valley Complex
ls,Limestone (age unknown),"Gray algal limestone. In the mapped area, this unit only crops out as a small fault-bounded sliver associated with silica-carbonate rock (altered serpentinite) in the northern part of the Cordelia quadrangle",Great Valley Complex
QTu,"Sandstone, siltstone, and gravel (early Pleistocene and late Pliocene)","Semi-consolidated to unconsolidated poorly sorted gravel, sand, silt, and clay distributed in isolated patches. Outcrops are distinguished from younger alluvial deposits (such as unit Qoa ) by lack of relation to modern or Pleistocene drainage. Thickness varies but most outcrop areas exceed 50 m. At most localities, soil profiles are absent due to erosion",
Tpth,Tehama Formation (Pliocene),"Poorly consolidated, nonmarine, gray to maroon siltstone, sandstone, tuff, and conglomerate. This unit was correlated with the Tehama Formation in the Vacaville Assemblage based on the presence of tuff correlated with the Putah Tuff member (Sims and Sarna-Wojcicki, 1975)",
Tl,Lawlor Tuff (Pliocene),"Nonmarine, pumiceous, andesitic ash-flow tuff. Redating of the tuff in this area has yielded an Ar/Ar age of 4.83 + 0.04 Ma. (Sarna-Wojcicki, written communication, 2002)",
Tmku,Upper member of the Markley Sandstone (Eocene),"White- to light-gray-weathering, brown and light-gray, plant-debris rich, thin-bedded mudstone, siliceous mudstone, siltstone, and quartz-muscovite sandstone",
Tmkl,Lower member of the Markley Sandstone (Eocene),Thin-bedded to massive quartz-muscovite sandstone with minor siltstone and conglomerate,
Qmz,Montezuma Formation (early Pleistocene),"Orange-weathering, soft, brown, poorly sorted quartz-lithic sand, silt, and pebble gravel. Pebbles include red chert and volcanics",
Tptt,Putah Tuff member of the Tehama Formation (Pliocene),"Water-lain tuff and tuffaceous and volcaniclastic sedimentary rocks. This unit has yielded a radiometric age of 3.3 + 0.1 Ma (K/Ar, Miller, 1966). This member was correlated with the Nomlaki Tuff Member of the Tehama Formation north of the map area, which is similar in age, but chemical analysis has shown the tuffs to be distinct (Miller, 1966; Sarna-Wojcicki, 1976)",
Tpb,Putnam Peak Basalt (Miocene),"Olivine basalt flow rock. Columnar jointing locally developed. Correlated with the Lovejoy Basalt of the Sierra Nevada foothills (Durrell, 1959; Gromme, 1963; Siegel, 1988) based on geochemical similarities, suggesting that the Putnam Peak Basalt is the remnant of extensive flood basalts that extended from the Sierra Nevada to the Coast Ranges. The age of the Lovejoy Basalt has been controversial, having been reported variously from Eocene to Miocene, but recent Ar/Ar analysis has yielded an age of about 16 Ma (Page and others, 1995; Wagner and others, 2000), suggesting the revised provisional assignment of Miocene age to the Putnam Peak Basalt",
Tnvu,Upper member of the Nortonville Shale Member of Kreyenhagen Formation (Eocene),Brownish-gray shale with thin sandstone beds,
Tnvm,Middle member of the Nortonville Shale Member of Kreyenhagen Formation (Eocene),Argillaceous arkose,
Tnvl,Lower member of the Nortonville Shale Member of Kreyenhagen Formation (Eocene),Brownish-gray silty shale,
Tsh,Shale (Eocene),"Brown, thin-bedded and laminated, foraminiferal mudstone and gray micaceous shale. Previously mapped as Vacaville shale (Merriam and Turner, 1937) and Capay Formation (for example, Weaver, 1949). This unit contains foraminifers and nannoplankton of middle and early Eocene age (Prothero and Brabb, 2001)",
Tpu,Shale and sandstone (Paleocene),"Brown, glauconitic, mica-lithic wacke and gritstone; gray, fine-grained quartz-biotite-lithic wacke; and gray foraminiferal shale and mudstone. Locally, also contains gray glauconitic shale, red and olive shale, and brown biotite-feldspar-lithic sandstone. This unit contains Paleocene foraminifers (Lachenbruch, 1962; Emerson and Roberts, 1962; Sonneman and Switzer, unpub. data, 1961-1962; Almgren, unpub. data, 2002).",
Tpus,Basal sandstone (Paleocene),"White, clean, mica-quartz-lithic sandstone. Crossbedded in places",
Tmz,Martinez Formation (Paleocene),"Very light brown and light-gray, fine-grained mica-lithic and mica-quartz-lithic sandstone and micaceous mudstone with plant debris. This unit includes a shelly sandstone containing Paleocene Turitella (C. Powell, written commun., 2002) in the Fairfield North quadrangle. Only mapped south of Vacaville",
Kuhs,Sandstone and shale (Late Cretaceous),"Biotite-quartz-lithic sandstone, gray-weathering brown siliceous shale, and gray siliceous shale and mudstone. ",Great Valley Complex
Kuss,Sandstone (Late Cretaceous),,Great Valley Complex
Ksh,Siliceous shale (Late Cretaceous),"Contains radiolarians and foraminifers of Late Cretaceous (Campanian) age (Emerson and Roberts, 1962; Sonneman and Switzer, unpub. data, 1961-1962; Almgren, unpub. data, 2002)",Great Valley Complex
Kfo,Forbes Formation (Late Cretaceous),"Thick beds of massive, fine- to coarse-grained biotite-muscovite- quartz-lithic wacke with shell fragments grading up into interbedded siltstone and shale. This unit contains foraminifers of Late Cretaceous (Campanian to Santonian) age (Goudkoff, 1945; Lachenbruch, 1962; Emerson and Roberts, 1962; Sonneman and Switzer, unpub. data, 1961-1962; Almgren, unpub. data, 2002)",Great Valley Complex
Kg,Guinda Formation (Late Cretaceous),"Thick-bedded to massive, coarse- to fine-grained, biotite-quartz- feldspar-lithic wacke. Grades up into gray siltstone and shale bearing radiolarians and foraminifers of Late Cretaceous (Santonian) age (Goudkoff, 1945; Lachenbruch, 1962; Emerson and Roberts, 1962; Sonneman and Switzer, unpub. data, 1961-1962; Almgren, unpub. data, 2002)",Great Valley Complex
Kf,Funks Formation (Late Cretaceous),"Tan weathering, greenish-gray and gray, carbonaceous, biotite siltstone and mudstone. This unit also includes thin beds of biotite-quartz-feldspar-lithic wacke. The shale beds have foraminifers of Late Cretaceous (Santonian) age (Goudkoff, 1945; Lachenbruch, 1962; Emerson and Roberts, 1962; Sonneman and Switzer, unpub. data, 1961-1962; Almgren, unpub. data, 2002)",Great Valley Complex
Ks,Sites Formation (Late Cretaceous),"Distinctly and moderately thick bedded, laminated, gray-brown or greenish-gray, fine- to medium-grained biotite wacke, quartz wacke, and lithic wacke and moderately thick (up to 2 meters) beds of dark gray carbonaceous siltstone. This unit contains foraminifers of Late Cretaceous (Coniacian) age (Goudkoff, 1945; Lachenbruch, 1962; Emerson and Roberts, 1962; Sonneman and Switzer, unpub. data, 1961-1962; Almgren, unpub. data, 2002)",Great Valley Complex
Ky,Yolo Formation (Late Cretaceous),"Distinctly and moderately thick bedded, fine- to coarse-grained, laminated quartz-biotite-lithic sandstone and greenish-gray mudstone and micaceous siltstone. Carbonaceous debris is common in places. Mudstone beds contain radiolarians and foraminifers of Late Cretaceous (Coniacian) age (Goudkoff, 1945; Lachenbruch, 1962; Emerson and Roberts, 1962; Sonneman and Switzer, unpub. data, 1961-1962; Almgren, unpub. data, 2002)",Great Valley Complex
Kv,Venado Formation (Late Cretaceous),"Massive and thick-bedded, brown-weathering, greenish-gray, shale- chip bearing, biotite-lithic wacke. The unit also includes minor siltstone, more common near the top, and conglomerate near the base. In Monticello Dam quadrangle, the basal part also includes a layer of megabreccia, angular blocks of sandstone and siltstone up to 3.5 m in length in a conglomeratic mudstone matrix (see Peterson, 1965; Lowe, 1972). This unit contains sparse foraminifers of Late Cretaceous (Turonian) age (Goudkoff, 1945; Lachenbruch, 1962; Emerson and Roberts, 1962; Sonneman and Switzer, unpub. data, 1961- 1962; Almgren, unpub. data, 2002)",Great Valley Complex
KJu,Sandstone (Early Cretaceous and Late Jurassic),Ridge-forming section as much as 350 m thick of massive to thick-bedded lithic wacke,Great Valley Complex
KJgvm,Mélange (Early Cretaceous and Late Jurassic),Southwest of Lake Berryessa lies a fault-bounded zone of highly to moderately sheared and disrupted sandstone and shale identical to unit KJgv. The deformation ranges from small scale isoclinal folds to formation of slaty cleavage in the shale and complete disruption of the sandstone. Quartz and calcite veins are common. Large lenses of basalt breccia (Jv ) are intercalated into the unit. This unit has either undergone repeated imbrication along reverse or thrust faults that have tectonically interleaved the sedimentary rocks with the previously underlying volcanics or formed as an olistostrome from volcanic-bearing submarine debris flows and has undergone considerable later deformation,Great Valley Complex
