code,title,grouping,formation,description
KJfm,Metamorphic rocks (Cretaceous and Jurassic),Franciscan Complex,,"Variably sheared, containing blueschist minerals; chiefly metagraywacke with slight to moderated metamorphic fabric (textural zone 2 of Blake and others, 1967), but includes much metagreenstone (types II and III, metabasalt of Coleman and Lee (1963) largely distinguished as unit Jmgs), metachert, and minor amounts of metaconglomerate. Metagraywacke and minor slaty interbeds are similar to sandstone and shale of Kfs, Kfgwy, and fsr in color and bedding character, although bedding is commonly obscure. Rock is fractured and variably sheared, locally severely; tectonic inclusions, particularly of coarse-grained metamorphics and serpentinite, are common where unit is severely sheared. Severely sheared rock and metagraywacke that yields vermiculite on weathering form relatively subdued topography, whereas metagreenstone generally forms rugged mountains. Good exposures of these rocks occur in roadcuts along northeast side of Stafford Lake (west of Novato in the northeast corner of the San Geronimo quadrangle)"
KJfch,Chert (Cretaceous and Jurassic),Franciscan Complex,,"Chert with shale interbeds. Chert is thin bedded, closely fractured, and parts along bedding planes; contains tests of radiolaria that range in age from early Jurassic (Tithonian) to Middle Cretaceous (Cenomanian) age (Murchey, 1984); crops out as irregularly shaped bodies as long as 4.5 km. In southern Marin County and parts of San Francisco, chert up to 100 m thick overlies pillow lava and is overlain conformably by a few feet of fine-grained, black shale that grades into overlying graywacke and shale. Shown to scale where possible, smaller masses shown by a triangle with a 'c' next to it"
KJfgc,Greenstone and chert (Cretaceous and Jurassic),Franciscan Complex,,"Undivided Jfgs and KJfch, too tightly interlayered to show as separate units at map scale"
Jfg,Greenstone (Jurassic),Franciscan Complex,,"Consists of pillow lava and less abundant tuff, breccia, and intrusive basalt, diabase, and rare gabbro. Local lenses of thin-bedded radiolarian chert are as thick as 30 m. Fresh rock is hard, relatively unsheared, and ranges from essentially structureless to strongly pillowed; deeply weathered in places; crops out in elongate masses as long as 14 km, which, with one exception, are aligned in a northwest-trending band 5 kilometers east of the San Andreas Fault Zone"
Jfmgs,Metagreenstone (Jurassic),Franciscan Complex,,"Ranges from greenstone with patchy occurrence of blue amphiboles to schistose rock containing well developed glaucophane and lawsonite (type II to type III metabasalt of Coleman and Lee, 1963); occurs in unit KJfm largely as the former, and in unit fsr largely as the latter in discrete masses as long as 1 mile."
Jfmch,Metachert (Jurassic),Franciscan Complex,,Fine-grained banded chert with bands or layers defined by bluish colors indicating the presence of blue amphibole; occurs as small discrete masses in fsr and as small unmapped lenses in KJfm and Jmgs.
Jfmgc,Metagreenstone and metachert (Jurassic),Franciscan Complex,,"Undivided Jfmgs and Jfmch, too tightly interlayered to show as separate units at the map scale"
Jfgs,Greenstone (Jurassic),Franciscan Complex,,"Similar to unit Jfg, except crops out as small, discrete masses as long as 1.5 km. In southern Marin County and parts of San Francisco, crops out as well-bedded pillow lavas and minor intrusive diabase that forms lowest exposed portion of section; overlain by chert and graywacke and repeated several times by faulting (Wahrhaftig, 1984); smaller masses are hard and relatively unfractured, but larger masses typically are closely fractured or sheared, are softened by weathering, and bear distinctive red soil."
Jfmg,Metamorphic rocks (Jurassic),Franciscan Complex,,"Chiefly gneissic, including glaucophane-garnet schist, eclogite, and garnet amphibolite (type IV metabasalt of Coleman and Lee, 1963)."
Jspm,Massive serpentinite (Jurassic),Franciscan Complex,,"Hard, massive serpentine. Includes some partly serpentinized peridotite. This unit is mapped only in San Francisco"
sp,Serpentinite (Jurassic),Franciscan Complex,,"Including relatively fresh ultramafic rock; crops out as lenses and irregularly shaped masses, largely within and along boundaries of fsr; most serpentinite displays a prominent shear fabric."
sc,Silica-carbonate rock (Jurassic),Franciscan Complex,,"Hard, tough rock that crops out mostly along margins of serpentinite bodies and as small discrete masses in severely sheared mélange locally contains minor cinnabar. Some parts of the rock may be Tertiary in age."
fsr,Mélange,Franciscan Complex,,"A tectonic mixture of variably sheared shale and sandstone containing (1) hard tectonic inclusions largely of greenstone, chert, graywacke, and their metamorphosed equivalents, plus exotic high-grade metamorphic rocks and serpentinite and (2) variably resistant masses of graywacke, greenstone, and serpentinite up to several miles in longest dimension, and including minor discrete masses of limestone too small to be shown. Blocks and resistant masses have survived the extensive shearing evident in the mélange's matrix, and range in abundance from less than 1 to 50 percent or more of the rock mass. The degree of shearing in the unit ranges from gouge to unsheared rock, with resistant masses relatively unsheared and matrix sheared. Severely sheared shale is abundant in areas where blocks are abundant. Fresh, relatively unsheared rock is hard, the larger resistant masses are pervasively fractured, and blocks are commonly tough and relatively unfractured. Sandstone is graywacke, grayish green where fresh, weathering to brown, commonly medium to coarse grained, containing abundant angular lithic grains and no detrital potassium feldspar, except rarely as much as 5 percent. Graywacke is locally veined with quartz and carbonate, and usually contains microscopic secondary pumpellyite. Topography of coherent masses resembles that of unit Kfs, whereas highly sheared matrix typically yields subdued, gently-rounded topography. Good exposures of both sheared matrix and relatively unsheared graywacke and shale occur at the crushed rock quarry just east of the intersection of State Highway 17 and U.S. Highway 101, in Greenbrae (Novato quadrangle)"
KJgv,"Undivided Great Valley complex shale, sandstone, and conglomerate (Cretaceous and (or) Jurassic)",Great Valley Sequence,,"Interbedded shale, sandstone, and pebble conglomerate; crops out on Burdell Mountain and along San Antonio Road north of Burdell Mountain. Sandstone associated with Buchias and other fossils at these two localities contains more than 10 percent detrital potassium feldspar"
Kgvn,Novato Conglomerate (Cretaceous),Great Valley Sequence,Novato Conglomerate,"Pebble to boulder conglomerate with abundant rhyolite clasts and less abundant dark chert and granitic clasts. Minor coarse sandstone lenses and interbeds contain more than 10 percent detrital potassium feldspar. The unit contains thin, vesicular basalt in outcrop east of Novato along Atherton Avenue, which joins State Highway 37 about 2.5 miles east of Highway 101 (Novato quadrangle). Sandstone with Buchias along Atherton Avenue contains 0 percent detrital potassium feldspar"
KJgvs,Sandstone and claystone (Cretaceous and (or) Jurassic),Great Valley Sequence,,"Sandstone and interbedded gray claystone, with rare thin sandstone beds and calcareous nodules, and dark gray, laminated, platy siltstone. Crops out on the southeast margin of unit Kgvn in the Novato quadrangle."
water,Water,,,
