code,title,grouping,formation,description
QTm,"Marine siltstone and sandstone, Merced Formation (upper Pliocene to Pleistocene)",,"Marine siltstone and sandstone, Merced Formation (upper Pliocene to Pleistocene)","Weakly consolidated, thick-bedded, bluish-gray, sandy siltstone with crossbedded, fine-grained silty sandstone and interbedded pebble conglomerate in upper part is exposed in cliff section at Bolinas. Calcareous concretions commonly contain fossil shells and carbonized wood, whereas the siltstones locally contain abundant calcareous foraminifers.  The cliff section is about 70 m thick;  water wells about 2 km to the north have penetrated 85 to 91 m of Merced without reaching its base (Wagner, 1977). Mollusks and benthic foraminifers indicate shallow-marine nearshore and backshore conditions (Galloway, 1977).  Correlative with the type Merced about 30 km to the south that ranges in age from late Pliocene (3.2 Ma) to Pleistocene (200 ka) (K.R. Lajoie, written commun., 1996)."
Qmi,"Alluvial and estuarine clay, silt, sand, and gravel, Millerton Formation (Pleistocene)",,"Alluvial and estuarine clay, silt, sand, and gravel, Millerton Formation (Pleistocene)","Poorly consolidated and deeply weathered clay, silt, sand, and gravel contain abundant fossil fauna and flora.  Restricted to terraces along eastern margin of Tomales Bay, where formation is as much as 30 m thick.  Deposited in alluvial to estuarine environments during Pleistocene time.  Dating by thermoluminescence methods yields an age of 134 ± 12 ka (middle Pleistocene) (G.W. Berger, pers. commun., 1994, in Grove and others, 1995)."
Qoc,"Olema Creek Formation (Pleistocene), estuarine and alluvial sand, gravel, silt, and clay",,"Olema Creek Formation (Pleistocene), estuarine and alluvial sand, gravel, silt, and clay","Granitic sand and gravel is interbedded with organic-rich mud and peat.  Exposed south of Tomales Bay, where formation is as much as 170 m thick (Grove and others, 1995).  Interbedded estuarine and alluvial sediments were deposited on a coastal plain near a bay head during Pleistocene time (Grove and others, 1995).  Thermoluminescence dating yields an age of 132 ± 28 ka (middle Pleistocene) (G.W. Berger in Grove and others, 1995), suggesting that this formation was deposited at about the same time as the Millerton Formation."
KJf,"Graywacke, shale, conglomerate, chert, and serpentinite, Franciscan complex (Jurassic and Cretaceous)",Franciscan Complex,,"Sheared shale and sandstone contains hard tectonic inclusions predominantly of greenstone, chert, and graywacke and variably resistant masses of graywacke, greenstone, and serpentinite (Blake and others, 1974).  This sheared rock or melange that crops out east of Tomales Bay is assigned to the Central tectonostratigraphic terrane of Blake and others (1984) of Late Jurassic and Early Cretaceous age (Wahrhaftig and Wakabayashi, in Wahrhaftig and Sloan, 1989).  Graywacke and interbedded shale with minor conglomerate of the San Bruno Mountain terrane form Bolinas Ridge southeast of Point Reyes Station.  East of Point Reyes Station this sandstone and shale locally has been hydrothermally altered (Blake and others, 1974). Limestone is present at Olema, indicating that the Franciscan in this area belongs to the Permanente terrane."
Twg,"Marine sandstone and conglomerate, Wilson Grove Formation (upper Miocene to Pliocene)",,"Marine sandstone and conglomerate, Wilson Grove Formation (upper Miocene to Pliocene)","Light-gray, fine-to very-fine-grained sandstone with thin pebble conglomerate lenses and coarse- to very-coarse-grained sandstone that is locally pebbly and forms resistant outcrops are mostly marine. Correlation of an interbedded tuff 15 km northeast of map area indicates an age of 6.26 ± 0.38 Ma (late Miocene) (A. M. Sarna-Wojcicki, written commun., 1997)."
Qt,Terrace deposits (Pleistocene),,,"Discontinuous deposits of weakly consolidated and variably sorted sand, silt, and gravel deposited on stream- and wave-cut surfaces.  South of Olema fluvial cut- and fill-terrace deposits occur at three topographic levels (Grove and others, 1995).  Deposits on the coastal terrace at Bolinas Mesa 40-60 m above sea level are less than a meter to more than 15 m thick, whereas southeast of Limantour Spit, where this terrace reaches sea level, these deposits are as much as 30 m thick and consist largely of subangular gravel of Monterey porcelanite and chert.  Galloway (1977) correlates this coastal terrace with the lowest uplifted marine terrace(s) in the Santa Cruz Mountains, now dated at 81 to 105 ka (late Pleistocene) (DuprŽ, 1991). West of Drakes Estero, a terrace surface at elevations of 76-90 m is veneered by poorly-indurated gravels and pebbly sands (Minard, 1971) and probably formed during the 320 ka highstand (Lajoie, 1996).  Scattered coastal terrace deposits east of Drakes Bay at elevations of about 98, 146, and 207 m were deposited on earlier Pleistocene wave-cut surfaces that subsequently have been dissected by erosion."
Qod,Older dune deposits (Pleistocene),,,"Weakly consolidated, laminated and locally cross-bedded, reddish-brown, well sorted, medium- to coarse-grained sand crops out discontinuously in the sea cliffs from Point Reyes to McClures Beach and in isolated exposures at Tomales Point.  These beds, which locally are as thick as 30 m, reach a maximum elevation of 60 m above McClures Beach, and are probably of Pleistocene age.  These sands are believed to be eolian, as postulated by Minard (1971), rather than beach sands, as suggested by Cooper (1967) and followed by Galloway (1977)."
Qls,Landslide deposits (Pleistocene and Holocene),,,"Only the larger slides in the vicinity of Double Point and at Bolinas are shown, where they consist mainly of intact to highly disrupted masses of Santa Cruz Mudstone.  Deposits range in age from late Pleistocene (about 12,000 to 10,000 yr. B.P.; Rypins and others, 1989) to Holocene.  For detailed mapping of landslide deposits see Wentworth and Frizzell, 1975."
Qal,Alluvium (Holocene),,,"Poorly consolidated, poorly sorted clay, silt, sand, and gravel usually fill stream and valley floors.  South of Point Reyes Station is as thick as 35 m (Wagner, 1977)."
Qd,Dune sands (Holocene),,,"Unconsolidated well-sorted, fine- to medium-grained sand. Nearly continuous belt of dunes occurs just east of the beach that extends for 11 miles north of Point Reyes.  The active dunes at Dillon Beach north of Tomales Bay consist of trapped sediment moved inland by wind action (Cassa, 1990)."
Qs,Beach sands (Holocene),,,"Discontinuous accumulations of well- to moderately-sorted, fine- to coarse-grained loose sand locally are interspersed with pebble to boulder gravel."
H2O,Water,,,
