code,title,grouping,description
Tls,Sedimentary rocks of Little Sulphur Creek (Pliocene and (or) Miocene),,"Confined to a narrow band in the northeast part of the map area (Asti, The Geysers, and Jimtown quadrangles), this unit is composed of massive to distinctly bedded boulder to pebble conglomerate and breccia, lithic sandstone, siltstone, and mudstone.  Coarse clasts in places exceed 3 m in length and include varicolored chert, blueschist, graywacke, gabbro, serpentinite, diabase, and basalt, probably derived from surrounding Mesozoic rocks.  One clast of middle Miocene fossiliferous arkose has also been found (McLaughlin and Nilsen, 1982), but no similar rock is known from the surrounding area.  Freshwater ostracod and gastropod fossils have been reported from this unit, as have brackish or marine foraminifers, but none of these fossils provide good age control (Gealey, 1951; McNitt, 1968; McLaughlin and Nilsen, 1982).  A Miocene or younger whale vertebra has also been reported (McNitt, 1968), but given the partly nonmarine nature of the unit, it is possible that this fossil was reworked from an older unit, perhaps the same as the fossiliferous arkose clast.  McLaughlin and Nilsen (1982) interpreted this unit to have formed in a fault basin associated with a right step in the Maacama Fault Zone and suggested the unit was 3 Ma or younger based on the timing of initiation of San Andreas Fault system activity at this latitude.  However, it is possible that the fault basin was related to a pre-San Andreas structure.  Therefore, the age of the unit can only be constrained with confidence to post-date the middle Miocene age of the included arkose clast"
Tsa,"Andesite, Sonoma Volcanics (Pliocene and Miocene)",Sonoma Volcanic Complex,Plagioclase and plagioclase-hornblende porphyry andesite flow rock.  Also includes minor plagioclase-quartz porphyry dacite flow rock
Tsb,"Basalt, Sonoma Volcanics (Pliocene and Miocene)",Sonoma Volcanic Complex,Plagioclase porphyry basalt flow rock.  Also includes minor vesicular andesite flow rock and volcanoclastic conglomerate
Twg,Wilson Grove Formation (late Pliocene to late Miocene),,"Mostly massive or thick-bedded, buff-weathering, light-gray, fine-grained quartz-lithic arenite.  Also locally includes beds of mollusk- and gastropod- shell hash, pebble to boulder conglomerate, and tuff.  Fossils from the Wilson Grove Formation range in age from late Miocene to late Pliocene (C. Powell, oral commun.; Travis, 1952; Naidu, 1999).  The lower part of the unit overlies and is interbedded with late Miocene and early Pliocene basalt flow rock (Tb).  At least part of the Wilson Grove Formation is probably the marine equivalent of the estuarine sand and gravel of Cotati and the alluvial Petaluma Formation."
Twgt,"Tuff (late Miocene), Wilson Grove Formation",,"White, water-lain tuff and pumice breccia.  Informally named Roblar tuff by Sarna- Wojcicki (1992), this tuff has yielded K/Ar ages ranging from 5.68+0.68 to 6.26+0.1 (Bartow and others, 1973; Sarna-Wojcicki, 1976; Fox and others, 1985a)"
Tc,Sand and gravel of Cotati (Pliocene and late Miocene),,"Thick-bedded to massive, white quartz arenite, buff-weathering siltstone, and pebble conglomerate.  Coarse clasts include varicolored chert; gray or brown laminated chert; red, gray, and white quartz- and plagioclase-porphyry volcanics; black basalt; blueschist; graywacke; greenstone; quartz; and black hornfels.  Locally present within the sandstone beds are estuarine mollusk, crustacean, and gastropod fossils.  The laminated chert clasts may be derived from middle Miocene Monterey or Claremont Formation cherts (Fox, 1983), although the nearest outcrop of these units is several tens of kilometers to the southeast.  However, offset on the Hayward-Rodgers Creek/Healdsburg and the Hayward-Tolay/Petaluma River Faults have probably moved the sand and gravel of Cotati and Wilson Grove Formation about 60 km from the southeast since deposition of the sand and gravel of Cotati.  The sand and gravel of Cotati overlies and is interbedded with late Miocene and early Pliocene basalt flow rock (Tb), overlies the  rhyolite intrusive breccia of the Donnell Ranch volcanics of Youngman (1989; Tdb), and interfingers on the west with the marine Wilson Grove Formation.  The age of the sand and gravel of Cotati is not as well constrained as that of the Wilson Grove Formation, but must postdate the underlying Donnell Ranch volcanics (Tdb, about 9.3 Ma) and include the age of interlayered basalt (Tb, 4.26±0.27 Ma).  Because it interfingers with the Wilson Grove Formation, we consider the sand and gravel of Cotati to be the estuarine equivalent of at least part of the Wilson Grove Formation.  The sand and gravel of Cotati is probably also the estuarine equivalent of at least part of the alluvial Petaluma Formation.  The sand and gravel of Cotati is in places indistinguishable from the Petaluma Formation, although some beds may be distinguished by having estuarine fossils or by having small, very spherical pebbles in conglomerate.  Because the sand and gravel of Cotati is so similar in places to the Petaluma Formation, we have mapped the boundary between the two units at the Petaluma Valley Fault, which separates verifiable sand and gravel of Cotati outcrops from the main extent of Petaluma Formation.  However, the two formations probably interfingered during deposition, and therefore some of what is mapped herein as sand and gravel of Cotati might actually be Petaluma Formation"
Tp,Petaluma Formation (Pliocene and late Miocene),,"Only the northwesternmost part of the outcrop area of this formation is within the map area (Two Rock quadrangle), although oil-well data show that it extends under Santa Rosa Valley (D. Zigler, written commun.).  Gray weathering, brown and green pebble- and cobble- conglomerate, gritstone, lithic and quartz-lithic arenite, and mudstone.  Coarse clasts include varicolored chert, quartz- and plagioclase-porphyry rhyolite and andesite, vesicular andesite, laminated rhyolite, white tuff, basalt, quartz, graywacke, greenstone, and laminated chert.  Locally present within the sandstone and conglomerate are land-mammal fossils, and lacustrine and estuarine ostracods (Liniecki-Laporte and Anderson, 1988) have been found in the mudstone.  Mammalian fossils originally described as late Pliocene (Stirton, 1939) are now known to be late Miocene (late Hemphilian, McFadden, 1998).  However, early Pliocene mammalian fossils have been found elsewhere within the unit (early Blancan; Bartow and others, 1973; Davies, 1986).  East of the map area, the Petaluma Formation also includes a tuff bed correlated with Twgt (Sarna-Wojckici, 1976) and a layer of basalt flow rock dated at 8.52±0.18 Ma (Fox and others, 1985a).  The Petaluma Formation overlies and interfingers with the Donnell Ranch volcanics of Youngman (1989) at its base (Fox, 1983; Youngman, 1989) and is coeval with (and may interfinger with) the lower part of the Sonoma Volcanics at its top.  It is probably the nonmarine equivalent of the estuarine sand and gravel of Cotati and marine Wilson Grove Formation.  As described above, the sand and gravel of Cotati and the Petaluma Formation are in part indistinguishable, and strata that include estuarine ostracods that were previously mapped as Petaluma Formation would be considered by us to be interfingered sand and gravel of Cotati.  The Petaluma Formation lies mostly east of the Petaluma River Fault and has been offset about 35 km from the Wilson Grove and sand and gravel of Cotati west of the fault.  It has also been offset about 25 km by movement on the Rodgers Creek-Healdsburg Fault from its original depositional position"
Tp?,Possibly the Petaluma Formation (Pliocene and late Miocene),,"Only the northwesternmost part of the outcrop area of this formation is within the map area (Two Rock quadrangle), although oil-well data show that it extends under Santa Rosa Valley (D. Zigler, written commun.).  Gray weathering, brown and green pebble- and cobble- conglomerate, gritstone, lithic and quartz-lithic arenite, and mudstone.  Coarse clasts include varicolored chert, quartz- and plagioclase-porphyry rhyolite and andesite, vesicular andesite, laminated rhyolite, white tuff, basalt, quartz, graywacke, greenstone, and laminated chert.  Locally present within the sandstone and conglomerate are land-mammal fossils, and lacustrine and estuarine ostracods (Liniecki-Laporte and Anderson, 1988) have been found in the mudstone.  Mammalian fossils originally described as late Pliocene (Stirton, 1939) are now known to be late Miocene (late Hemphilian, McFadden, 1998).  However, early Pliocene mammalian fossils have been found elsewhere within the unit (early Blancan; Bartow and others, 1973; Davies, 1986).  East of the map area, the Petaluma Formation also includes a tuff bed correlated with Twgt (Sarna-Wojckici, 1976) and a layer of basalt flow rock dated at 8.52±0.18 Ma (Fox and others, 1985a).  The Petaluma Formation overlies and interfingers with the Donnell Ranch volcanics of Youngman (1989) at its base (Fox, 1983; Youngman, 1989) and is coeval with (and may interfinger with) the lower part of the Sonoma Volcanics at its top.  It is probably the nonmarine equivalent of the estuarine sand and gravel of Cotati and marine Wilson Grove Formation.  As described above, the sand and gravel of Cotati and the Petaluma Formation are in part indistinguishable, and strata that include estuarine ostracods that were previously mapped as Petaluma Formation would be considered by us to be interfingered sand and gravel of Cotati.  The Petaluma Formation lies mostly east of the Petaluma River Fault and has been offset about 35 km from the Wilson Grove and sand and gravel of Cotati west of the fault.  It has also been offset about 25 km by movement on the Rodgers Creek-Healdsburg Fault from its original depositional position"
Tb,Undivided basalt (Pliocene and Miocene),,"Black basalt, plagioclase porphyry basalt and andesite, and vesicular basalt and andesite flow rock.  In the map area, outcrops of Tb have yielded radiometric ages ranging from 4.26±0.27 Ma to 7.83±0.29 Ma (Fox and others, 1985a).  However, Tb also includes older basalt which is intruded by Tdb.  We correlate this older basalt with either an older part of the Donnell Ranch volcanics of Youngman (1989) or the about 12 Ma Burdell Mountain volcanics of Blake and others (2000; the nearest verified outcrop of Burdell Mountain volcanics is at Meecham Hill, Cotati quadrangle, just southeast of the map area)"
Tdb,"Donnell Ranch volcanics of Youngman, 1989 (Miocene)",,"Plagioclase-porphyry rhyolite pumice-tuff vent breccia.  This unit has yielded a K/Ar age of 9.36±0.38 Ma (A. Sarna-Wojcicki, written commun., 2000) and is correlated with the Donnell Ranch volcanics of Youngman (1989) and the volcanics of Berkeley Hills, southeast of the map area, based on similar age and composition.  It has been offset from these correlated volcanics by movement on the Hayward-Petaluma River and Hayward-Rodgers Creek-Healdsburg Faults"
TKfss,"Sandstone (late Eocene to Late Cretaceous, Maastrichtian), Franciscan Complex",Franciscan Complex ,"Mostly massive, brown-weathering, dark-green or gray, feldspathic and feldspathic-lithic wacke.  Sandstone in places contains detrital biotite and (or) large slate chips.  This unit also locally includes disrupted, thin-bedded sandstone and blue-gray weathering, greenish- gray or dark-gray shale or slate.  Structural disruption ranges from shearing evident in the fine-grained beds to dismemberment into lenses of sandstone (boudins) in a sheared shale matrix.  The zeolite mineral laumontite is visible in veins and shear zones throughout the unit.  This unit has yielded Paleocene and Eocene palynomorphs north of the map area (Bachman, 1978) and overlies middle Eocene to Late Cretaceous basalt and pelagic limestone (Bachman, 1978; Sliter, 1984).  The feldspathic-lithic part of the unit (not mapped separately) is lithologically indistinguishable from TKfs and parts of Kfss"
TKfgs,"Greenstone (middle Eocene to Late Cretaceous), Franciscan Complex",Franciscan Complex ,"Orange-red weathering greenstone derived from pillow and massive basalt and basalt breccia.  Original rock texture (pillows, bedding) well preserved.  Includes middle Eocene to Late Cretaceous (Campanian to Maastrichtian) pelagic limestone locally.  Depositionally underlies TKfss"
TKfs,"Sandstone (late Eocene to Late Cretaceous, Turonian), Franciscan Complex",Franciscan Complex ,"Mostly massive, brown- and orange-weathering, green to gray feldpathic-lithic wacke.  Contains detrital biotite and muscovite in places.  Locally includes disrupted thin beds of sandstone and dark-gray shale and slate.  Laumontite is visible in veins and shear zones in places.  This unit lacks known fossils and other stratigraphic control and is lithologically indistinguishable from TKfss and parts of Kfss"
Kfss,"Sandstone (Late Cretaceous, Turonian to Campanian), Franciscan Complex",Franciscan Complex ,"Massive to distinctly bedded, brown-weathering, green, gray, or white, feldspathic and feldspathic-lithic wacke.  In the Bodega Head quadrangle, this unit consists of distinctly bedded white and gray, K-feldspar- and biotite-bearing feldspathic wacke and dark-gray shale. Similar rocks south of the map area contain Late Cretaceous (Campanian) fossils (Bailey and others, 1964).  In the Lake Sonoma area (Warm Springs, Tombs Creek, and Bigfoot Mountain quadrangles), the unit consists of massive to distinctly bedded, buff-weathering, gray, K-feldspar- and biotite-bearing feldspathic-lithic wacke, pebbly wacke, and conglomerate, and dark-gray concretionary shale.  Coarse clasts include graywacke, shale, limestone (concretions, some fossiliferous), greenstone, and chert.  The unit in this area overlies chert and greenstone and has yielded a Late Cretaceous (Turonian) Inoceramus labiatus (Bailey and others, 1964).  Other than this fossil and the presence of chert, this unit is indistinguishable from TKfs and the feldspathic-lithic part of TKfss.  In the northeasternmost part of the area (Jimtown, Geyserville, Asti, The Geysers, and Highland Springs quadrangles), this unit is composed of distinctly bedded, brown-weathering, greenish-gray, muscovite- and K-feldspar-bearing feldspathic-lithic wacke and dark-gray, mica-bearing siltstone and slate.  The sandstone in this area has locally an incipient foliation (textural zone 2A of Jayko and others, 1986), bears muscovite instead of biotite, and has not yielded age-diagnostic fossils but is otherwise similar to the wacke near Lake Sonoma as well as TKfs and the feldspathic-lithic part of TKfss.  These rocks are mapped as Kfss because of their structural position east of Lake Sonoma"
Kfg,"Greenstone (Late(?) Cretaceous), Franciscan Complex",Franciscan Complex ,"Massive and pillowed greenstone, lacking evidence of metamorphism in hand sample, and minor chert.  This unit crops out in small lenses at the base of Late Cretaceous (Turonian) sandstone in the Lake Sonoma area"
Kfgwy,"Sandstone (Late and Early Cretaceous, Cenomanian and (or) late Albian), Franciscan Complex",Franciscan Complex ,"Thick-bedded, buff-weathering, gray lithic wacke and dark-gray shale.  The unit locally includes lenses of pebble and cobble conglomerate and pebbly sandstone and mudstone.  Coarse clasts include basalt, diabase, gabbro, andesite, varicolored chert, blueschist, and serpentinite.  This unit overlies Cenomanian or late Albian chert (KJfc), and similar sandstones in Marin and San Francisco Counties (south of the map area) have yielded both Cenomanian and Albian fossils.  This unit is distinguished from other Cretaceous Franciscan Complex sandstones by the large amount of lithic detritus and small amount of K-feldspar (0-6%).  It is similar in composition to coherent parts of KJfs, but differs by age and preserved depositional contact with chert"
KJfgcs,"Greenstone, chert, and sandstone (Cretaceous and Jurassic), Franciscan Complex",Franciscan Complex ,"Disrupted and interleaved graywacke (Kfgwy), chert (KJfc), and greenstone (Jfgs).  Individual rock bodies too small to show at map scale"
KJfc,"Chert (Cretaceous and Jurassic), Franciscan Complex",Franciscan Complex ,"Thin-bedded red chert with buff-weathering, dark-gray shale and slate partings.  Radiolarians from this unit range from Late or Early Cretaceous (Cenomanian or late Albian) to Middle Jurassic (Bajocian; Murchey and Jones, 1984)"
KJfgc,"Greenstone and chert (Cretaceous and Jurassic), Franciscan Complex",Franciscan Complex ,Disrupted and interleaved chert (KJfc) and greenstone (Jfgs).  Individual rock bodies too small and complicated to show at map scale.  Minor amounts of graywacke (Kfgwy) also present locally
KJfs,"Graywacke and mélange (Cretaceous and Jurassic), Franciscan Complex",Franciscan Complex ,"Massive to distinctly bedded, brown-, orange-, and white-weathering, green to gray, lithic wacke and dark-gray or black siltstone, shale, and slate, grading into mŽlange consisting of sheared argillite and graywacke matrix enclosing blocks and lenses of sedimentary, metamorphic, and volcanic rocks (see fsr below for a more complete description of mŽlange).  Because contacts between coherent graywacke and mŽlange are gradational (derived from different amounts of shearing) and because of the size and amount of cover in the map area, it was not possible in this study to differentiate everywhere between coherent graywacke and mŽlange.  Where observed, coherent graywacke masses within the unit are indicated by a green hachure, while large observed blocks that are too small to map at 1:100,000 scale are indicated by diamonds (high-grade) and triangles (low-grade), and structural bodies known to be comprised primarily of mŽlange are mapped separately (fsr).  Coherent graywacke bodies also locally include conglomerate, pebbly sandstone, and rare thin beds of red and white chert.  Coarse clasts include black chert, quartzite, hornfels, granite, rhyolite, lithic wacke, blueschist, greenstone, green chert, marble, amphibolite, and quartz-mica schist. In many places, the graywacke contains conspicuous large chips of black and green shale.  Coherent sedimentary rocks range from completely unfoliated to moderately foliated (Textural Zones 1-2A of Jayko and others, 1986). Late Jurassic (Tithonian) fossils have been found in both the coherent graywacke and the mŽlange matrix (Bailey and others, 1964; D.L. Jones, written commun.).  Interbedded chert from the Asti quadrangle has been sampled, but not yet processed for microfossils.  Interbedded chert in similar coherent graywacke in Marin County has yielded Late Jurassic to Early Cretaceous microfossils (Murchey and Jones, 1984).  Chert pebbles from conglomerate have yielded Late Triassic to Early Jurassic microfossils (Seiders and Blome, 1984).  Graywacke in this unit is distinguished from most other Franciscan Complex graywacke by its high lithic content.  It is similar in composition to Kfgwy but is significantly older, is in places more foliated, and lacks the depositionally underlying sequence of chert (KJfc) and greenstone (Jfgs)"
fsr,"Mélange, Franciscan Complex",Franciscan Complex ,"Sheared argillite, graywacke, and minor green tuff matrix enclosing blocks and lenses of graywacke, chert, metachert, greenstone, serpentinite, silica-carbonate rock, blueschist (metasediment and metabasalt), eclogite, amphibolite, limestone, and quartz-mica schist.  Enclosed blocks and lenses range in size from pebbles to several hundred meters.  The matrix graywacke has yielded Late Jurassic (Tithonian) fossils.  It is identical in age and composition to coherent graywacke in unit KJfs, and is probably derived from tectonic dismemberment of that unit.  High-grade blocks in the map area have yielded metamorphic ages of about 138-150 Ma (K/Ar; Kelley, 1982; Lee and others, 1964), similar to the age of Cazadero terrane blueschists.  Chert blocks from the map area have been sampled but not yet analyzed for microfossils.  Chert blocks in Marin County south of the map area are almost all similar to coherent chert of the Marin Headlands terrane (Murchey and Jones, 1984). Mélange blocks are probably derived from tectonic detachment of pieces of surrounding coherent Franciscan and Great Valley complex terranes."
fsr?,"Possibly mélange, Franciscan Complex",Franciscan Complex ,"Sheared argillite, graywacke, and minor green tuff matrix enclosing blocks and lenses of graywacke, chert, metachert, greenstone, serpentinite, silica-carbonate rock, blueschist (metasediment and metabasalt), eclogite, amphibolite, limestone, and quartz-mica schist.  Enclosed blocks and lenses range in size from pebbles to several hundred meters.  The matrix graywacke has yielded Late Jurassic (Tithonian) fossils.  It is identical in age and composition to coherent graywacke in unit KJfs, and is probably derived from tectonic dismemberment of that unit.  High-grade blocks in the map area have yielded metamorphic ages of about 138-150 Ma (K/Ar; Kelley, 1982; Lee and others, 1964), similar to the age of Cazadero terrane blueschists.  Chert blocks from the map area have been sampled but not yet analyzed for microfossils.  Chert blocks in Marin County south of the map area are almost all similar to coherent chert of the Marin Headlands terrane (Murchey and Jones, 1984). Mélange blocks are probably derived from tectonic detachment of pieces of surrounding coherent Franciscan and Great Valley complex terranes."
gs,"Greenstone block, Franciscan Complex Mélange",Franciscan Complex ,Includes massive and pillowed greenstone and basalt.  Also locally includes greenstone and basalt breccia and diabase
ch,"Chert block, Franciscan Complex Mélange",Franciscan Complex ,"Includes massive and thinly bedded red, green, and white chert and metachert"
gwy,"Graywacke block, Franciscan Complex Mélange",Franciscan Complex ,
m,"High-grade metamorphic rock block, Franciscan Complex Mélange",Franciscan Complex ,"Includes blueschist metabasalt and metasediment, amphibolite, eclogite, and quartz-mica schist"
sp,"Serpentinite block, Franciscan Complex Mélange",Franciscan Complex ,
Jfgs,"Greenstone (Jurassic), Franciscan Complex",Franciscan Complex ,"Massive and pillowed basalt metamorphosed to greenstone.  Amygdaloidal in places. Geochemical analysis suggests that these rocks originated as MORB, and paleomagnetic analysis suggests a near equatorial origin (Hagstrum and Murchey, 1993).  This unit depositionally underlies chert (KJfc), and therefore predates Middle Jurassic chert deposition."
KJfm,"Metagraywacke (Cretaceous and Jurassic), Franciscan Complex",Franciscan Complex ,"Blueschist facies metagraywacke.  In the map area, this unit mostly consists of brown-weathering, blue, schistose (textural zone 2B-3A of Jayko and others, 1986), white- mica- and glaucophane-bearing metagraywacke.  These rocks crop out both as a large coherent belt in the central part of the map area (the Skaggs Springs schist of Wakabayashi [1992b]), a much smaller coherent body in the Cazadero and Fort Ross quadrangles, and small slabs and lenses within mŽlange (fsr) in the Healdsburg, Jimtown, and Geyserville quadrangles.  The Skaggs Springs schist has yielded an Ar/Ar metamorphic age of about 141 Ma (Wakabayashi, 1999a).  This unit also includes the northernmost tip of a belt of brown- weathering, gray, foliated (textural zone 2A of Jayko and others, 1986), jadeite-bearing metagraywacke in the Two Rock quadrangle.  Similar jadeite-bearing metagraywacke elsewhere in the Coast Ranges has yielded radiometric metamorphic ages of 90-110 Ma (Wakabayashi, 1999a; Mattinson and Echevarria, 1980) and has yielded Late Jurassic (Tithonian) fossils"
KJfmg,"Metabasalt (Cretaceous and Jurassic), Franciscan Complex",Franciscan Complex ,"Blueschist facies metabasalt.  In the map area, this unit consists of medium-grade (Type III), blue and green, glaucophane-epidote-garnet-sphene-bearing, foliated metabasalt (the Ward Creek schist of Coleman and Lee, 1963) and lower grade (Type II), green, glaucophane-muscovite- lawsonite-sphene-bearing, nonfoliated metabasalt.  Type III metabasalt is interlayered with pink, green, brown, or blue metachert, dark-brown or bluish-black metashale and metaironstone, and white, aragonite-bearing metacarbonate.  The original textures (pillows, vesicles, amygdules) are generally preserved in Type II metabasalt, but are mostly obliterated in Type III.  The contact between Type II and III metabasalts is gradational.  In some structural blocks, Type II metabasalt grades into Type I greenstone, which lacks blueschist-facies metamorphic minerals, but Type III metabasalt does not crop out in those areas.  Structural blocks containing Type II and III metabasalt are indicated on the map by a black hachured pattern, whereas those blocks containing only Type I and II metabasalt are unhachured.  Geochemical analysis of the higher grade part of the unit suggests it was derived from a seamount (Coleman and Lee, 1963) that was subducted to a maximum depth of about 20 km (P=9.5-12 kb, T=360-380¡C; Maruyama and Liou, 1988; Moore and Blake, 1989; Oh, 1990; Oh and others, 1991).  Type III metashale has yielded K/Ar metamorphic ages of 130-135 Ma (Lee and others, 1964), and Ward Creek metabasalt (presumably Type III) has yielded an Ar/Ar metamorphic age of 142.6±0.5 Ma (Wakabayashi and Deino, 1989).  Other reported metamorphic ages for higher grade (type not specified) rocks of this unit are 135±7 Ma to 150±7.5 Ma (K/Ar; Coleman and Lanphere, 1971), 130-140 Ma (Ar/Ar, K/Ar; Wakabayashi, 1999a), and 133.1±6.7 to 153.6±7.7 Ma (K/Ar, Rb/Sr; Kelley, 1982)"
KJgv,"Sandstone, shale, and conglomerate (Early Cretaceous and Late Jurassic)",Great Valley Sequence,"Distinctly bedded, brown-weathering, dark-gray to white, biotite- and muscovite-lithic wacke and siltstone, dark-gray siltstone and shale, and pebble to boulder conglomerate.  Coarse clasts include quartz- and plagioclase-porphyry volcanics, granitic rocks, gray rhyolite tuff, and chert.  Sparse Late Jurassic (Tithonian) and Early Cretaceous (Valanginian) molluscan fossils have been found throughout the unit west of the Maacama Fault (Bailey and others, 1964; Travis, 1952; Christensen, 1973; Gealey, 1951), whereas east of the Maacama Fault the strata have yielded Early Cretaceous (Hauterivian-Barremian) fossils (McLaughlin and Ohlin, 1984; D.L Jones, written commun.)."
KJgvs,"Sandstone, siltstone, and shale (Early Cretaceous and Late Jurassic)",Great Valley Sequence,
