code,grouping,title,description,lithology
Qiao,,Older Intermediate alluvial fan deposits (late to middle Pleistocene),"Depositional surfaces that have been abandoned for many tens of thousands of years. Geomorphic surfaces are flat and smooth, with edges rounded by diffusive processes; incised >3 m by low-density channel networks in proximal fan environments; generally not present in distal fan environments. Strongly developed interlocking desert pavement, with moderately dark to dark varnish on clasts; locally degraded by diffusive or other processes. Underside of exposed clasts shows strong rubification. Av horizon may be thin or nonexistent in patches, where pavement has degraded and the Av horizon has been stripped, exposing the Bhorizon. Well-developed Btk or Btq horizon. Stage III to IV carbonate accumulation in K horizon. On aerial photographs appears mottled, with elongate, low to moderately low albedo patches of desert pavement dotted with high-albedo disturbed areas surrounding vegetation and rodent burrows, and cut by high-albedo active channels. Vegetation is moderately abundant and increases with elevation; maximum densities occur at the beveled edges of active channels and in disturbed areas",
Qiaog,,Older Intermediate alluvial fan grus deposits (late and middle Pleistocene),"Surface generally broader, with channel networks less dense than Qiayg. B horizon generally more developed than Qiayg (Bt). Carbonate accumulation in the K horizon is stage II to II+",
Qoa,,Old alluvial fan deposits (middle and early Pleistocene),"Poorly to moderately sorted fine sand to boulders; deposits have surfaces that have been abandoned for several hundred thousand years. Clasts mostly subangular to subrounded, coarsening uphill toward mountain fronts. Clasts on surface commonly include disaggregated pieces of the petrocalcic soil K horizon. Compact and cemented near surface. Commonly forms pale-colored, broad, round-topped, deeply dissected ridges (ballenas of Peterson, 1981) standing a few meters to tens of meters above active washes in the proximal alluvial fan environment; little or no remnant depositional geomorphology. Original upper soil  horizons are largely eroded, but locally younger soils may be superimposed directly on well-developed K horizon (calcium accumulation stage >= IV). These younger soils may include remnant desert pavement, with darkly varnished clasts and accompanying fragments of calcic K horizon at the surface, overlying a very thin or absent Bt horizon. Calcium accumulation in the K horizon stage >= IV and 2 to 6 m thick. In aerial photographs appears mottled, with moderate to low-albedo surfaces of degraded desert pavement and incipient soils interrupted by high-albedo patches of exposed petrocalcic horizon, where pavement or degraded pavement stones are mixed with exposed fragments of weathered, high-albedo petrocalcic horizon material. In general, these mottled areas are not extensive, forming somewhat isolated surfaces near mountain fronts. Moderately vegetated",
Qoag,,Old alluvial fan grus deposits (middle and early Pleistocene),"Coarse sandy deposits derived from granitic source that weathers to grus; texture and detrital composition similar to Qyaog. Upper parts of soil profile including Av and Bt horizons are commonly eroded, exposing K horizon. Calcic accumulation typically stage IV. More deeply incised than unit Qiag. Albedo generally high due to granitic parent material and abundant pedogenic carbonate",
QToa,,Extremely old Quaternary-Tertiary alluvial fan deposit (early Pleistocene and Pliocene),"Poorly to moderately sorted, boulder-bearing deposits composed of silt, sand, gravel, and cobbles; deposits have surfaces that have been abandoned for hundreds of thousands of years. Compact and locally cemented. Forms deeply dissected, rugged, terrain with little or no remnant depositional landforms. Paleocurrent trend and detrital provenance generally inconsistent with modern topography and drainage network. Several sets of paleosols commonly exposed in cross-cutting washes. Younger, superimposed, soil horizons locally present. Less consolidated and cemented than unit pc. Precise age generally not determined. Along the northwestern edge of the Newberry Mountains accordant, rounded ridgecrests are locally preserved and seem to be remnants of the original depositional top of the unit",
QToag,,Extremely old alluvial fan grus deposits (early Pleistocene to Tertiary),Coarse sandy deposits derived from granitic source that weathers to grus; texture and detrital composition similar to Qyaog,
Qaw,,Active wash deposit (latest Holocene),"Moderately to poorly sorted, fine sand to boulder gravel deposited by ephemeral streams that actively receive or have received sediments within the last few decades. Similar in character to unit Qaa but generally better sorted and stratified. Typically forms wider, longer, more gently sloping channels that drain small inter-fan valleys; thus flows more frequently than alluvial fan channels. Deposits loose and unconsolidated, easily disturbed. No soil development. As much as several meters of active sediments commonly have accumulated within the past few decades. Appears on aerial photographs as long, bright, somewhat sinuous features trending perpendicular to the base of distal fans. Recently active surfaces contain sparse vegetation, commonly including Smoke Tree (Dalea Spinosa) and Mesquite (Prosopis Pubescens). Channels active at decadal intervals are moderately vegetated on surfaces or with desert senna (Senna Armata), cheesebush (Hymenoclea salsola), and catsclaw (Acacia greggii var. arizonica).",
QawMR,,Active wash deposit (latest Holocene),"Active wash deposits that drain the Mojave River are designated QawMR to indicate Mojave River sediment and fluvial system. The Mojave River subunit is distinguished by predominance of grus with admixture of fine pebbles of quartzite and volcanic rocks. Sandy deposits occupy the broad channel of the Mojave River and are interbedded with muddy sediments in bordering floodplain areas. Willows, cottonwoods, and other phreatophytes are common, especially where fault zones or shallow bedrock force groundwater nearly to the land surface",
Qyw,,Young wash deposits (Holocene and latest Pleistocene),"Poorly to moderately sorted, mixed clastic sediment ranging from fine sand to boulders; deposits have surfaces that have been abandoned for several thousand years. Poorly cemented and poorly consolidated. Loose to slightly compact. Surfaces largely inactive, forming terraces above active wash surfaces. Vegetation commonly includes creosote bush (Larrea tridentata) and white bursage (Ambrosia dumosa), cheesebush (Hymenoclea salsola), ratany (Krameria parvifolia), Mormon tea (ephedra viridis) and rabbitbrush (Chrysothamnus nauseosus).",
QyvMR,,Young wash deposits (Holocene and latest Pleistocene),"Locally designated QywMR to indicate undivided young wash deposits of the Mojave River, which are grusy like Qywg, but also contain small pebbles of quartzite and volcanic rocks",
Qywy,,Younger young wash deposit (Holocene),"Wash deposits characterized by surfaces that have been abandoned or receive materials very infrequently. Commonly contains remnants of bar and swale topography. No desert pavement. Incipient to slightly dark varnish on clasts. Poorly developed soil, expressed as incipient to weak sandy Av horizon and weak Bw horizon; calcic horizon absent or stage I. Forms wide channels, concentrating drainage from, and roughly perpendicular to, local alluvial fan drainages. On aerial photographs appears as large areas of uniform, moderate albedo, with low-albedo speckling due to vegetation. Abundant vegetation. Rodent burrows are common, but less so than for Qyay. Unit is similar to Qyay, but occurs in washes in the inter-fan environment.",
Qywyg,,Younger young wash deposit (Holocene),"Qywyg is similar to Qywy, but consists of sediments containing abundant granules derived from granitic source rocks weathering to grus.",
QywyMR,,Younger young wash deposit (Holocene),"QywyMR indicates grusy Mojave River deposits. Deposits border the broad channel of the Mojave River, typically forming terraces 1.5 to 2 m higher than the active channel. Moderate plant cover commonly includes creosote bush (Larrea tridentata) and saltbush (Atriplex spp.)",
Qywo,,Older young wash deposits (Early Holocene and latest Pleistocene),"Wash deposits characterized by small patches of weakly to moderately developed desert pavement with slightly dark varnish. Av horizon 1 to 4 cm thick and typically somewhat sandy, weak Bw horizon and stage I to II calcic development in K horizon. Deposits are typically inset into intermediated deposits and incised by active channels. Surface has moderate to subdued bar-and-swale topography and shows an overall flattening, with desert pavement developing in swales. On aerial photographs, appears as moderate to moderately low albedo patches; intermediate alluvial deposits with slightly dark varnish may appear similar, but are cut by fewer actively incising channels. Moderately vegetated to well-vegetated. Dense biological soil crusts locally span several square meters. Very similar to Qyao, but occurs in washes in the inter-fan environment.",
QywoMR,,Older young wash deposits (Early Holocene and latest Pleistocene),"Locally designated QywoMR to indicate grusy Mojave River deposits. Forms wide plain extending from Daggett east to Newberry Springs and Manix Wash. Deposits exposed in banks of Mojave River include well-stratified, moderately sorted channel gravel, poorly sorted sandy crevasse splay deposits, muddy to finely sandy floodplain deposits, and muddy marsh deposits with organic materials and groundwater-discharge carbonate blebs. Surface of the plain is undulatory and has inverted topography, with high areas consisting of anastamosing former gravel-filled channels, which have been exposed by erosion of finer-grained sediments. Terraces locally inset about 1.5 m below top of unit apparently represent a slightly younger deposit",
Qiw,,Intermediate wash deposits (late and middle Pleistocene),"Poorly to moderately sorted fine sand to boulder gravel; deposits have surfaces that have been abandoned for tens to many tens of thousands of years. Clasts mostly subangular to subrounded, coarsening uphill toward mountain fronts. Deposits typically compact, but may be loose where bioturbated. Bar-and-swale topography replaced via diffusive processes with broad, flat, surfaces, that have light grey-brown to dark brown exposed clasts, depending on lithology and degree of varnish. Unit is similar to Qia, but occurs in washes in the inter-fan environment. Top of unit is incised by low to moderately dense channel networks; younger surfaces are locally inset along channel margin. Moderately to strongly developed desert pavement, with moderately dark to dark varnish. Underside of exposed clasts shows weak to strong rubification. Well-developed Av horizon (>5 cm thick), composed of silt, very fine sand, and clay, with 2–5 cm platy peds. Pavement, varnish, and Av horizon subdued to absent at altitudes above approximately 1,100 m; Bt horizon thicker and K horizon thinner at high elevation. Sparsely to moderately vegetated; abundance and species diversity increasing with elevation. Dominant species are creosote bush (Larrea tridentata) and white bursage (Ambrosia dumosa); also common are Mojave yucca (Yucca chidigera) and buckhorn cholla (Opuntia acanthocarpa var. coloradensis).",
QiwMR,,Intermediate wash deposits (late and middle Pleistocene),"Locally designated QiwMR to indicate grusy Mojave River deposits. Deposits occur in several locations north of the Mojave River, where deposit is uplifted and deformed by folds and minor thrust faults",
Qiwy,,Intermediate young wash deposits (late Pleistocene),"Depositional surfaces that have been abandoned for tens of thousands of years. Typically forms elongate, flat surfaces, abandoned and incised >2 m on all sides in inter-fan channelized wash settings, several centimeters or more in diffuse-runoff wash settings; younger surfaces are locally inset along channel margin. Moderately to strongly developed interlocking desert pavement with moderately dark to dark varnish on clasts. Underside of exposed clasts shows weak to strong rubification. Moderately to well developed Bt , Btk, or Btq horizon. Stage II to III+ carbonate accumulation in K horizon (locally may be as weak as stage I+ in areas of low carbonate influx). On aerial photographs appears as elongate, very low albedo patches of desert pavement cut by high-albedo active channels",
Qae,EOLIAN DEPOSITS,Active eolian sand deposits (latest Holocene),"Light to gray, pale-brown, moderately sorted to well-sorted fine to medium sand; moderately cross laminated, containing few clasts. Loose and subject to migration. Gently sloping topography; gradational contacts with neighboring units. No soil development. On aerial photography has high-albedo. Generally lacks vegetation, but some undifferentiated units low (<0.5 m) shrub mounds",
Qaed,,Active eolian sand dune deposits (latest Holocene),"Light to gray, palebrown, moderately sorted to well-sorted fine to medium sand. Similar to unit Qae, but has pronounced dune morphology",dune sand
Qaer,,Active eolian sand ramp deposits (latest Holocene),Ramp of inclined sand sheets or wedge-shaped sand deposits on windward or lee side of mountains or hills (climbing and falling dunes). Deposits typically occur near local sand sources such as playas or playa fringes,
Qaes,,Active eolian sand sheet deposits (latest Holocene),Silt and fine to coarse sand; forms sheets and low dunes covering gently inclined bedrock surfaces. Sand fills large cracks and joints on the bedrock surface allowing deep-rooted vegetation to develop. Located along the fringes of the Pisgah volcanic field. Sand-sheet veneer deposits are widespread and common through the map area but most are too thin and small to show. No soil development. High-albedo on aerial photography. Contacts with neighboring units are typically gradational,
Qye,,Young eolian sand deposits (Holocene and latest Pleistocene),"Pale brown, moderately sorted to well-sorted, fine- to medium-sand deposits. Moderately cross-laminated, containing few clasts. Loose to slightly compacted. Surfaces of deposits are typically inactive. On aerial photographs has slightly darker albedo than unit Qae. Sparsely vegetated",
Qyed,,Young eolian sand dune deposits (Holocene and latest Pleistocene),"Dune deposits, locally including coppice dunes. Commonly strongly cross-laminated. Steep, with lee and stoss slopes poorly to moderately well defined. Deposits are common on west side of Troy Lake, likely sourced locally from the Mojave River channel",dune sand
Qaea,MIXED EOLIAN AND ALLUVIAL DEPOSITS,Active mixed eolian and alluvial deposits (latest Holocene),"Active eolian sand interstratified with lenses of alluvial fan deposits. Lithologically and morphologically similar to unit Qae, mainly consisting of loose, fine to medium sand with faintly defined to well-defined, thin cross bedding. Alluvial channels indistinct; deposit mostly sand with sparse gravel. Forms broad, flat surfaces actively migrating via sediment transport. Generally found in distal fan environment. No soil development. Sparsely vegetated, mainly with grasses; generally lacks creosote bush (Larrea tridentata). Mainly restricted to areas east of Troy Lake and east of Pisgah basalt flow south of I–40. Gradational contacts with neighboring units",
Qaae,,Active mixed alluvial and eolian sand deposits (latest Holocene),"Active alluvial fan deposits interstratified with lesser amounts of eolian sand. Lithologically and morphologically similar to unit Qaa, mainly consisting of loose gravelly sand with faintly defined to well-defined thin bedding. Active deposition of eolian sand is secondary but present throughout deposit. Sparse coppice mounds and small dunes, locally producing hummocky terrain. No soil development. High-albedo on aerial photographs. Sparse vegetation, commonly creosote bush (Larrea tridentata) and white bursage (Ambrosia dumosa) on surfaces active only decadally. Contacts with neighboring units are typically gradational",
Qawe,,Active mixed wash and eolian sand deposits (latest Holocene),"Moderately sorted to well-sorted, fine to medium sand with lenses of coarser gravelly sand to cobbles deposited by alluvial processes. Actively receives or has received sediments within the last few decades. Similar in character to unit Qaae, but generally better sorted and stratified. Typically forms wider, longer, more gently sloping channels that drain small inter-fan valleys; thus flows more frequently than alluvial fan channels. Deposits loose and unconsolidated, easily disturbed. Coppice mounds and small dunes present, but not dominant depositional landforms. No soil development. Appears on aerial photographs as long, bright, somewhat sinuous features trending perpendicular to the base of distal fans. Recently active surfaces contain sparse vegetation, commonly including smoke tree (Dalea spinosa) and mesquite (Prosopis pubescens). Channels active at decadal intervals are moderately vegetated on surfaces or with desert senna (Senna armata), cheesebush (Hymenoclea salsola), and catsclaw (Acacia greggii var. arizonica). Contacts with neighboring units are typically gradational",
Qyea,,Young mixed eolian and alluvial deposits (Holocene and latest Pleistocene),"Young deposits of eolian sand interstratified with lenses of alluvial fan deposits. Lithologically and morphologically similar to unit Qye, mainly consisting of loose, fine to medium sand with faintly defined to well-defined, thin cross bedding; sparse gravel. Forms broad, undulating surfaces with indistinct bar-and-swale topography. Prone to surface modification by eolian sediment transport. Generally occurs in distal fan environment. Soil development absent to poorly developed. On aerial photographs appears slightly less bright than unit Qye. Sparsely vegetated, mainly with grasses; generally lacks creosote bush (Larrea tridentata). Gradational contacts with neighboring units",
Qyeay,,Younger young mixed eolian sand and alluvial deposits (Holocene),Deposit surfaces are abandoned or receive materials infrequently. Lithologically and morphologically similar to unit Qye with secondary alluvial deposits. Little or no soil development. Typically located southeast of playas in the map area,
Qyeag,,Young mixed eolian sand and alluvial grus deposits (Holocene),"Mixed deposits similar to unit Qyea, but containing coarse sand and pebbles derived from granitic rocks that weather to grus; granitic clasts and granules commonly litter surface",
Qyae,,Young mixed alluvial and eolian sand deposits (Holocene and latest Pleistocene),"Young alluvial fan deposits interstratified with lesser amounts of eolian sand. Lithologically and morphologically similar to unit Qya, consisting of loose to moderately compact gravelly sand with faintly defined to well-defined thin bedding. Forms broad, undulating surfaces with subdued bar-and-swale topography. Soil development absent to poorly developed, with sand Av horizon and Bw horizon. On aerial photographs appears slightly darker than Qae surfaces. Moderately vegetated, generally supporting creosote bush (Larrea tridentata) and white bursage (Ambrosia dumosa). Contacts with neighboring units are typically gradational",
Qyaey,,Younger young mixed alluvial and eolian sand deposits (Holocene),"Loose sand and gravelly sand. Soil development absent or incipient. Sandy Av horizon, if present, is 0.5–1 cm below active surface",
Qyaeg,,Young mixed alluvial grus and eolian sand deposits (Holocene),"Mixed deposits similar to unit Qyae, but containing coarse sand and pebbles derived from granitic rocks that weather to grus; granitic clasts and granules commonly litter surface",
Qywey,,Younger young mixed wash and eolian sand deposits (Holocene),"Poorly to moderately sorted mixed clastic sediment ranging from fine sand to boulders interstratified with lesser amounts of fine to medium, thinly bedded eolian sand deposits. Deposit surfaces have not received alluvial deposition for several thousand years. Typically forms wider, longer, more gently sloping units adjacent to channels that drain small inter-fan valleys. Loose and unconsolidated, easily disturbed. Forms broad, undulating surfaces with subdued bar-and-swale topography. Little or no soil development. Sandy Av horizon, if present, contains significant sand and is ½ to 1 cm below active surface, and can extend to depths of >10 cm. On aerial photographs appears slightly darker than unit Qawe; landforms are less distinct. Moderately vegetated, typically supporting creosote bush (Larrea tridentata) and white bursage (Ambrosia dumosa). Contacts with neighboring units are gradational",
Qyewy,,Young younger mixed eolian sand and wash deposits (Holocene),"Fine to medium sand with faintly visible to well-defined thin bedding, interstratified with lenses of moderately sorted coarse sand to cobbles. Loose; prone to surface modification by eolian sediment transport. Forms broad, undulating surfaces with indistinct bar-and-swale topography. Forms adjacent to wide channels roughly perpendicular to local alluvial fan drainages. Soil development absent to poorly developed. On aerial photographs appears slightly less bright than unit Qye. Sparsely vegetated, mainly with grasses; generally lacks creosote bush (Larrea tridentata). Gradational contacts with neighboring units",
Qyeao,,Older young mixed eolian sand and alluvial deposits (early Holocene and latest Pleistocene),No soil development to weak sandy Av horizon; poorly developed Bw typically with stage I calcic development. Located east of Mojave River in Cady Mountains,
Qyaeo,,Older young mixed alluvial and eolian sand deposits (early Holocene and latest Pleistocene),Moderately compact sand and gravelly sand. Soil development retarded compared to unit Qyao. Sandy Av horizon ~1 cm thick and 0.5–1 cm below the surface. May have Bw horizon. Surface has patches of incipient pavement with noninterlocking stones. Deposits are typically inset into intermediate deposits and incised by active deposits. On aerial photographs may appear slightly darker than unit Qyaey,
Qiea,,Intermediate mixed eolian sand and alluvial deposits (late and middle Pleistocene),"Moderately sorted to well-sorted sand with minor lenses of poorly sorted to moderately sorted silt, gravel, cobbles. Surface composed of moderately sorted to well-sorted sand with dispersed subangular to subrounded clasts that coarsen in size toward mountain fronts. Somewhat loose from accumulation of eolian sand. Alluvial deposition on surfaces abandoned for tens to many tens of thousands of years; flattened by diffusive processes and devoid of bar and swale topography. Partly incised by narrow channels, with younger surfaces inset into the edges. Moderately to weakly developed patches of noninterlocking desert pavement with slightly dark to moderately dark varnish on clasts and sand in the interstices between pavement stones. Moderately developed to well developed soil profile. Appears as elongate, moderate-albedo patches of sandy desert pavement cut by active channels. Moderately vegetated, typically supporting creosote bush (Larrea tridentata) and white bursage (Ambrosia dumosa). Contacts with neighboring units are typically gradational",
Qieay,,Younger Intermediate mixed eolian sand and alluvial deposits (latest Pleistocene),"Deposit surfaces abandoned by alluvial deposition for thousands of years. Typically incised by channels, >2 m in height in proximal fan environments, several centimeters in distal fan environments. Av horizon contains significant sand, has subdued peds, and is commonly 0.5 cm below the active surface. Well-developed, sandy Bw or Bwk horizon. Stage I+ to II+ carbonate accumulation in K horizon. Occurs in the northern Bristol Mountains, south of mesquite playa",
Qiae,,Intermediate mixed alluvial and eolian sand deposits (late to middle Pleistocene),"Intermediate alluvial fan deposits interstratified with  lesser amounts of eolian sand. Poorly to moderately sorted mixtures of silt, gravel, cobbles, and boulders, interstratified with moderately sorted to well-sorted sand. Outcrop surfaces light grey-brown, shade varying with sediment composition and thickness of varnish. Clasts mostly subangular to subrounded, and coarser toward mountain fronts. Typically compact, but can be somewhat loose from influx of eolian sand. Lithologically and morphologically similar to unit Qia, with the addition of eolian sand throughout deposit. Sparse coppice mounds and small dunes, locally producing hummocky terrain. Channel density is low to moderate, incised, with younger surfaces inset into the edges. Moderately developed to well-developed soil profile, with sandy Av, Bt and Btk. Calcic accumulation in the K horizon stage I+ to IV. Highalbedo on aerial photographs. Moderately vegetated, generally supporting creosote bush (Larrea tridentata) and white bursage (Ambrosia dumosa). Contacts with neighboring units are typically gradational.",
Qiaey,,Younger Intermediate mixed alluvial and eolian deposits (late Pleistocene),"Characterized by surfaces abandoned for tens of thousands of years; flattened by diffusive processes and devoid of bar and swale topography. Moderately to weakly developed, noninterlocking desert pavement with slightly dark to moderately dark varnish on clasts and sand in the interstices between pavement stones. Forms flat smooth surfaces, incised by narrow channels that are often partly filled with eolian sand. Moderately developed to well-developed, sandy Av horizon (>5 cm thick), commonly 0.5 cm below the active surface, has weak peds and is composed of fine sand, silt, and clay. Moderately developed, sandy Bt or Btk horizon. Stage I+ to II+ calcic accumulation in K horizon. On aerial photographs appears as elongate, moderately low to moderate albedo patches of sandy desert pavement cut by high-albedo active channels",
