code,grouping,title,description,lithology
Qia,ALLUVIAL DEPOSITS,Intermediate alluvial fan deposit (late to middle Pleistocene),"Poorly sorted, sandy gravel alluvial fan deposits characterized by surfaces abandoned for tens of thousands of years. Compact. Characterized by moderately developed to well-developed desert pavement with moderate to strong varnish on clasts and flat smooth surface that is partly incised by narrow channels. Well-developed platy 4 to 10 cm thick Av horizon composed of silt, very fine sand, and clay. Moderate to strongly developed Bt horizon and Stage I+ to III+ calcic horizon. Pavement, varnish, and Av horizon subdued to absent at high altitudes (above approximately 1,100 m); Bt horizon typically thicker at high altitude; calcic horizon is thin. Very sparsely vegetated on flat surfaces with creosote bush, white bursage, and Mojave yucca (Yucca schidigera), more densely vegetated along rounded transitions to incised areas. Moderately vegetated at high altitude with Mojave yucca, blackbrush (Coleogyne ramosissima), and Joshua tree (Yucca brevifolia)",
Qiad,ALLUVIAL DEPOSITS,Intermediate alluvial fan composed of debris-flow deposits (late to middle Pleistocene),"Alluvial fan made up predominately of debris-flow deposits of bouldery, matrix-supported material. Mapped only where determined from field study",
Qiag,ALLUVIAL DEPOSITS,Intermediate alluvial fan deposit composed of grus (late to middle Pleistocene),Alluvial fan made up of clasts from granitic source that weathers to grus; surface commonly is poorly developed with weak to no pavement and Av horizon; Bt horizon is well developed; calcic horizon ranges from stage II to III+ and may be 2 to 3 m below the surface,
Qiao,ALLUVIAL DEPOSITS,Older intermediate alluvial fan deposit (late to middle Pleistocene),Older intermediate alluvial deposits. Surface expression of two main types: degraded pavement including exposure of the Av below disaggregated pavement clasts or in the presence of a moderately developed intact pavement; Btk horizons thinner than for younger Qia deposits to nearly absent. Both types have extreme rounding of incised edges. Stage II+ to IV- calcic horizon. Moderately vegetated with similar assemblages as unit Qia but may be more dense. Mapp,
Qiaog,ALLUVIAL DEPOSITS,Older intermediate alluvial fan deposit composed of grus (late to middle Pleistocene),Older intermediate deposits made up of clasts from granitic sources that weather to grus; degraded weak pavements having moderate- to well-developed Av horizon and well-developed Bt horizon with stage III calcic development. Mapped only where determined from field study,
Qoa,ALLUVIAL DEPOSITS,Old alluvial fan deposit (middle to early Pleistocene),"Alluvial fan deposits characterized by degraded remnants of abandoned surfaces forming bouldery ridges, or ballenas, after Peterson (1981). Poorly sorted sand and gravel, compact to well cemented. Commonly forms pale-colored ballenas above active washes in upper parts of alluvial fans near mountain fronts or rounded, deeply dissected terrain with little or no remnant depositional geomorphology; extends a few meters to tens of meters higher than surrounding surfaces. Most upper soil horizons stripped off by erosion but commonly superimposed with younger deposits on the petrocalcic horizon. In places may have remnant varnished pavement clasts at the surface, including disaggregated pieces of calcic horizon and a very thin or absent Bt horizon suggesting the surface once had pavement characteristics that have since degraded. Stage IV and greater calcic horizons 2 to 6 m thick. Moderately vegetated. The 0.74 Ma Bishop Tuff is deposited in lower part of the unit in the western Providence Mountains (McDonald and others, 1995) and is the only age control in the map area",
Qoad,ALLUVIAL DEPOSITS,Old alluvial fan composed of debris flow deposits (middle to early Pleistocene),"Old alluvial deposits dominated by debris flows of bouldery, matrix-supported material. Mapped only where determined from field study; deposits are much more widespread than shown",
Qoag,ALLUVIAL DEPOSITS,Old alluvial fan deposit composed of grus (middle to early Pleistocene),Old alluvial fan made up of clasts from granitic source that weather to grus; surface commonly modified by overland flow and lacks Av horizon; Bt horizon rarely remains. Contains pronounced stage III+ to IV+ calcic horizon. Typically deeply incised and rounded with moderate vegetation,
QToa,ALLUVIAL DEPOSITS,Extremely old alluvial fan deposit (early Pleistocene to Pliocene),"Alluvial fan deposits characterized by complete lack of original landform and general lack of soil horizons at the surface. Poorly sorted compact bouldery gravel and sand. Forms deeply dissected terrain with little or no remnant depositional geomorphology. Deposits generally did not form in present topography, as indicated by source directions or clast composition. Younger, superimposed, soil horizons locally developed and may have several sets of paleosols exposed in wash-cut profiles. Moderately to well vegetated. Between Lava Hills and Bristol Mountains, commonly contains thick calcic horizons and is distinguished from unit Qoa by generally deeper dissection and presence of abundant exotic rhyolite clasts",
Qaw,WASH DEPOSITS,Active wash deposit (Holocene),"Alluvial wash deposits characterized by surfaces and channels actively receiving sediments within the last few decades. Similar in character to unit Qaa but generally better sorted and bedded and deposited in larger, more frequently flowing integrated drainages. Composed of loose moderately to poorly sorted sand and gravel, moderately to poorly bedded. No soil development in active channels and little or no soil development, which may be expressed as accumulations of silt in the upper horizon, in terrace deposits. Commonly lacks vegetation on active channel surfaces and moderately vegetated on decadal- to centennial-scale surfaces with creosote bush, commonly cheesebush (Hymenoclea salsola), and smoke tree (Psorothamnus spinosus) at low altitudes. Surfaces are prone to flooding and sheet flow during intense or longlasting precipitation events. Mapped mainly where ephemeral stream flow is channelized; distributed stream flow generally mapped as active alluvial fan deposit (Qaa) or valley-axis deposits (Qav). Major washes include Fenner Valley, Kelso Valley, and Orange Blossom Wash",
Qawg,WASH DEPOSITS,Active wash deposit composed of grus (Holocene),Wash deposits made up of clasts from granitic source materials that weather to grus. Typically moderately sorted to well-sorted sand and gravel with decreased magnitude of inset relations,
Qyw,WASH DEPOSITS,Young wash deposit (Holocene and latest Pleistocene),"Largely inactive alluvial wash deposits in terraces above active wash surfaces. Composed of loose, moderately to poorly sorted, sand, gravel, cobbles and boulders commonly in close proximity to bedrock outcrops. Poorly to moderately bedded with common alternating beds of coarsegrained wash and fine-grained overbank sediments. Soil development typically consists of 1- to 3-cm-thick, incipient to weak, fine sand and silt Av, weak to moderate Bw to weak Bt horizons, and stage I calcic development. Microtopography ranges from 10 to 50 cm. Moderately vegetated, commonly with cheesebush and smoke tree at low elevations, creosote bush and white bursage at higher elevations. Generally forms terraces flanking active washes, approximately 50 to 100 cm above active wash. Smaller alluvial wash tracts of similar age and characteristics generally mapped as alluvial fan deposit (Qya), particularly where distributed across alluvial fans rather than in confined axial channel, but designation somewhat arbitrary",
Qywg,WASH DEPOSITS,Young wash deposit composed of grus (Holocene and latest Pleistocene),Wash deposits made up of clasts from granitic source that weathers to grus. Soils more immature than Qyw; pavements and moderately developed Av horizon rare. Surface undulating and smooth with decreased magnitude of channel dissection compared to unit Qyw,
Qiw,WASH DEPOSITS,Intermediate wash deposit (late to middle Pleistocene),"Inactive remnant alluvial wash sediments generally forming high terraces along edges of major washes. Moderately sorted to well-sorted, well-bedded sand and gravel. Soil development similar to that for unit Qia. Sparsely vegetated. Smaller alluvial-wash tracts generally designated alluvial fan deposit (Qia)",
Qae,EOLIAN DEPOSITS,Active eolian sand deposit (Holocene),"Eolian sand deposits that are active and subject to migration. Composed of loose, moderately sorted to well-sorted sand. Generally lack vegetation but may be inhabited by grasses such as galleta (Hilaria rigida) or ricegrass (Oryzopsis hymenoides). Most active eolian sand deposits lie within Devils Playground from south of Soda Lake to Kelso Dunes, where they are derived from Mojave River flood materials. Deposits also lie on lee side of large wash systems such as Fenner wash where fine-grained wash materials are mobilized",
Qaed,EOLIAN DEPOSITS,Active eolian sand dune deposit (Holocene),"Dune deposits, commonly steep and well bedded, with corresponding steep slip faces",
Qye,EOLIAN DEPOSITS,Young eolian sand deposit (Holocene and latest Pleistocene),"Eolian sand deposits that are generally inactive. Loose, well-sorted to moderately well sorted, moderately to weakly bedded, fine to medium grained sand. Sparsely vegetated, typically with perennial or annual grasses and, less commonly, with shrubs. Little or no soil development. Dated in Kelso Dunes area as general pulses of eolian sand deposition from 8 to 10, 3.5 to 3.7, and 0.5 to 1.5 ka (Clarke, 1994; Lancaster, 1995). Subdivided into sand dune, sand ramp, and sand sheet deposits",
Qyed,EOLIAN DEPOSITS,Young eolian sand dune deposit (Holocene and latest Pleistocene),"Dune deposits. Commonly steep and well bedded, with corresponding steep slip faces",dune sand
Qyer,EOLIAN DEPOSITS,Young eolian sand ramp deposit (Holocene and latest Pleistocene),Ramp deposits generally on inclined surface over bedrock. Weak to moderately bedded. May be wellsorted to poorly sorted based on mixing with colluvial materials from upper slopes,
Qyes,EOLIAN DEPOSITS,Young eolian sand sheet deposit (Holocene and latest Pleistocene),Well-sorted to moderately sorted sand-sheet deposits generally forming subhorizontal surface over unconsolidated deposits,
Qie,EOLIAN DEPOSITS,Intermediate eolian sand deposit (late to middle Pleistocene),"Eolian sand sediments that are generally inactive, characterized by one or more Bt horizons and calcic horizons. Surface very flat and moderately compact. Sparsely vegetated",
Qyea,MIXED EOLIAN AND ALLUVIAL DEPOSITS,Young mixed eolian sand and alluvial deposit (Holocene and latest Pleistocene),"Eolian and alluvial sediments that are thoroughly mixed, with eolian processes dominant. Deposit predominately loose, mixed sand with sparse gravel in interfingering, layered, or thoroughly mixed beds. Little or no soil development. Forms broad, flat surfaces with alluvial channels muted or invisible. Sparsely vegetated, generally with grasses dominant and commonly no creosote bush",
Qyae,MIXED EOLIAN AND ALLUVIAL DEPOSITS,Young mixed alluvial and eolian sand deposit (Holocene and latest Pleistocene),"Alluvial and eolian sediments that are thoroughly mixed, with alluvial processes dominant. Loose, gravelly sand with vague to well-defined, thin bedding. Little or no soil development. Forms flatter surfaces than alluvial systems lacking significant eolian sand, because eolian sand additions mute topography. Sparsely vegetated with grasses and shrubs, generally supporting creosote bush communities. Contacts with deposits of Qyea and Qya are gradational",
Qiea,MIXED EOLIAN AND ALLUVIAL DEPOSITS,Intermediate mixed eolian sand and alluvial deposit (late to middle Pleistocene),"Eolian sand and alluvial deposits that are thoroughly mixed, with eolian processes dominant. Exhibits inconsistently developed surface pavement and Bt and calcic horizons. Forms moderately compact, very flat surfaces with sparse vegetation. Contacts with deposits of units Qia and Qiae or Qiea gradational over tens to hundreds of meters",
Qiae,MIXED EOLIAN AND ALLUVIAL DEPOSITS,Intermediate mixed alluvial and eolian sand deposit (late to middle Pleistocene),"Alluvial and eolian sand sediments that are thoroughly mixed, with alluvial processes dominant. Gravelly sand with vague to well-defined, thin bedding. Exhibits inconsistently developed surface pavement and Bt and calcic horizons. Forms moderately compact, flat surfaces with sparse vegetation. Contacts with units Qia and Qiae or Qiea gradational over tens to hundreds of meters",
Qyp,PLAYA DEPOSITS,Young playa deposit (Holocene and late Pleistocene),"Playa deposits that are rarely flooded. Composed of moderately sorted to well-sorted silt and clay, commonly compact. Generally flat to very gently undulating and lacks vegetation. In Bristol Lake, age determinations are difficult due to disturbance and diversion of flow from mineral mining operations; deposit may be mostly active",
Qypf,PLAYA DEPOSITS,Young playa fringe deposit (Holocene and latest Pleistocene),"Playa fringe deposits of complexly mixed eolian, lacustrine, playa, alluvial, and groundwater discharge origins. Forms low-gradient surface that is moderately well vegetated by grasses with sparse creosote bush",
Qav,AXIAL VALLEY DEPOSITS,Active valley-axis deposit (Holocene),"Fine-grained deposits in valley axes characterized by anastomosing washes, diffuse interfluves, and complexly interfingering wash and eolian sediments. Composed of loose, moderately to poorly sorted, fine gravel, sand, silt, and clay. Active channels typically lack vegetation; older terraces commonly inhabited by moderately dense vegetation such as creosote bush, white bursage, cheesebush, smoke tree, and annual grasses. Areas with increased eolian activity may be inhabited by perennial plants such as desert trumpet (Eriogonum inflatum), grasses such as galleta, and annuals such as skeleton weed (Eriogonum deflexum). Contacts with active wash and fan deposits commonly gradational and somewhat arbitrary. Surfaces are prone to flooding and sheet flow during intense or long-lasting precipitation events",
Qyv,AXIAL VALLEY DEPOSITS,Young valley-axis deposit (Holocene and latest Pleistocene),"Fine-grained deposits in largely inactive valley-axis locations characterized by anastomosing washes, gentle interfluves, and complexly interfingering eolian sediments. Composed of loose, moderately to poorly sorted, sand, silt, and clay. Soil development similar to unit Qya. Moderately vegetated with creosote bush communities, eolian-related grasses such as galleta, and desert trumpet in eolian-rich environments",
Qyvo,AXIAL VALLEY DEPOSITS,Older young valley-axis deposit (Holocene and latest Pleistocene),"Older valley-axis deposits characterized by moderately developed Bt and Av horizons. Deposits located locally under parts of Kelso Dunes, as observed by the authors of this report and Yeend and others (1984)",
Qyg,GROUNDWATER DISCHARGE DEPOSITS,Young groundwater discharge deposit (Holocene and latest Pleistocene),"Silt and fine sand in zones of former groundwater discharge. Commonly forms light-colored, flat areas or dissected badlands. Loose to compact silt, fine sand, and calcium carbonate materials. Commonly exhibits capping, massive to punky, popcorn-like calcium carbonate in upper exposures above fine sand and silt with diffuse calcium carbonate throughout. Soil development similar to unit Qya, but horizons may be shallower in places due to effects of calcium carbonate and fine-grained materials. Soil development commonly more pronounced than in finer-grained unit Qya deposits and less developed in more massive carbonate exposures. Amount of vegetation depends on extent of calcium carbonate but is generally sparse. Dated at 9.5 to 10 ka near the town of Chambless (Shannon Mahan, written commun., 2003; see discussion), wetland deposits in lower Kelso Wash dated at 13 to 14 ka by IRSL (Shannon Mahan, written commun., 2000)",
Qha,HILLSLOPE DEPOSITS,Abundant hillslope deposits (Holocene and Pleistocene),"Hillslope materials such as colluvium, talus, weathering products, and landslide deposits; disaggregated cover more abundant than rock exposure. Generally less than 2 m thick or patchy distribution with small fraction of area covered by deposits thicker than 2 m",
Qhs,HILLSLOPE DEPOSITS,Sparse hillslope deposits (Holocene and Pleistocene),"Hillslope materials such as colluvium, talus, weathering products, and landslide deposits; disaggregated cover less abundant than rock exposure. Generally less than 2 m thick and patchy distribution",
Qmc,MASS-WASTING COLLUVIAL DEPOSITS,"Mass-movement colluvial deposits, undivided (Holocene and Pleistocene)",Colluvial materials thicker than 2 m covering a wide area; age undetermined. Rocky and poorly sorted. Soil development ranges from weak to strongly developed Bt and calcic horizons. Locally subdivided by age,colluvium
Qymc,MASS-WASTING COLLUVIAL DEPOSITS,Young mass-movement colluvial deposits (Holocene),Colluvial materials thicker than 2 m and covering a wide area. Rocky and poorly sorted. Little pedogenic soil development,colluvium
Qimc,MASS-WASTING COLLUVIAL DEPOSITS,Intermediate mass-movement colluvial deposits (Pleistocene),Colluvial materials thicker than 2 m and covering a wide area. Rocky and poorly sorted; strongly developed Bt horizon; generally strongly varnished. Local development of Stage II to III pedogenic calcic horizon,colluvium
Qpv,PEDIMENT SURFACES,Veneered pediment,"Fairly smooth veneer of sediment commonly alluvial in nature, generally less than 2 m thick on the pediment surface; soil development variable depending on the age of sediment. Mapped where bedrock is exposed in small knolls, road cuts, or washes. Thicker deposits on pediments south of Granite Mountains mapped as Qiag+Qpv, showing thin Qiag deposited on the pediment surface",
Qpi,PEDIMENT SURFACES,Incised pediment,Incised pediment with most of the surface expressed as flat surfaces of bare rock with patchy cover of veneer and one to several-meters-deep channels cut into rock that transport eroded sediment through the pediment,
Qpd,PEDIMENT SURFACES,Deeply dissected pediment,Deeply dissected pediment identified by similar heights of isolated bedrock pinnacles and tors 3 m to tens of meters high; may be as much as 1 km2 in areal extent in the southern Granite Mountains. Area between pinnacles may be covered with sediment or nearly bare rock,
Qmv,VOLCANIC ROCKS,Mafic volcanic rocks (Quaternary),"Ejecta and lava flows of mafic volcanic rocks; chiefly basaltic rocks at Amboy Crater. Consists mainly of cinder cones with subordinate lava flows (Parker, 1963). Dated at 79 ka at Amboy Crater (Phillips, 2003)",
QTmv,VOLCANIC ROCKS,Mafic volcanic rocks (Quaternary to Tertiary),Ejecta and lava flows of mafic volcanic rocks. Age unknown,
pc,,Partly consolidated deposits and rocks,"Moderately to weakly consolidated sedimentary deposits locally include volcanic rocks or highly altered rocks. May form badland topography. Weathered materials include common silt and clay. Typically Tertiary in age. North of the town of Amboy contains the 4.83 Ma Lawlor Tuff (A.M. SarnaWojcicki, written commun., 2003) interbedded with lacustrine sediments and alluvial fan gravels. General unit may be mapped as QToa by some authors in parts of the map",
mv,,Mafic volcanic rocks,"Volcanic rocks less than about 68 percent SiO2, such as dacite, andesite, and basalt. Includes flows and ejecta. Weathered materials include common clay. Alluvial fans with mafic volcanic source commonly very bouldery",
fv,,Felsic volcanic rocks,"Volcanic rocks greater than about 68 percent SiO2, such as rhyolite, rhyodacite, and felsite. Includes flows and ejecta. Weathered materials include quartz, feldspar, and clay",
mp,,Mafic plutonic rocks,"Plutonic rocks less than about 68 percent SiO2, such as gabbro, diorite, monzodiorite, syenite, and alkalic rocks. Weathered materials chiefly feldspar, amphiboles, and micas",
fp,,Felsic plutonic rocks,"Plutonic rocks greater than about 68 percent SiO2, such as granite and granodiorite",
fpg,,Felsic plutonic rocks that weather to produce grus,"Mostly Cretaceous in age. Weathered materials chiefly quartz, feldspar, and micas",
sl,,Siliciclastic rocks,"Silicic sedimentary and metamorphic rocks, such as sandstone, quartzite, shale, and siltstone. Weathered materials commonly quartz, silt, and clay",
mr,,Metamorphic rocks,"Metamorphic rocks of complexly mixed lithology, such as gneiss, migmatite, and structurally mixed rocks. Weathered materials variable",
ca,,Carbonate rocks,"Carbonate-mineral rocks such as marble, dolomite, and limestone. Weathered materials include common silt",
