code,title,description
Qar,"Aromas Sand, undivided (Pleistocene)","Heterogeneous sequence of mainly eolian and fluvial sand, silt, clay, and gravel. Several angular unconformities present in unit, with older deposits more complexly jointed, folded, and faulted than younger deposits. Total thickness may be more than 800 ft. Locally divided into:"
Qae,"Aromas Sand, undivided (Pleistocene) Eolian lithofacies","Moderately well sorted eolian sand. Highly variable degree of consolidation owing to differential weathering. May be as much as 200 ft thick without intervening fluvial deposits. Several sequences may be present, separated by paleosols. Upper 10 to 20 ft of each dune sequence is oxidized and relatively indurated, with all primary structures destroyed by weathering. Lower part of each dune sequence below weathering zone may be essentially unconsolidated"
Qaf,"Aromas Sand, undivided (Pleistocene) Fluvial lithofacies","Semiconsolidated, heterogeneous, moderately to poorly sorted silty, clay, silt, sand, and gravel. Deposited by meandering and braided streams. Includes beds of relatively well sorted gravel ranging from 10 to 20 ft thick. Clay and silty clay layers, locally as much as 2 ft thick, occur in unit. Locally includes buried soils, high in expansive clays, as much as 14 ft thick"
QTc,"Continental deposits, undifferentiated (Pleistocene and Pliocene?)","Semiconsolidated, fine-grained, oxidized sand and silt. Generally underlie fluvial lithofacies of Aromas Sand (Qaf). May represent highly weathered eolian deposits formed on Purisima Formation. Thickness approximately 300 ft"
Tp,Purisima Formation (Pliocene and upper Miocene),"Very thick bedded yellowish-gray tuffaceous and diatomaceous siltstone containing thick interbeds of bluish-gray, semifriable, fine-grained andesitic sandstone. As shown, includes Santa Cruz Mudstone east of Scotts Valley and north of Santa Cruz. Thickness approximately 3,000 ft in the Corralitos Canyon area"
Tps,Predominantly massive sandstone,
Tsc,Santa Cruz Mudstone (upper Miocene),"Medium-to thick-bedded and faintly laminated, blocky-weathering, pale-yellowish-brown siliceous organic mudstone. As shown, includes Santa Margarita Sandstone along Glenwood syncline. Thickness at least 8,900 ft in the Texas Company Poletti well near Waddell Creek (Clark, 1981, p. 31)"
Tsm,Santa Margarita Sandstone (upper Miocene),"Very thick bedded to massive thickly crossbedded yellowish-gray to white friable granular medium-to fine-grained arkosic sandstone; locally calcareous and locally bituminous. Thickness 430 ft along Scotts Valley syncline (Clark, 1981, p. 25)"
Tm,Monterey Formation (middle Miocene),"Medium-to thick-bedded and laminated olive-gray to light-gray semisiliceous organic mudstone and sandy siltstone. Includes a few thick dolomite interbeds. Thickness about 2,675 ft on north limb of Scotts Valley syncline (Clark, 1981, p. 21)"
Tlo,Lompico Sandstone (middle Miocene),"Thick-bedded to massive yellowish-gray, medium- to fine-grained calcareous arkosic sandstone; locally friable. Maximum thickness 720 ft along Majors Creek (Clark, 1981, p. 18)"
Tla,Lambert Shale (lower Miocene),"Thin- to medium-bedded and faintly laminated olive-gray to dusky-yellowish-brown organic mudstone containing phosphatic laminae and lenses in lower part. Thickness about 1,500 ft along Mountain Charlie Gulch (Clark, 1981, p. 16)"
Tvq,Vaqueros Sandstone (lower Miocene and Oligocene),"Thick-bedded to massive yellowish-gray arkosic sandstone containing interbeds of olive-gray shale and mudstone. Thickness 4,500 ft along Bear Creek (Burchfiel, 1958)"
Tbs,Basalt (lower Miocene),"Spheroidal-weathering pillow basalt flows. Thickness as much as 200 ft along Zayante Road (Clark, 1981, p. 15)"
Tz,Zayante Sandstone (Oligocene),"Thick- to very thick-bedded, yellowish-orange arkosic sandstone containing thin interbeds of greenish and reddish siltstone and lenses and thick interbeds of pebble and cobble conglomerate. Thickness 1,800 ft along Lompico Creek (Clark, 1981, p. 14)"
Tsl,"San Lorenzo Formation, undivided (Oligocene and Eocene)",
Tsr,Rices Mudstone Member (Oligocene and Eocene),"Olive-gray mudstone and massive medium light-gray, very fine- to fine-grained arkosic sandstone; thick bed of glauconitic sandstone at base. Thickness 1,700 ft along Bear Creek (Brabb, 1964, p. 675)"
Tst,Twobar Shale Member (Eocene),"Very thin bedded and laminated olive-gray shale. Thickness 790 ft along Kings Creek (Brabb, 1964, p. 671)."
Tbu,Butano Sandstone (Eocene) Upper sandstone member,"Thin-bedded to very thick-bedded medium-gray, fine-to medium-grained arkosic sandstone containing thin interbeds of medium-gray siltstone. Thickness about 3,200 ft (Clark, 1981, p. 8)"
Tbm,Butano Sandstone (Eocene) Middle siltstone member,"Thin- to medium-bedded, nodular, olive-gray pyritic siltstone. Thickness about 700 ft (Clark, 1981, p. 8)"
Tbl,Butano Sandstone (Eocene) Lower sandstone member,"Very thick-bedded to massive, yellowish-gray, granular, medium- to coarse-grained arkosic sandstone. Thickness as much as 5,000 ft (Clark, 1981, p. 11)"
Tblc,Butano Sandstone (Eocene) Conglomerate,Thick to very thick interbeds of sandy pebble conglomerate in lower part of lower sandstone member
Tl,Locatelli Formation (Paleocene),"Nodular, olive-gray to pale yellowish-brown micaceous siltstone. Thickness 800-900 ft (Clark, 1981, p. 7)"
Tlss,Locatelli Formation (Paleocene) Sandstone,"Massive medium-gray, fine-to medium-grained arkosic sandstone locally at base. Maximum thickness 80 ft ;Clark, 1981, p. 7)"
Ts,Siltstone and sandstone (Pliocene and upper Miocene),"Very thick-bedded siltstone, sandstone, and minor conglomerate. Referred to the Etchegoin Formation by Dibblee and Brabb (1978) and to the Purisima Formation by Allen (1946), who indicated that it is nearly 10,000 ft thick. Only about 1,000 ft is exposed in Santa Cruz County"
Tmp,Shale of Mount Pajaro area (Miocene and Oligocene),"Medium- to thickbedded, laminated, olive-gray to brownish-black semisiliceous shale, mudstone, and less abundant medium-bedded, very pale orange sandstone, tuffaceous sandstone, limestone, and conglomerate. Minimum thickness 4,300 ft (Osbun, 1975, p. 1 75)"
Tmm,Sandstone of Mount Madonna area (Eocene?),"Mostly massive very pale-orange arkosic sandstone containing lesser amounts of brownish-black siliceous shale and mudstone. Thickness 1,300-2,250 ft (Simon), 1974, p. 45)"
Tms,Mudstone of Maymens Flat area (Eocene and Paleocene),"Massive dusky yellow-green and moderate red mudstone containing abundant planktonic foraminifers. In places, mudstone is glauconitic and sandy. Thickness 200-960 ft (Simoni), 1974, p. 36)"
Kgs,Shale and sandstone of Nibbs Knob area (Upper Cretaceous),"Medium- to thin-bedded and rhythmically interbedded, olive-black shale and olive-gray sandstone (graywacke). Minor thin conglomerate lenses. Thickness 1,100-1,900 ft (Simoni, 1974, p. 31)"
Kcg,Conglomerate (Upper Cretaceous),"Consists predominately of well-rounded pebbles and cobbles of porphyritic volcanic rocks. Thickness 150-1,120 ft (Simoni, 1974, p. 25)"
qd,Quartz diorite (Cretaceous),Grades to granodiorite south and east of Ben Lomond Mountain
ga,Granite and adamellite (Cretaceous),
gd,Gneissic granodiorite (Cretaceous),
hcg,Hornblende-cummingtonite gabbro (Cretaceous),
sch,Metasedimentary rocks (Mesozoic or Paleozoic),Mainly pelitic schist and quartzite
m,Marble (Mesozoic or Paleozoic),Locally contains interbedded schist and calcsilicate rocks
db,Diabase,Age and stratigraphic relations unknown. Structurally within shale of Mount Pajaro area
